agent_record	attribute_level	attribute_record	culture_record	effect_record	effect_scope	faction_record	subculture_record	campaign_record	effect_value
#campaign_character_attribute_effects_tables;1;db/campaign_character_attribute_effects_tables/campaign_character_attribute_effects									
general	1	authority		vik_public_order_new_positive_characters	general_to_region_own_provincewide				1.0
general	2	authority		vik_public_order_new_positive_characters	general_to_region_own_provincewide				1.0
general	3	authority		vik_public_order_new_positive_characters	general_to_region_own_provincewide				2.0
general	4	authority		vik_public_order_new_positive_characters	general_to_region_own_provincewide				2.0
general	5	authority		vik_public_order_new_positive_characters	general_to_region_own_provincewide				3.0
general	6	authority		vik_public_order_new_positive_characters	general_to_region_own_provincewide				3.0
general	7	authority		vik_public_order_new_positive_characters	general_to_region_own_provincewide				4.0
general	8	authority		vik_public_order_new_positive_characters	general_to_region_own_provincewide				4.0
general	9	authority		vik_public_order_new_positive_characters	general_to_region_own_provincewide				5.0
general	10	authority		vik_public_order_new_positive_characters	general_to_region_own_provincewide				5.0
general	1	authority		vik_general_mod_aura_size	general_to_character_own				0.0
general	2	authority		vik_general_mod_aura_size	general_to_character_own				10.0
general	3	authority		vik_general_mod_aura_size	general_to_character_own				10.0
general	4	authority		vik_general_mod_aura_size	general_to_character_own				15.0
general	5	authority		vik_general_mod_aura_size	general_to_character_own				20.0
general	6	authority		vik_general_mod_aura_size	general_to_character_own				25.0
general	7	authority		vik_general_mod_aura_size	general_to_character_own				30.0
general	8	authority		vik_general_mod_aura_size	general_to_character_own				40.0
general	9	authority		vik_general_mod_aura_size	general_to_character_own				50.0
general	10	authority		vik_general_mod_aura_size	general_to_character_own				60.0
general	8	authority		vik_influence_mod	character_to_character_own				1.0
general	9	authority		vik_influence_mod	character_to_character_own				1.0
general	10	authority		vik_influence_mod	character_to_character_own				2.0
general	3	authority		vik_unit_morale_general_alive	general_to_character_own				1.0
general	4	authority		vik_unit_morale_general_alive	general_to_character_own				1.0
general	5	authority		vik_unit_morale_general_alive	general_to_character_own				1.0
general	6	authority		vik_unit_morale_general_alive	general_to_character_own				2.0
general	7	authority		vik_unit_morale_general_alive	general_to_character_own				2.0
general	8	authority		vik_unit_morale_general_alive	general_to_character_own				2.0
general	9	authority		vik_unit_morale_general_alive	general_to_character_own				3.0
general	10	authority		vik_unit_morale_general_alive	character_to_character_own				3.0
general	9	subterfuge		vik_influence_mod	character_to_character_own				1.0
general	10	subterfuge		vik_influence_mod	character_to_character_own				1.0
general	8	zeal		vik_loyalty_mod_character	character_to_character_own				1.0
general	9	zeal		vik_loyalty_mod_character	character_to_character_own				1.0
general	10	zeal		vik_loyalty_mod_character	character_to_character_own				2.0
general	1	zeal		vik_tax_mod	general_to_province_own_when_governor				30.0
general	2	zeal		vik_tax_mod	general_to_province_own_when_governor				35.0
general	3	zeal		vik_tax_mod	general_to_province_own_when_governor				40.0
general	4	zeal		vik_tax_mod	general_to_province_own_when_governor				45.0
general	5	zeal		vik_tax_mod	general_to_province_own_when_governor				50.0
general	6	zeal		vik_tax_mod	general_to_province_own_when_governor				55.0
general	7	zeal		vik_tax_mod	general_to_province_own_when_governor				60.0
general	8	zeal		vik_tax_mod	general_to_province_own_when_governor				65.0
general	9	zeal		vik_tax_mod	general_to_province_own_when_governor				70.0
general	10	zeal		vik_tax_mod	general_to_province_own_when_governor				75.0
general	6	zeal		vik_campaign_movement	general_to_force_own				5.0
general	7	zeal		vik_campaign_movement	general_to_force_own				10.0
general	8	zeal		vik_campaign_movement	general_to_force_own				10.0
