character_skill_key	effect_key	level	effect_scope	value
#character_skill_level_to_effects_junctions_tables;1;db/character_skill_level_to_effects_junctions_tables/background_skills				
vik_general_back_born_governor	vik_general_attribute_command_dummy	1	general_to_character_own	3.0
vik_general_back_born_governor_circenn	vik_general_attribute_command_dummy	1	general_to_character_own	3.0
vik_general_back_born_governor_dyflin	vik_general_attribute_command_dummy	1	general_to_character_own	3.0
vik_general_back_born_governor_east_engle	vik_general_attribute_command_dummy	1	general_to_character_own	3.0
vik_general_back_born_governor_gwined	vik_general_attribute_command_dummy	1	general_to_character_own	3.0
vik_general_back_born_governor_mide	vik_general_attribute_command_dummy	1	general_to_character_own	3.0
vik_general_back_born_governor_mierce	vik_general_attribute_command_dummy	1	general_to_character_own	3.0
vik_general_back_born_governor_northymbre	vik_general_attribute_command_dummy	1	general_to_character_own	3.0
vik_general_back_born_governor_strat_clut	vik_general_attribute_command_dummy	1	general_to_character_own	3.0
vik_general_back_born_governor_sudreyar	vik_general_attribute_command_dummy	1	general_to_character_own	3.0
vik_general_back_born_governor_west_seaxe	vik_general_attribute_command_dummy	1	general_to_character_own	3.0
vik_general_back_defender	vik_general_attribute_command_dummy	1	general_to_character_own	3.0
vik_general_back_defender_circenn	vik_general_attribute_command_dummy	1	general_to_character_own	3.0
vik_general_back_defender_dyflin	vik_general_attribute_command_dummy	1	general_to_character_own	3.0
vik_general_back_defender_east_engle	vik_general_attribute_command_dummy	1	general_to_character_own	3.0
vik_general_back_defender_gwined	vik_general_attribute_command_dummy	1	general_to_character_own	3.0
vik_general_back_defender_mide	vik_general_attribute_command_dummy	1	general_to_character_own	3.0
vik_general_back_defender_mierce	vik_general_attribute_command_dummy	1	general_to_character_own	3.0
vik_general_back_defender_northymbre	vik_general_attribute_command_dummy	1	general_to_character_own	3.0
vik_general_back_defender_strat_clut	vik_general_attribute_command_dummy	1	general_to_character_own	3.0
vik_general_back_defender_sudreyar	vik_general_attribute_command_dummy	1	general_to_character_own	3.0
vik_general_back_defender_west_seaxe	vik_general_attribute_command_dummy	1	general_to_character_own	3.0
vik_general_back_farmer	vik_general_attribute_command_dummy	1	general_to_character_own	7.0
vik_general_back_farmer_circenn	vik_general_attribute_command_dummy	1	general_to_character_own	7.0
vik_general_back_farmer_dyflin	vik_general_attribute_command_dummy	1	general_to_character_own	7.0
vik_general_back_farmer_east_engle	vik_general_attribute_command_dummy	1	general_to_character_own	7.0
vik_general_back_farmer_gwined	vik_general_attribute_command_dummy	1	general_to_character_own	7.0
vik_general_back_farmer_mide	vik_general_attribute_command_dummy	1	general_to_character_own	7.0
vik_general_back_farmer_mierce	vik_general_attribute_command_dummy	1	general_to_character_own	7.0
vik_general_back_farmer_northymbre	vik_general_attribute_command_dummy	1	general_to_character_own	7.0
vik_general_back_farmer_strat_clut	vik_general_attribute_command_dummy	1	general_to_character_own	7.0
vik_general_back_farmer_sudreyar	vik_general_attribute_command_dummy	1	general_to_character_own	7.0
vik_general_back_farmer_west_seaxe	vik_general_attribute_command_dummy	1	general_to_character_own	7.0
vik_general_back_fearless	vik_general_attribute_command_dummy	1	general_to_character_own	4.0
vik_general_back_fearless_circenn	vik_general_attribute_command_dummy	1	general_to_character_own	4.0
vik_general_back_fearless_dyflin	vik_general_attribute_command_dummy	1	general_to_character_own	4.0
vik_general_back_fearless_east_engle	vik_general_attribute_command_dummy	1	general_to_character_own	4.0
vik_general_back_fearless_gwined	vik_general_attribute_command_dummy	1	general_to_character_own	4.0
vik_general_back_fearless_mide	vik_general_attribute_command_dummy	1	general_to_character_own	4.0
vik_general_back_fearless_mierce	vik_general_attribute_command_dummy	1	general_to_character_own	4.0
vik_general_back_fearless_northymbre	vik_general_attribute_command_dummy	1	general_to_character_own	4.0
vik_general_back_fearless_strat_clut	vik_general_attribute_command_dummy	1	general_to_character_own	4.0
vik_general_back_fearless_sudreyar	vik_general_attribute_command_dummy	1	general_to_character_own	4.0
vik_general_back_fearless_west_seaxe	vik_general_attribute_command_dummy	1	general_to_character_own	4.0
vik_general_back_landowner	vik_general_attribute_command_dummy	1	general_to_character_own	4.0
vik_general_back_landowner_circenn	vik_general_attribute_command_dummy	1	general_to_character_own	4.0
vik_general_back_landowner_dyflin	vik_general_attribute_command_dummy	1	general_to_character_own	4.0
vik_general_back_landowner_east_engle	vik_general_attribute_command_dummy	1	general_to_character_own	4.0
vik_general_back_landowner_gwined	vik_general_attribute_command_dummy	1	general_to_character_own	4.0
vik_general_back_landowner_mide	vik_general_attribute_command_dummy	1	general_to_character_own	4.0
vik_general_back_landowner_mierce	vik_general_attribute_command_dummy	1	general_to_character_own	4.0
vik_general_back_landowner_northymbre	vik_general_attribute_command_dummy	1	general_to_character_own	4.0
vik_general_back_landowner_strat_clut	vik_general_attribute_command_dummy	1	general_to_character_own	4.0
vik_general_back_landowner_sudreyar	vik_general_attribute_command_dummy	1	general_to_character_own	4.0
vik_general_back_landowner_west_seaxe	vik_general_attribute_command_dummy	1	general_to_character_own	4.0
vik_general_back_melee_skill	vik_general_attribute_command_dummy	1	general_to_character_own	3.0
vik_general_back_melee_skill_circenn	vik_general_attribute_command_dummy	1	general_to_character_own	3.0
vik_general_back_melee_skill_dyflin	vik_general_attribute_command_dummy	1	general_to_character_own	3.0
vik_general_back_melee_skill_east_engle	vik_general_attribute_command_dummy	1	general_to_character_own	3.0
vik_general_back_melee_skill_gwined	vik_general_attribute_command_dummy	1	general_to_character_own	3.0
vik_general_back_melee_skill_mide	vik_general_attribute_command_dummy	1	general_to_character_own	3.0
vik_general_back_melee_skill_mierce	vik_general_attribute_command_dummy	1	general_to_character_own	3.0
vik_general_back_melee_skill_northymbre	vik_general_attribute_command_dummy	1	general_to_character_own	3.0
vik_general_back_melee_skill_strat_clut	vik_general_attribute_command_dummy	1	general_to_character_own	3.0
vik_general_back_melee_skill_sudreyar	vik_general_attribute_command_dummy	1	general_to_character_own	3.0
vik_general_back_melee_skill_west_seaxe	vik_general_attribute_command_dummy	1	general_to_character_own	3.0
vik_general_back_negotiator	vik_general_attribute_command_dummy	1	general_to_character_own	4.0
vik_general_back_negotiator_circenn	vik_general_attribute_command_dummy	1	general_to_character_own	4.0
vik_general_back_negotiator_dyflin	vik_general_attribute_command_dummy	1	general_to_character_own	4.0
vik_general_back_negotiator_east_engle	vik_general_attribute_command_dummy	1	general_to_character_own	4.0
vik_general_back_negotiator_gwined	vik_general_attribute_command_dummy	1	general_to_character_own	4.0
vik_general_back_negotiator_mide	vik_general_attribute_command_dummy	1	general_to_character_own	4.0
vik_general_back_negotiator_mierce	vik_general_attribute_command_dummy	1	general_to_character_own	4.0
vik_general_back_negotiator_northymbre	vik_general_attribute_command_dummy	1	general_to_character_own	4.0
vik_general_back_negotiator_strat_clut	vik_general_attribute_command_dummy	1	general_to_character_own	4.0
vik_general_back_negotiator_sudreyar	vik_general_attribute_command_dummy	1	general_to_character_own	4.0
vik_general_back_negotiator_west_seaxe	vik_general_attribute_command_dummy	1	general_to_character_own	4.0
vik_general_back_passionate	vik_general_attribute_command_dummy	1	general_to_character_own	4.0
vik_general_back_passionate_circenn	vik_general_attribute_command_dummy	1	general_to_character_own	4.0
vik_general_back_passionate_dyflin	vik_general_attribute_command_dummy	1	general_to_character_own	4.0
vik_general_back_passionate_east_engle	vik_general_attribute_command_dummy	1	general_to_character_own	4.0
vik_general_back_passionate_gwined	vik_general_attribute_command_dummy	1	general_to_character_own	4.0
vik_general_back_passionate_mide	vik_general_attribute_command_dummy	1	general_to_character_own	4.0
vik_general_back_passionate_mierce	vik_general_attribute_command_dummy	1	general_to_character_own	4.0
vik_general_back_passionate_northymbre	vik_general_attribute_command_dummy	1	general_to_character_own	4.0
vik_general_back_passionate_strat_clut	vik_general_attribute_command_dummy	1	general_to_character_own	4.0
vik_general_back_passionate_sudreyar	vik_general_attribute_command_dummy	1	general_to_character_own	4.0
vik_general_back_passionate_west_seaxe	vik_general_attribute_command_dummy	1	general_to_character_own	4.0
vik_general_back_pastor	vik_general_attribute_command_dummy	1	general_to_character_own	3.0
vik_general_back_pastor_circenn	vik_general_attribute_command_dummy	1	general_to_character_own	3.0
vik_general_back_pastor_dyflin	vik_general_attribute_command_dummy	1	general_to_character_own	3.0
vik_general_back_pastor_east_engle	vik_general_attribute_command_dummy	1	general_to_character_own	3.0
vik_general_back_pastor_gwined	vik_general_attribute_command_dummy	1	general_to_character_own	3.0
vik_general_back_pastor_mide	vik_general_attribute_command_dummy	1	general_to_character_own	3.0
vik_general_back_pastor_mierce	vik_general_attribute_command_dummy	1	general_to_character_own	3.0
vik_general_back_pastor_northymbre	vik_general_attribute_command_dummy	1	general_to_character_own	3.0
vik_general_back_pastor_strat_clut	vik_general_attribute_command_dummy	1	general_to_character_own	3.0
vik_general_back_pastor_sudreyar	vik_general_attribute_command_dummy	1	general_to_character_own	3.0
vik_general_back_pastor_west_seaxe	vik_general_attribute_command_dummy	1	general_to_character_own	3.0
vik_general_back_spearmen_skill	vik_unit_spear_melee_skill_dummy	1	general_to_character_own	5.0
vik_general_back_spearmen_skill_circenn	vik_unit_spear_melee_skill_dummy	1	general_to_character_own	5.0
vik_general_back_spearmen_skill_dyflin	vik_unit_spear_melee_skill_dummy	1	general_to_character_own	5.0
vik_general_back_spearmen_skill_east_engle	vik_unit_spear_melee_skill_dummy	1	general_to_character_own	5.0
vik_general_back_spearmen_skill_gwined	vik_unit_spear_melee_skill_dummy	1	general_to_character_own	5.0
vik_general_back_spearmen_skill_mide	vik_unit_spear_melee_skill_dummy	1	general_to_character_own	5.0
vik_general_back_spearmen_skill_mierce	vik_unit_spear_melee_skill_dummy	1	general_to_character_own	5.0
vik_general_back_spearmen_skill_northymbre	vik_unit_spear_melee_skill_dummy	1	general_to_character_own	5.0
vik_general_back_spearmen_skill_strat_clut	vik_unit_spear_melee_skill_dummy	1	general_to_character_own	5.0
vik_general_back_spearmen_skill_sudreyar	vik_unit_spear_melee_skill_dummy	1	general_to_character_own	5.0
vik_general_back_spearmen_skill_west_seaxe	vik_unit_spear_melee_skill_dummy	1	general_to_character_own	5.0
vik_general_back_born_governor	vik_general_attribute_governance_dummy	1	general_to_character_own	7.0
vik_general_back_born_governor_circenn	vik_general_attribute_governance_dummy	1	general_to_character_own	7.0
vik_general_back_born_governor_dyflin	vik_general_attribute_governance_dummy	1	general_to_character_own	7.0
vik_general_back_born_governor_east_engle	vik_general_attribute_governance_dummy	1	general_to_character_own	7.0
vik_general_back_born_governor_gwined	vik_general_attribute_governance_dummy	1	general_to_character_own	7.0
vik_general_back_born_governor_mide	vik_general_attribute_governance_dummy	1	general_to_character_own	7.0
vik_general_back_born_governor_mierce	vik_general_attribute_governance_dummy	1	general_to_character_own	7.0
vik_general_back_born_governor_northymbre	vik_general_attribute_governance_dummy	1	general_to_character_own	7.0
vik_general_back_born_governor_strat_clut	vik_general_attribute_governance_dummy	1	general_to_character_own	7.0
vik_general_back_born_governor_sudreyar	vik_general_attribute_governance_dummy	1	general_to_character_own	7.0
vik_general_back_born_governor_west_seaxe	vik_general_attribute_governance_dummy	1	general_to_character_own	7.0
vik_general_back_defender	vik_general_attribute_governance_dummy	1	general_to_character_own	4.0
vik_general_back_defender_circenn	vik_general_attribute_governance_dummy	1	general_to_character_own	4.0
vik_general_back_defender_dyflin	vik_general_attribute_governance_dummy	1	general_to_character_own	4.0
vik_general_back_defender_east_engle	vik_general_attribute_governance_dummy	1	general_to_character_own	4.0
vik_general_back_defender_gwined	vik_general_attribute_governance_dummy	1	general_to_character_own	4.0
vik_general_back_defender_mide	vik_general_attribute_governance_dummy	1	general_to_character_own	4.0
vik_general_back_defender_mierce	vik_general_attribute_governance_dummy	1	general_to_character_own	4.0
vik_general_back_defender_northymbre	vik_general_attribute_governance_dummy	1	general_to_character_own	4.0
vik_general_back_defender_strat_clut	vik_general_attribute_governance_dummy	1	general_to_character_own	4.0
vik_general_back_defender_sudreyar	vik_general_attribute_governance_dummy	1	general_to_character_own	4.0
vik_general_back_defender_west_seaxe	vik_general_attribute_governance_dummy	1	general_to_character_own	4.0
vik_general_back_farmer	vik_general_attribute_governance_dummy	1	general_to_character_own	3.0
vik_general_back_farmer_circenn	vik_general_attribute_governance_dummy	1	general_to_character_own	3.0
vik_general_back_farmer_dyflin	vik_general_attribute_governance_dummy	1	general_to_character_own	3.0
vik_general_back_farmer_east_engle	vik_general_attribute_governance_dummy	1	general_to_character_own	3.0
vik_general_back_farmer_gwined	vik_general_attribute_governance_dummy	1	general_to_character_own	3.0
vik_general_back_farmer_mide	vik_general_attribute_governance_dummy	1	general_to_character_own	3.0
vik_general_back_farmer_mierce	vik_general_attribute_governance_dummy	1	general_to_character_own	3.0
vik_general_back_farmer_northymbre	vik_general_attribute_governance_dummy	1	general_to_character_own	3.0
vik_general_back_farmer_strat_clut	vik_general_attribute_governance_dummy	1	general_to_character_own	3.0
vik_general_back_farmer_sudreyar	vik_general_attribute_governance_dummy	1	general_to_character_own	3.0
vik_general_back_farmer_west_seaxe	vik_general_attribute_governance_dummy	1	general_to_character_own	3.0
vik_general_back_fearless	vik_general_attribute_governance_dummy	1	general_to_character_own	3.0
vik_general_back_fearless_circenn	vik_general_attribute_governance_dummy	1	general_to_character_own	3.0
vik_general_back_fearless_dyflin	vik_general_attribute_governance_dummy	1	general_to_character_own	3.0
vik_general_back_fearless_east_engle	vik_general_attribute_governance_dummy	1	general_to_character_own	3.0
vik_general_back_fearless_gwined	vik_general_attribute_governance_dummy	1	general_to_character_own	3.0
vik_general_back_fearless_mide	vik_general_attribute_governance_dummy	1	general_to_character_own	3.0
vik_general_back_fearless_mierce	vik_general_attribute_governance_dummy	1	general_to_character_own	3.0
vik_general_back_fearless_northymbre	vik_general_attribute_governance_dummy	1	general_to_character_own	3.0
vik_general_back_fearless_strat_clut	vik_general_attribute_governance_dummy	1	general_to_character_own	3.0
vik_general_back_fearless_sudreyar	vik_general_attribute_governance_dummy	1	general_to_character_own	3.0
vik_general_back_fearless_west_seaxe	vik_general_attribute_governance_dummy	1	general_to_character_own	3.0
vik_general_back_landowner	vik_general_attribute_governance_dummy	1	general_to_character_own	3.0
vik_general_back_landowner_circenn	vik_general_attribute_governance_dummy	1	general_to_character_own	3.0
vik_general_back_landowner_dyflin	vik_general_attribute_governance_dummy	1	general_to_character_own	3.0
vik_general_back_landowner_east_engle	vik_general_attribute_governance_dummy	1	general_to_character_own	3.0
vik_general_back_landowner_gwined	vik_general_attribute_governance_dummy	1	general_to_character_own	3.0
vik_general_back_landowner_mide	vik_general_attribute_governance_dummy	1	general_to_character_own	3.0
vik_general_back_landowner_mierce	vik_general_attribute_governance_dummy	1	general_to_character_own	3.0
vik_general_back_landowner_northymbre	vik_general_attribute_governance_dummy	1	general_to_character_own	3.0
vik_general_back_landowner_strat_clut	vik_general_attribute_governance_dummy	1	general_to_character_own	3.0
vik_general_back_landowner_sudreyar	vik_general_attribute_governance_dummy	1	general_to_character_own	3.0
vik_general_back_landowner_west_seaxe	vik_general_attribute_governance_dummy	1	general_to_character_own	3.0
vik_general_back_melee_skill	vik_general_attribute_governance_dummy	1	general_to_character_own	2.0
vik_general_back_melee_skill_circenn	vik_general_attribute_governance_dummy	1	general_to_character_own	2.0
vik_general_back_melee_skill_dyflin	vik_general_attribute_governance_dummy	1	general_to_character_own	2.0
vik_general_back_melee_skill_east_engle	vik_general_attribute_governance_dummy	1	general_to_character_own	2.0
vik_general_back_melee_skill_gwined	vik_general_attribute_governance_dummy	1	general_to_character_own	2.0
vik_general_back_melee_skill_mide	vik_general_attribute_governance_dummy	1	general_to_character_own	2.0
vik_general_back_melee_skill_mierce	vik_general_attribute_governance_dummy	1	general_to_character_own	2.0
vik_general_back_melee_skill_northymbre	vik_general_attribute_governance_dummy	1	general_to_character_own	2.0
vik_general_back_melee_skill_strat_clut	vik_general_attribute_governance_dummy	1	general_to_character_own	2.0
vik_general_back_melee_skill_sudreyar	vik_general_attribute_governance_dummy	1	general_to_character_own	2.0
vik_general_back_melee_skill_west_seaxe	vik_general_attribute_governance_dummy	1	general_to_character_own	2.0
vik_general_back_negotiator	vik_general_attribute_governance_dummy	1	general_to_character_own	4.0
vik_general_back_negotiator_circenn	vik_general_attribute_governance_dummy	1	general_to_character_own	4.0
vik_general_back_negotiator_dyflin	vik_general_attribute_governance_dummy	1	general_to_character_own	4.0
vik_general_back_negotiator_east_engle	vik_general_attribute_governance_dummy	1	general_to_character_own	4.0
vik_general_back_negotiator_gwined	vik_general_attribute_governance_dummy	1	general_to_character_own	4.0
vik_general_back_negotiator_mide	vik_general_attribute_governance_dummy	1	general_to_character_own	4.0
vik_general_back_negotiator_mierce	vik_general_attribute_governance_dummy	1	general_to_character_own	4.0
vik_general_back_negotiator_northymbre	vik_general_attribute_governance_dummy	1	general_to_character_own	4.0
vik_general_back_negotiator_strat_clut	vik_general_attribute_governance_dummy	1	general_to_character_own	4.0
vik_general_back_negotiator_sudreyar	vik_general_attribute_governance_dummy	1	general_to_character_own	4.0
vik_general_back_negotiator_west_seaxe	vik_general_attribute_governance_dummy	1	general_to_character_own	4.0
vik_general_back_passionate	vik_general_attribute_governance_dummy	1	general_to_character_own	3.0
vik_general_back_passionate_circenn	vik_general_attribute_governance_dummy	1	general_to_character_own	3.0
vik_general_back_passionate_dyflin	vik_general_attribute_governance_dummy	1	general_to_character_own	3.0
vik_general_back_passionate_east_engle	vik_general_attribute_governance_dummy	1	general_to_character_own	3.0
vik_general_back_passionate_gwined	vik_general_attribute_governance_dummy	1	general_to_character_own	3.0
vik_general_back_passionate_mide	vik_general_attribute_governance_dummy	1	general_to_character_own	3.0
vik_general_back_passionate_mierce	vik_general_attribute_governance_dummy	1	general_to_character_own	3.0
vik_general_back_passionate_northymbre	vik_general_attribute_governance_dummy	1	general_to_character_own	3.0
vik_general_back_passionate_strat_clut	vik_general_attribute_governance_dummy	1	general_to_character_own	3.0
vik_general_back_passionate_sudreyar	vik_general_attribute_governance_dummy	1	general_to_character_own	3.0
vik_general_back_passionate_west_seaxe	vik_general_attribute_governance_dummy	1	general_to_character_own	3.0
vik_general_back_pastor	vik_general_attribute_governance_dummy	1	general_to_character_own	5.0
vik_general_back_pastor_circenn	vik_general_attribute_governance_dummy	1	general_to_character_own	5.0
vik_general_back_pastor_dyflin	vik_general_attribute_governance_dummy	1	general_to_character_own	5.0
vik_general_back_pastor_east_engle	vik_general_attribute_governance_dummy	1	general_to_character_own	5.0
vik_general_back_pastor_gwined	vik_general_attribute_governance_dummy	1	general_to_character_own	5.0
vik_general_back_pastor_mide	vik_general_attribute_governance_dummy	1	general_to_character_own	5.0
vik_general_back_pastor_mierce	vik_general_attribute_governance_dummy	1	general_to_character_own	5.0
vik_general_back_pastor_northymbre	vik_general_attribute_governance_dummy	1	general_to_character_own	5.0
vik_general_back_pastor_strat_clut	vik_general_attribute_governance_dummy	1	general_to_character_own	5.0
vik_general_back_pastor_sudreyar	vik_general_attribute_governance_dummy	1	general_to_character_own	5.0
vik_general_back_pastor_west_seaxe	vik_general_attribute_governance_dummy	1	general_to_character_own	5.0
vik_general_back_spearmen_skill	vik_general_attribute_governance_dummy	1	general_to_character_own	3.0
vik_general_back_spearmen_skill_circenn	vik_general_attribute_governance_dummy	1	general_to_character_own	3.0
vik_general_back_spearmen_skill_dyflin	vik_general_attribute_governance_dummy	1	general_to_character_own	3.0
vik_general_back_spearmen_skill_east_engle	vik_general_attribute_governance_dummy	1	general_to_character_own	3.0
vik_general_back_spearmen_skill_gwined	vik_general_attribute_governance_dummy	1	general_to_character_own	3.0
vik_general_back_spearmen_skill_mide	vik_general_attribute_governance_dummy	1	general_to_character_own	3.0
vik_general_back_spearmen_skill_mierce	vik_general_attribute_governance_dummy	1	general_to_character_own	3.0
vik_general_back_spearmen_skill_northymbre	vik_general_attribute_governance_dummy	1	general_to_character_own	3.0
vik_general_back_spearmen_skill_strat_clut	vik_general_attribute_governance_dummy	1	general_to_character_own	3.0
vik_general_back_spearmen_skill_sudreyar	vik_general_attribute_governance_dummy	1	general_to_character_own	3.0
vik_general_back_spearmen_skill_west_seaxe	vik_general_attribute_governance_dummy	1	general_to_character_own	3.0
vik_general_back_born_governor	vik_general_attribute_zeal_dummy	1	general_to_character_own	2.0
vik_general_back_born_governor_circenn	vik_general_attribute_zeal_dummy	1	general_to_character_own	2.0
vik_general_back_born_governor_dyflin	vik_general_attribute_zeal_dummy	1	general_to_character_own	2.0
vik_general_back_born_governor_east_engle	vik_general_attribute_zeal_dummy	1	general_to_character_own	2.0
vik_general_back_born_governor_gwined	vik_general_attribute_zeal_dummy	1	general_to_character_own	2.0
vik_general_back_born_governor_mide	vik_general_attribute_zeal_dummy	1	general_to_character_own	2.0
vik_general_back_born_governor_mierce	vik_general_attribute_zeal_dummy	1	general_to_character_own	2.0
vik_general_back_born_governor_northymbre	vik_general_attribute_zeal_dummy	1	general_to_character_own	2.0
vik_general_back_born_governor_strat_clut	vik_general_attribute_zeal_dummy	1	general_to_character_own	2.0
vik_general_back_born_governor_sudreyar	vik_general_attribute_zeal_dummy	1	general_to_character_own	2.0
vik_general_back_born_governor_west_seaxe	vik_general_attribute_zeal_dummy	1	general_to_character_own	2.0
vik_general_back_defender	vik_general_attribute_zeal_dummy	1	general_to_character_own	4.0
vik_general_back_defender_circenn	vik_general_attribute_zeal_dummy	1	general_to_character_own	4.0
vik_general_back_defender_dyflin	vik_general_attribute_zeal_dummy	1	general_to_character_own	4.0
vik_general_back_defender_east_engle	vik_general_attribute_zeal_dummy	1	general_to_character_own	4.0
vik_general_back_defender_gwined	vik_general_attribute_zeal_dummy	1	general_to_character_own	4.0
vik_general_back_defender_mide	vik_general_attribute_zeal_dummy	1	general_to_character_own	4.0
vik_general_back_defender_mierce	vik_general_attribute_zeal_dummy	1	general_to_character_own	4.0
vik_general_back_defender_northymbre	vik_general_attribute_zeal_dummy	1	general_to_character_own	4.0
vik_general_back_defender_strat_clut	vik_general_attribute_zeal_dummy	1	general_to_character_own	4.0
vik_general_back_defender_sudreyar	vik_general_attribute_zeal_dummy	1	general_to_character_own	4.0
vik_general_back_defender_west_seaxe	vik_general_attribute_zeal_dummy	1	general_to_character_own	4.0
vik_general_back_farmer	vik_general_attribute_zeal_dummy	1	general_to_character_own	2.0
vik_general_back_farmer_circenn	vik_general_attribute_zeal_dummy	1	general_to_character_own	2.0
vik_general_back_farmer_dyflin	vik_general_attribute_zeal_dummy	1	general_to_character_own	2.0
vik_general_back_farmer_east_engle	vik_general_attribute_zeal_dummy	1	general_to_character_own	2.0
vik_general_back_farmer_gwined	vik_general_attribute_zeal_dummy	1	general_to_character_own	2.0
vik_general_back_farmer_mide	vik_general_attribute_zeal_dummy	1	general_to_character_own	2.0
vik_general_back_farmer_mierce	vik_general_attribute_zeal_dummy	1	general_to_character_own	2.0
vik_general_back_farmer_northymbre	vik_general_attribute_zeal_dummy	1	general_to_character_own	2.0
vik_general_back_farmer_strat_clut	vik_general_attribute_zeal_dummy	1	general_to_character_own	2.0
vik_general_back_farmer_sudreyar	vik_general_attribute_zeal_dummy	1	general_to_character_own	2.0
vik_general_back_farmer_west_seaxe	vik_general_attribute_zeal_dummy	1	general_to_character_own	2.0
vik_general_back_fearless	vik_general_attribute_zeal_dummy	1	general_to_character_own	4.0
vik_general_back_fearless_circenn	vik_general_attribute_zeal_dummy	1	general_to_character_own	4.0
vik_general_back_fearless_dyflin	vik_general_attribute_zeal_dummy	1	general_to_character_own	4.0
vik_general_back_fearless_east_engle	vik_general_attribute_zeal_dummy	1	general_to_character_own	4.0
vik_general_back_fearless_gwined	vik_general_attribute_zeal_dummy	1	general_to_character_own	4.0
vik_general_back_fearless_mide	vik_general_attribute_zeal_dummy	1	general_to_character_own	4.0
vik_general_back_fearless_mierce	vik_general_attribute_zeal_dummy	1	general_to_character_own	4.0
vik_general_back_fearless_northymbre	vik_general_attribute_zeal_dummy	1	general_to_character_own	4.0
vik_general_back_fearless_strat_clut	vik_general_attribute_zeal_dummy	1	general_to_character_own	4.0
vik_general_back_fearless_sudreyar	vik_general_attribute_zeal_dummy	1	general_to_character_own	4.0
vik_general_back_fearless_west_seaxe	vik_general_attribute_zeal_dummy	1	general_to_character_own	4.0
vik_general_back_landowner	vik_general_attribute_zeal_dummy	1	general_to_character_own	4.0
vik_general_back_landowner_circenn	vik_general_attribute_zeal_dummy	1	general_to_character_own	4.0
vik_general_back_landowner_dyflin	vik_general_attribute_zeal_dummy	1	general_to_character_own	4.0
vik_general_back_landowner_east_engle	vik_general_attribute_zeal_dummy	1	general_to_character_own	4.0
vik_general_back_landowner_gwined	vik_general_attribute_zeal_dummy	1	general_to_character_own	4.0
vik_general_back_landowner_mide	vik_general_attribute_zeal_dummy	1	general_to_character_own	4.0
vik_general_back_landowner_mierce	vik_general_attribute_zeal_dummy	1	general_to_character_own	4.0
vik_general_back_landowner_northymbre	vik_general_attribute_zeal_dummy	1	general_to_character_own	4.0
