character_skill_key	effect_key	level	effect_scope	value
#character_skill_level_to_effects_junctions_tables;1;db/character_skill_level_to_effects_junctions_tables/wifes				
vik_back_wife_ambitious	vik_allegiance_usurper	1	character_to_region_own	2.0
vik_back_wife_ambitious	vik_diplomacy_penalty	1	character_to_faction_own_when_spouse	-5.0
vik_back_wife_ambitious	vik_public_order_new_positive_characters	1	character_to_region_own_provincewide_when_spouse_governing	3.0
vik_back_wife_ambitious_circenn	vik_allegiance_usurper	1	character_to_region_own	2.0
vik_back_wife_ambitious_circenn	vik_diplomacy_penalty	1	character_to_faction_own_when_spouse	-5.0
vik_back_wife_ambitious_circenn	vik_public_order_new_positive_characters	1	character_to_region_own_provincewide_when_spouse_governing	3.0
vik_back_wife_ambitious_dyflin	vik_allegiance_usurper	1	character_to_region_own	2.0
vik_back_wife_ambitious_dyflin	vik_diplomacy_penalty	1	character_to_faction_own_when_spouse	-5.0
vik_back_wife_ambitious_dyflin	vik_public_order_new_positive_characters	1	character_to_region_own_provincewide_when_spouse_governing	3.0
vik_back_wife_ambitious_east_engle	vik_allegiance_usurper	1	character_to_region_own	2.0
vik_back_wife_ambitious_east_engle	vik_diplomacy_penalty	1	character_to_faction_own_when_spouse	-5.0
vik_back_wife_ambitious_east_engle	vik_public_order_new_positive_characters	1	character_to_region_own_provincewide_when_spouse_governing	3.0
vik_back_wife_ambitious_gwined	vik_allegiance_usurper	1	character_to_region_own	2.0
vik_back_wife_ambitious_gwined	vik_diplomacy_penalty	1	character_to_faction_own_when_spouse	-5.0
vik_back_wife_ambitious_gwined	vik_public_order_new_positive_characters	1	character_to_region_own_provincewide_when_spouse_governing	3.0
vik_back_wife_ambitious_mide	vik_allegiance_usurper	1	character_to_region_own	2.0
vik_back_wife_ambitious_mide	vik_diplomacy_penalty	1	character_to_faction_own_when_spouse	-5.0
vik_back_wife_ambitious_mide	vik_public_order_new_positive_characters	1	character_to_region_own_provincewide_when_spouse_governing	3.0
vik_back_wife_ambitious_mierce	vik_allegiance_usurper	1	character_to_region_own	2.0
vik_back_wife_ambitious_mierce	vik_diplomacy_penalty	1	character_to_faction_own_when_spouse	-5.0
