key	campaign_key	character_skill_key	character_skill_node_set_key	faction_key	indent	tier	subculture	points_on_creation
#character_skill_nodes_tables;3;db/character_skill_nodes_tables/character_skill_nodes								
vik_back_wife_ambitious		vik_back_wife_ambitious	vik_general_skills		0.0	0.0		0
vik_back_wife_ambitious_circenn		vik_back_wife_ambitious_circenn	vik_general_skills_circenn		0.0	0.0		0
vik_back_wife_ambitious_dyflin		vik_back_wife_ambitious_dyflin	vik_general_skills_dyflin		0.0	0.0		0
vik_back_wife_ambitious_east_engle		vik_back_wife_ambitious_east_engle	vik_general_skills_east_engle		0.0	0.0		0
vik_back_wife_ambitious_gwined		vik_back_wife_ambitious_gwined	vik_general_skills_gwined		0.0	0.0		0
vik_back_wife_ambitious_mide		vik_back_wife_ambitious_mide	vik_general_skills_mide		0.0	0.0		0
vik_back_wife_ambitious_mierce		vik_back_wife_ambitious_mierce	vik_general_skills_mierce		0.0	0.0		0
vik_back_wife_ambitious_northymbre		vik_back_wife_ambitious_northymbre	vik_general_skills_northymbre		0.0	0.0		0
vik_back_wife_ambitious_strat_clut		vik_back_wife_ambitious_strat_clut	vik_general_skills_strat_clut		0.0	0.0		0
vik_back_wife_ambitious_sudreyar		vik_back_wife_ambitious_sudreyar	vik_general_skills_sudreyar		0.0	0.0		0
vik_back_wife_ambitious_west_seaxe		vik_back_wife_ambitious_west_seaxe	vik_general_skills_west_seaxe		0.0	0.0		0
vik_back_wife_arrogant		vik_back_wife_arrogant	vik_general_skills		0.0	0.0		0
vik_back_wife_arrogant_circenn		vik_back_wife_arrogant_circenn	vik_general_skills_circenn		0.0	0.0		0
vik_back_wife_arrogant_dyflin		vik_back_wife_arrogant_dyflin	vik_general_skills_dyflin		0.0	0.0		0
vik_back_wife_arrogant_east_engle		vik_back_wife_arrogant_east_engle	vik_general_skills_east_engle		0.0	0.0		0
vik_back_wife_arrogant_gwined		vik_back_wife_arrogant_gwined	vik_general_skills_gwined		0.0	0.0		0
vik_back_wife_arrogant_mide		vik_back_wife_arrogant_mide	vik_general_skills_mide		0.0	0.0		0
vik_back_wife_arrogant_mierce		vik_back_wife_arrogant_mierce	vik_general_skills_mierce		0.0	0.0		0
vik_back_wife_arrogant_northymbre		vik_back_wife_arrogant_northymbre	vik_general_skills_northymbre		0.0	0.0		0
vik_back_wife_arrogant_strat_clut		vik_back_wife_arrogant_strat_clut	vik_general_skills_strat_clut		0.0	0.0		0
vik_back_wife_arrogant_sudreyar		vik_back_wife_arrogant_sudreyar	vik_general_skills_sudreyar		0.0	0.0		0
vik_back_wife_arrogant_west_seaxe		vik_back_wife_arrogant_west_seaxe	vik_general_skills_west_seaxe		0.0	0.0		0
vik_back_wife_brutal		vik_back_wife_brutal	vik_general_skills		0.0	0.0		0
vik_back_wife_brutal_circenn		vik_back_wife_brutal_circenn	vik_general_skills_circenn		0.0	0.0		0
vik_back_wife_brutal_dyflin		vik_back_wife_brutal_dyflin	vik_general_skills_dyflin		0.0	0.0		0
vik_back_wife_brutal_east_engle		vik_back_wife_brutal_east_engle	vik_general_skills_east_engle		0.0	0.0		0
vik_back_wife_brutal_gwined		vik_back_wife_brutal_gwined	vik_general_skills_gwined		0.0	0.0		0
vik_back_wife_brutal_mide		vik_back_wife_brutal_mide	vik_general_skills_mide		0.0	0.0		0
vik_back_wife_brutal_mierce		vik_back_wife_brutal_mierce	vik_general_skills_mierce		0.0	0.0		0
vik_back_wife_brutal_northymbre		vik_back_wife_brutal_northymbre	vik_general_skills_northymbre		0.0	0.0		0
vik_back_wife_brutal_strat_clut		vik_back_wife_brutal_strat_clut	vik_general_skills_strat_clut		0.0	0.0		0
vik_back_wife_brutal_sudreyar		vik_back_wife_brutal_sudreyar	vik_general_skills_sudreyar		0.0	0.0		0
vik_back_wife_brutal_west_seaxe		vik_back_wife_brutal_west_seaxe	vik_general_skills_west_seaxe		0.0	0.0		0
vik_back_wife_charming		vik_back_wife_charming	vik_general_skills		0.0	0.0		0
vik_back_wife_charming_circenn		vik_back_wife_charming_circenn	vik_general_skills_circenn		0.0	0.0		0
vik_back_wife_charming_dyflin		vik_back_wife_charming_dyflin	vik_general_skills_dyflin		0.0	0.0		0
vik_back_wife_charming_east_engle		vik_back_wife_charming_east_engle	vik_general_skills_east_engle		0.0	0.0		0
vik_back_wife_charming_gwined		vik_back_wife_charming_gwined	vik_general_skills_gwined		0.0	0.0		0
vik_back_wife_charming_mide		vik_back_wife_charming_mide	vik_general_skills_mide		0.0	0.0		0
vik_back_wife_charming_mierce		vik_back_wife_charming_mierce	vik_general_skills_mierce		0.0	0.0		0
vik_back_wife_charming_northymbre		vik_back_wife_charming_northymbre	vik_general_skills_northymbre		0.0	0.0		0
vik_back_wife_charming_strat_clut		vik_back_wife_charming_strat_clut	vik_general_skills_strat_clut		0.0	0.0		0
vik_back_wife_charming_sudreyar		vik_back_wife_charming_sudreyar	vik_general_skills_sudreyar		0.0	0.0		0
vik_back_wife_charming_west_seaxe		vik_back_wife_charming_west_seaxe	vik_general_skills_west_seaxe		0.0	0.0		0
vik_back_wife_demanding		vik_back_wife_demanding	vik_general_skills		0.0	0.0		0
vik_back_wife_demanding_circenn		vik_back_wife_demanding_circenn	vik_general_skills_circenn		0.0	0.0		0
vik_back_wife_demanding_dyflin		vik_back_wife_demanding_dyflin	vik_general_skills_dyflin		0.0	0.0		0
vik_back_wife_demanding_east_engle		vik_back_wife_demanding_east_engle	vik_general_skills_east_engle		0.0	0.0		0
vik_back_wife_demanding_gwined		vik_back_wife_demanding_gwined	vik_general_skills_gwined		0.0	0.0		0
vik_back_wife_demanding_mide		vik_back_wife_demanding_mide	vik_general_skills_mide		0.0	0.0		0
vik_back_wife_demanding_mierce		vik_back_wife_demanding_mierce	vik_general_skills_mierce		0.0	0.0		0
vik_back_wife_demanding_northymbre		vik_back_wife_demanding_northymbre	vik_general_skills_northymbre		0.0	0.0		0
vik_back_wife_demanding_strat_clut		vik_back_wife_demanding_strat_clut	vik_general_skills_strat_clut		0.0	0.0		0
vik_back_wife_demanding_sudreyar		vik_back_wife_demanding_sudreyar	vik_general_skills_sudreyar		0.0	0.0		0
vik_back_wife_demanding_west_seaxe		vik_back_wife_demanding_west_seaxe	vik_general_skills_west_seaxe		0.0	0.0		0
vik_back_wife_educated		vik_back_wife_educated	vik_general_skills		0.0	0.0		0
vik_back_wife_educated_circenn		vik_back_wife_educated_circenn	vik_general_skills_circenn		0.0	0.0		0
vik_back_wife_educated_dyflin		vik_back_wife_educated_dyflin	vik_general_skills_dyflin		0.0	0.0		0
vik_back_wife_educated_east_engle		vik_back_wife_educated_east_engle	vik_general_skills_east_engle		0.0	0.0		0
vik_back_wife_educated_gwined		vik_back_wife_educated_gwined	vik_general_skills_gwined		0.0	0.0		0
vik_back_wife_educated_mide		vik_back_wife_educated_mide	vik_general_skills_mide		0.0	0.0		0
vik_back_wife_educated_mierce		vik_back_wife_educated_mierce	vik_general_skills_mierce		0.0	0.0		0
vik_back_wife_educated_northymbre		vik_back_wife_educated_northymbre	vik_general_skills_northymbre		0.0	0.0		0
vik_back_wife_educated_strat_clut		vik_back_wife_educated_strat_clut	vik_general_skills_strat_clut		0.0	0.0		0
vik_back_wife_educated_sudreyar		vik_back_wife_educated_sudreyar	vik_general_skills_sudreyar		0.0	0.0		0
vik_back_wife_educated_west_seaxe		vik_back_wife_educated_west_seaxe	vik_general_skills_west_seaxe		0.0	0.0		0
vik_back_wife_faithful		vik_back_wife_faithful	vik_general_skills		0.0	0.0		0
vik_back_wife_faithful_circenn		vik_back_wife_faithful_circenn	vik_general_skills_circenn		0.0	0.0		0
vik_back_wife_faithful_dyflin		vik_back_wife_faithful_dyflin	vik_general_skills_dyflin		0.0	0.0		0
vik_back_wife_faithful_east_engle		vik_back_wife_faithful_east_engle	vik_general_skills_east_engle		0.0	0.0		0
vik_back_wife_faithful_gwined		vik_back_wife_faithful_gwined	vik_general_skills_gwined		0.0	0.0		0
vik_back_wife_faithful_mide		vik_back_wife_faithful_mide	vik_general_skills_mide		0.0	0.0		0
vik_back_wife_faithful_mierce		vik_back_wife_faithful_mierce	vik_general_skills_mierce		0.0	0.0		0
vik_back_wife_faithful_northymbre		vik_back_wife_faithful_northymbre	vik_general_skills_northymbre		0.0	0.0		0
vik_back_wife_faithful_strat_clut		vik_back_wife_faithful_strat_clut	vik_general_skills_strat_clut		0.0	0.0		0
vik_back_wife_faithful_sudreyar		vik_back_wife_faithful_sudreyar	vik_general_skills_sudreyar		0.0	0.0		0
vik_back_wife_faithful_west_seaxe		vik_back_wife_faithful_west_seaxe	vik_general_skills_west_seaxe		0.0	0.0		0
vik_back_wife_gossip		vik_back_wife_gossip	vik_general_skills		0.0	0.0		0
vik_back_wife_gossip_circenn		vik_back_wife_gossip_circenn	vik_general_skills_circenn		0.0	0.0		0
vik_back_wife_gossip_dyflin		vik_back_wife_gossip_dyflin	vik_general_skills_dyflin		0.0	0.0		0
vik_back_wife_gossip_east_engle		vik_back_wife_gossip_east_engle	vik_general_skills_east_engle		0.0	0.0		0
vik_back_wife_gossip_gwined		vik_back_wife_gossip_gwined	vik_general_skills_gwined		0.0	0.0		0
vik_back_wife_gossip_mide		vik_back_wife_gossip_mide	vik_general_skills_mide		0.0	0.0		0
vik_back_wife_gossip_mierce		vik_back_wife_gossip_mierce	vik_general_skills_mierce		0.0	0.0		0
vik_back_wife_gossip_northymbre		vik_back_wife_gossip_northymbre	vik_general_skills_northymbre		0.0	0.0		0
vik_back_wife_gossip_strat_clut		vik_back_wife_gossip_strat_clut	vik_general_skills_strat_clut		0.0	0.0		0
vik_back_wife_gossip_sudreyar		vik_back_wife_gossip_sudreyar	vik_general_skills_sudreyar		0.0	0.0		0
vik_back_wife_gossip_west_seaxe		vik_back_wife_gossip_west_seaxe	vik_general_skills_west_seaxe		0.0	0.0		0
vik_back_wife_loyal		vik_back_wife_loyal	vik_general_skills		0.0	0.0		0
vik_back_wife_loyal_circenn		vik_back_wife_loyal_circenn	vik_general_skills_circenn		0.0	0.0		0
vik_back_wife_loyal_dyflin		vik_back_wife_loyal_dyflin	vik_general_skills_dyflin		0.0	0.0		0
vik_back_wife_loyal_east_engle		vik_back_wife_loyal_east_engle	vik_general_skills_east_engle		0.0	0.0		0
vik_back_wife_loyal_gwined		vik_back_wife_loyal_gwined	vik_general_skills_gwined		0.0	0.0		0
vik_back_wife_loyal_mide		vik_back_wife_loyal_mide	vik_general_skills_mide		0.0	0.0		0
vik_back_wife_loyal_mierce		vik_back_wife_loyal_mierce	vik_general_skills_mierce		0.0	0.0		0
vik_back_wife_loyal_northymbre		vik_back_wife_loyal_northymbre	vik_general_skills_northymbre		0.0	0.0		0
vik_back_wife_loyal_strat_clut		vik_back_wife_loyal_strat_clut	vik_general_skills_strat_clut		0.0	0.0		0
vik_back_wife_loyal_sudreyar		vik_back_wife_loyal_sudreyar	vik_general_skills_sudreyar		0.0	0.0		0
vik_back_wife_loyal_west_seaxe		vik_back_wife_loyal_west_seaxe	vik_general_skills_west_seaxe		0.0	0.0		0
