key	text	tooltip
#Loc PackedFile;1;text/db/@CHARACTER_SKILLS_custom_skills.loc		
character_skills_localised_description_vik_follower_bard	Many great houses are patrons of bards, who sing praises of their king in hummable tunes and enticing rhymes. 	true
character_skills_localised_description_vik_follower_bard_circenn	Many great houses are patrons of bards, who sing praises of their king in hummable tunes and enticing rhymes. 	true
character_skills_localised_description_vik_follower_bard_dyflin	Many great houses are patrons of poets, who sing praises of their king in hummable tunes and enticing rhymes. 	true
character_skills_localised_description_vik_follower_bard_east_engle	Many great houses are patrons of poets, who sing praises of their king in hummable tunes and enticing rhymes. 	true
character_skills_localised_description_vik_follower_bard_gwined	Many great houses are patrons of bards, who sing praises of their king in hummable tunes and enticing rhymes. 	true
character_skills_localised_description_vik_follower_bard_mide	Many great houses are patrons of bards, who sing praises of their king in hummable tunes and enticing rhymes. 	true
character_skills_localised_description_vik_follower_bard_mierce	Many great houses are patrons of bards, who sing praises of their king in hummable tunes and enticing rhymes. 	true
character_skills_localised_description_vik_follower_bard_northymbre	Many great houses are patrons of poets, who sing praises of their king in hummable tunes and enticing rhymes. 	true
character_skills_localised_description_vik_follower_bard_strat_clut	Many great houses are patrons of bards, who sing praises of their king in hummable tunes and enticing rhymes. 	true
character_skills_localised_description_vik_follower_bard_sudreyar	Many great houses are patrons of poets, who sing praises of their king in hummable tunes and enticing rhymes. 	true
character_skills_localised_description_vik_follower_bard_west_seaxe	Many great houses are patrons of bards, who sing praises of their king in hummable tunes and enticing rhymes. 	true
character_skills_localised_description_vik_follower_champion	As a family grows in power, their enemies grow in number. These men stand between their liege lord and the enemy.	true
character_skills_localised_description_vik_follower_champion_circenn	As a family grows in power, their enemies grow in number. These men stand between their liege lord and the enemy.	true
character_skills_localised_description_vik_follower_champion_dyflin	As a family grows in power, their enemies grow in number. These men stand between their liege lord and the enemy.	true
character_skills_localised_description_vik_follower_champion_east_engle	As a family grows in power, their enemies grow in number. These men stand between their liege lord and the enemy.	true
character_skills_localised_description_vik_follower_champion_gwined	As a family grows in power, their enemies grow in number. These men stand between their liege lord and the enemy.	true
character_skills_localised_description_vik_follower_champion_mide	As a family grows in power, their enemies grow in number. These men stand between their liege lord and the enemy.	true
character_skills_localised_description_vik_follower_champion_mierce	As a family grows in power, their enemies grow in number. These men stand between their liege lord and the enemy.	true
character_skills_localised_description_vik_follower_champion_northymbre	As a family grows in power, their enemies grow in number. These men stand between their liege lord and the enemy.	true
character_skills_localised_description_vik_follower_champion_strat_clut	As a family grows in power, their enemies grow in number. These men stand between their liege lord and the enemy.	true
character_skills_localised_description_vik_follower_champion_sudreyar	As a family grows in power, their enemies grow in number. These men stand between their liege lord and the enemy.	true
character_skills_localised_description_vik_follower_champion_west_seaxe	As a family grows in power, their enemies grow in number. These men stand between their liege lord and the enemy.	true
character_skills_localised_description_vik_follower_forager	The wealthiest men in Britannia spare no expense when it comes to equipment. Iron wins battles. 	true
character_skills_localised_description_vik_follower_forager_circenn	The wealthiest men in Britannia spare no expense when it comes to equipment. Iron wins battles. 	true
character_skills_localised_description_vik_follower_forager_dyflin	The wealthiest men in Britannia spare no expense when it comes to equipment. Iron wins battles. 	true
character_skills_localised_description_vik_follower_forager_east_engle	The wealthiest men in Britannia spare no expense when it comes to equipment. Iron wins battles. 	true
character_skills_localised_description_vik_follower_forager_gwined	The wealthiest men in Britannia spare no expense when it comes to equipment. Iron wins battles. 	true
character_skills_localised_description_vik_follower_forager_mide	The wealthiest men in Britannia spare no expense when it comes to equipment. Iron wins battles. 	true
