building_level_key	technology_key
#building_level_required_technology_junctions_tables;0;db/building_level_required_technology_junctions_tables/building_level_required_technology_junctions	
vik_arena_1	vik_mil_spearmen_1
vik_arena_2	vik_mil_spearmen_1
vik_arena_3	vik_mil_spearmen_1
vik_forge_2	vik_mil_melee_3b
vik_forge_3	vik_mil_spearmen_4
vik_cloth_b_2	vik_mil_cavalry_2
vik_cloth_b_3	vik_mil_cavalry_2
vik_garrison_2	vik_mil_land_3
vik_longphort_3	vik_mil_spearmen_2
vik_longphort_4	vik_mil_spearmen_2
vik_longphort_5	vik_mil_cap_2
vik_great_hall_4	vik_mil_cavalry_4
vik_great_hall_5	vik_mil_cap_3
vik_warehouse_3	vik_mil_siege_2
vik_wood_2	vik_mil_missile_3
vik_archery_1	vik_mil_missile_1
vik_archery_2	vik_mil_missile_1
vik_athletics_1	vik_mil_missile_1
vik_athletics_2	vik_mil_missile_1
vik_wood_3	vik_mil_missile_6
vik_mill_1	vik_civ_farm_1
vik_orchard_b_2	vik_civ_farm_2
vik_estate_3	vik_civ_farm_2
vik_estate_2	vik_civ_farm_2
vik_farm_b_2	vik_civ_farm_2
vik_farm_b_3	vik_civ_farm_2
vik_farm_3	vik_civ_farm_6_here_king
vik_pasture_3	vik_civ_farm_6_here_king
vik_farm_3	vik_civ_farm_6
vik_pasture_3	vik_civ_farm_6
vik_granary_2	vik_civ_farm_3
vik_pasture_b_2	vik_civ_farm_4
vik_pasture_b_3	vik_civ_farm_4
vik_hunting_b_2	vik_civ_farm_4
vik_hunting_b_3	vik_civ_farm_4
vik_orchard_b_3	vik_civ_farm_4
vik_tools_1	vik_civ_industry_1
vik_tools_3	vik_civ_industry_1
vik_tools_2	vik_civ_industry_1
vik_wood_b_2	vik_civ_industry_2
vik_wood_b_3	vik_civ_industry_4
vik_library_2	vik_civ_religion_1
vik_library_3	vik_civ_religion_1
vik_alehouse_1	vik_civ_market_1
vik_abbey_b_2	vik_civ_market_3
vik_ceil_de_abbey_b_2	vik_civ_market_3
vik_benedictine_abbey_b_2	vik_civ_market_3
vik_mint_1	vik_civ_market_3
vik_mint_2	vik_civ_market_3
vik_mint_3	vik_civ_market_3
vik_market_3	vik_civ_market_2
vik_market_4	vik_civ_market_2
vik_market_5	vik_civ_market_4
vik_merchant_1	vik_civ_market_2
vik_merchant_2	vik_civ_market_2
vik_merchant_3	vik_civ_market_2
vik_bard_2	vik_civ_religion_2
vik_church_3	vik_civ_religion_5
vik_monastery_5	vik_civ_religion_5
vik_monastery_3	vik_civ_religion_3
vik_monastery_4	vik_civ_religion_3
vik_scribes_1	vik_civ_religion_3
vik_scribes_2	vik_civ_religion_3
vik_scribes_3	vik_civ_religion_3
vik_court_school_3	vik_civ_religion_6_here_king
vik_oxford_1	vik_civ_religion_6_here_king
vik_school_ros_3	vik_civ_religion_6_here_king
vik_school_ros_5	vik_civ_religion_6_here_king
vik_school_ros_4	vik_civ_religion_6_here_king
vik_court_school_3	vik_civ_religion_6
vik_oxford_1	vik_civ_religion_6
vik_school_ros_3	vik_civ_religion_6
vik_school_ros_5	vik_civ_religion_6
vik_school_ros_4	vik_civ_religion_6
vik_court_2	vik_civ_leader_1
vik_court_3	vik_civ_leader_1
vik_moot_hill_2	vik_civ_leader_1
vik_thing_2	vik_civ_leader_1
vik_thing_3	vik_civ_leader_1
