technology	effect	effect_scope	value
#technology_effects_junction_tables;0;db/technology_effects_junction_tables/civ_tech_effects			
vik_civ_army_1	vik_unit_archer_ammunition	faction_to_army_own	10.0
vik_civ_army_2	vik_reinforcement_range	faction_to_character_own	25.0
vik_civ_army_3	vik_raid_income_mod	faction_to_army_own	25.0
vik_civ_army_4	vik_sack_income	faction_to_character_own	25.0
vik_civ_army_5	vik_damage_settlement_income	faction_to_faction_own_unseen	100.0
vik_civ_army_5	vik_public_order_new_negative_technologies	faction_to_region_own	1.0
vik_civ_army_6	vik_allegiance_faction	faction_to_faction_own_unseen	4.0
vik_civ_army_6	vik_corruption_mod	faction_to_province_own	5.0
vik_civ_army_6_here_king	vik_allegiance_faction	faction_to_faction_own_unseen	4.0
vik_civ_army_6_here_king	vik_corruption_mod	faction_to_province_own	5.0
vik_civ_army_6_here_king	vik_here_king_english_positive	faction_to_faction_own_unseen	1.0
vik_civ_farm_3	vik_supplies_add_own_territory	faction_to_army_own	3.0
vik_civ_farm_5	vik_food_production_mod	faction_to_region_own	20.0
vik_civ_farm_5	vik_gdp_mod_farms	faction_to_region_own	15.0
vik_civ_farm_6	vik_upkeep_costs_mercenary	faction_to_army_own	5.0
vik_civ_farm_6_here_king	vik_here_king_english_positive	faction_to_faction_own_unseen	1.0
vik_civ_farm_6_here_king	vik_upkeep_costs_mercenary	faction_to_army_own	5.0
vik_civ_industry_2	vik_construction_cost_secondary	faction_to_region_own	-10.0
vik_civ_industry_3	vik_campaign_movement	faction_to_force_own_territory	10.0
vik_civ_industry_4	vik_construction_cost_primary	faction_to_region_own	-10.0
vik_civ_industry_5	vik_gdp_mod_industry	faction_to_region_own	15.0
vik_civ_industry_6	vik_diplomacy_bonus	faction_to_faction_own_unseen	10.0
vik_civ_industry_6	vik_supplies_enemy	faction_to_force_enemy_own_territory	3.0
vik_civ_industry_6_here_king	vik_diplomacy_bonus	faction_to_faction_own_unseen	10.0
vik_civ_industry_6_here_king	vik_here_king_english_positive	faction_to_faction_own_unseen	1.0
vik_civ_industry_6_here_king	vik_supplies_enemy	faction_to_force_enemy_own_territory	3.0
vik_civ_leader_1	vik_fame	faction_to_faction_own_unseen	25.0
vik_civ_leader_2	vik_corruption_mod	faction_to_province_own	-10.0
vik_civ_leader_3	vik_fame	faction_to_faction_own_unseen	30.0
vik_civ_leader_4	vik_gdp_mod_all	faction_to_region_own	-10.0
vik_civ_leader_4	vik_replenishment_mod	faction_to_army_own	20.0
vik_civ_leader_5	vik_influence_mod	faction_to_character_own	1.0
vik_civ_leader_5	vik_loyalty_mod_character	faction_to_character_own	1.0
vik_civ_leader_6	vik_faction_mechanic_bonus_dummy	faction_to_faction_own_unseen	1.0
vik_civ_leader_6_here_king	vik_decree_cooldown_modifier	faction_to_faction_own_unseen	50.0
vik_civ_leader_6_here_king	vik_diplomacy_penalty	faction_to_faction_own_unseen	10.0
vik_civ_leader_6_here_king	vik_here_king_english_positive	faction_to_faction_own_unseen	1.0
vik_civ_market_2	vik_trade_mod	faction_to_faction_own	5.0
vik_civ_market_4	vik_gdp_mod_market	faction_to_region_own	15.0
vik_civ_market_5	vik_allegiance_public_order_modifier	faction_to_region_own_unseen	100.0
vik_civ_market_5	vik_corruption_mod	faction_to_province_own	10.0
vik_civ_market_6	vik_campaign_movement_enemy	faction_to_force_enemy_own_territory	5.0
vik_civ_market_6	vik_diplomacy_bonus	faction_to_faction_own_unseen	10.0
vik_civ_market_6	vik_trade_mod	faction_to_faction_own	10.0
vik_civ_market_6_here_king	vik_campaign_movement_enemy	faction_to_force_enemy_own_territory	5.0
vik_civ_market_6_here_king	vik_diplomacy_bonus	faction_to_faction_own_unseen	10.0
vik_civ_market_6_here_king	vik_trade_mod	faction_to_faction_own	10.0
vik_civ_market_6_here_king	vik_here_king_english_positive	faction_to_faction_own_unseen	1.0
vik_civ_religion_2	vik_public_order_new_positive_technologies	faction_to_region_own	1.0
vik_civ_religion_4	vik_general_xp	faction_to_faction_own_unseen	3.0
vik_civ_religion_5	vik_gdp_mod_church	faction_to_region_own	15.0
vik_civ_religion_6	vik_general_attribute_zeal	faction_to_character_own	-1.0
