technology	effect	effect_scope	value
#technology_effects_junction_tables;0;db/technology_effects_junction_tables/mil_tech_effects			
vik_mil_cap_1	sw_pools_foreign_warriors_except_berserkers_rate	faction_to_faction_own_unseen	-3.0
vik_mil_cap_2	vik_trade_mod	faction_to_faction_own	10.0
vik_mil_cap_3	vik_public_order_new_positive_faction	faction_to_faction_own	1.0
vik_mil_cap_4	vik_raid_income_mod	army_to_army_own	100.0
vik_mil_cap_4	vik_diplomacy_penalty_major	faction_to_faction_own	-30.0
vik_mil_cap_4	vik_unit_enemy_morale	faction_to_force_enemy_own_territory	-1.0
vik_mil_cavalry_3	vik_unit_cavalry_melee_skill	faction_to_army_own	5.0
vik_mil_cavalry_4	sw_pools_noble_cav_or_ranged_not_heroes_rate	faction_to_faction_own_unseen	-6.0
vik_mil_cavalry_5	vik_general_bodyguard_size_mod	faction_to_character_own	100.0
vik_mil_land_1	shieldwall_fyrd_levy_upkeep	faction_to_army_own	-15.0
vik_mil_land_2	vik_unit_battle_movement	faction_to_army_own	5.0
vik_mil_land_4	vik_recruitment_cost_all	faction_to_army_own	-25.0
vik_mil_land_4	vik_unit_xp_faction_pools	faction_to_army_own	1.0
vik_mil_land_5	vik_siege_defence_attrition	faction_to_army_own	-25.0
vik_mil_land_5	vik_siege_defence_holdout_time	faction_to_region_own	2.0
vik_mil_land_5	vik_siege_defence_ammunition	faction_to_army_own	15.0
vik_mil_land_6	vik_force_xp_rate	faction_to_force_own	5.0
vik_mil_land_6	sw_pools_all_spears_except_heroes_rate	faction_to_faction_own_unseen	-3.0
vik_mil_land_7	vik_force_navy_movement_battle	faction_to_army_own	15.0
vik_mil_land_7	vik_navy_campaign_movement	faction_to_army_own	5.0
vik_mil_land_7_here_king	vik_unit_melee_melee_damage	faction_to_army_own	3.0
vik_mil_land_7_here_king	vik_unit_enemy_morale	faction_to_force_enemy_own_territory	-1.0
vik_mil_land_7_here_king	sw_pools_all_axes_except_heroes_rate	faction_to_faction_own_unseen	-3.0
vik_mil_melee_1	vik_unit_all_melee_skill	faction_to_army_own	2.0
vik_mil_melee_1_mide	vik_replenishment_mod	faction_to_force_own	5.0
vik_mil_melee_1_mide	sw_pools_light_infantry_rate	faction_to_faction_own_unseen	-3.0
vik_mil_melee_2b	vik_siege_defence_ammunition	faction_to_army_own	40.0
vik_mil_melee_2b	vik_siege_engine_enable_quality_heavy	faction_to_army_own	1.0
vik_mil_melee_3a	vik_unit_food_upkeep_reduction	faction_to_faction_own	-1.0
vik_mil_melee_3a	vik_public_order_new_negative_technologies	faction_to_region_own	-2.0
vik_mil_melee_3b	sw_pools_peasant_infantry_rate	faction_to_faction_own_unseen	-3.0
vik_mil_melee_4a	vik_supplies_technologies	faction_to_army_own	-2.0
vik_mil_melee_4a	vik_military_upkeep	faction_to_army_own	10.0
vik_mil_melee_4a	shieldwall_scripted_tech_peasant_replenishment	faction_to_faction_own_unseen	30.0
vik_mil_melee_4b	vik_allegiance_public_order_mod_negative	faction_to_faction_own_unseen	-25.0
vik_mil_melee_4b_gaelic	vik_unit_spear_melee_defence	faction_to_army_own	3.0
vik_mil_melee_4b_gaelic	sw_pools_all_spears_except_heroes_rate	faction_to_faction_own_unseen	-3.0
vik_mil_melee_5	sw_pools_heroes_rate	faction_to_faction_own_unseen	-12.0
vik_mil_melee_6	vik_unit_morale	faction_to_army_own	1.0
vik_mil_melee_6	sw_pools_all_axes_except_heroes_rate	faction_to_faction_own_unseen	-3.0
vik_mil_missile_2	vik_unit_archer_missile_damage	faction_to_army_own	5.0
vik_mil_missile_3	sw_pools_bows_rate	faction_to_faction_own_unseen	-3.0
vik_mil_missile_5	sw_reduced_focus_fire_cooldown	faction_to_army_own	-10.0
vik_mil_missile_6	sw_pools_all_ranged_except_heroes_rate	faction_to_faction_own_unseen	-3.0
vik_mil_missile_6_here_king	vik_force_terrain_immunity	faction_to_army_own	1.0
vik_mil_missile_6_here_king	vik_military_upkeep	faction_to_army_own	30.0
vik_mil_siege_1	vik_unit_archer_ammunition	faction_to_army_own	20.0
vik_mil_siege_1	vik_supplies_add_own_territory	faction_to_army_own	2.0
vik_mil_siege_3	vik_campaign_movement	faction_to_army_own	10.0
vik_mil_siege_4	vik_siege_defence_holdout_time	faction_to_faction_own	1.0
vik_mil_siege_4	vik_siege_engine_enable_quality_medium	faction_to_army_own	1.0
vik_mil_spearmen_1	sw_pools_foreign_warriors_except_berserkers_rate	faction_to_faction_own_unseen	-3.0
vik_mil_spearmen_1	sw_pools_peasants_rate	faction_to_faction_own_unseen	-3.0
vik_mil_spearmen_3	sw_pools_noble_infantry_not_heroes_rate	faction_to_faction_own_unseen	-6.0
vik_mil_spearmen_3	shieldwall_tech_noble_armour	faction_to_army_own	2.0
vik_mil_cavalry_6	sw_pools_noble_infantry_not_heroes_rate	faction_to_faction_own_unseen	-6.0
vik_mil_spearmen_5	vik_replenishment_mod	province_to_army_own	15.0
vik_mil_spearmen_5	vik_gdp_mod_all	faction_to_faction_own	-5.0
vik_mil_spearmen_6	vik_campaign_movement	faction_to_army_own	5.0
vik_mil_spearmen_6	vik_unit_morale	faction_to_army_own	1.0
