child_key	parent_key	initial_descent_tiers	parent_link_position	child_link_position	parent_link_position_offset	child_link_position_offset
#technology_node_links_tables;2;db/technology_node_links_tables/shieldwall_northum_node_links						
sw_northum_mil_3	sw_northum_mil_2	0	2	4	0.0	0.0
sw_northum_mil_4	sw_northum_mil_2	0	2	4	0.0	0.0
sw_northum_mil_5	sw_northum_mil_3	0	2	4	0.0	0.0
sw_northum_mil_6	sw_northum_mil_3	0	2	4	0.0	0.0
sw_northum_mil_7	sw_northum_mil_4	0	2	4	0.0	0.0
sw_northum_mil_6	sw_northum_mil_4	0	2	4	0.0	0.0
sw_northum_mil_8	sw_northum_mil_7	0	2	4	0.0	0.0
sw_northum_mil_15	sw_northum_mil_7	0	2	4	0.0	0.0
sw_northum_mil_11	sw_northum_mil_8	0	2	4	0.0	0.0
sw_northum_mil_16	sw_northum_mil_11	0	2	4	0.0	0.0
sw_northum_mil_18	sw_northum_mil_15	0	2	4	0.0	0.0
sw_northum_mil_22	sw_northum_mil_18	0	2	4	0.0	0.0
sw_northum_mil_23	sw_northum_mil_18	0	2	4	0.0	0.0
sw_northum_mil_27	sw_northum_mil_23	0	2	4	0.0	0.0
sw_northum_mil_26	sw_northum_mil_22	0	2	4	0.0	0.0
sw_northum_mil_30	sw_northum_mil_26	0	2	4	0.0	0.0
sw_northum_mil_34	sw_northum_mil_30	0	2	4	0.0	0.0
sw_northum_mil_37	sw_northum_mil_34	0	2	4	0.0	0.0
sw_northum_mil_39	sw_northum_mil_37	0	2	4	0.0	0.0
sw_northum_mil_40	sw_northum_mil_39	0	2	4	0.0	0.0
sw_northum_mil_41	sw_northum_mil_40	0	2	4	0.0	0.0
sw_northum_mil_14	sw_northum_mil_6	0	2	4	0.0	0.0
sw_northum_mil_21	sw_northum_mil_14	0	2	4	0.0	0.0
sw_northum_mil_10	sw_northum_mil_5	0	2	4	0.0	0.0
sw_northum_mil_9	sw_northum_mil_10	0	2	4	0.0	0.0
sw_northum_mil_13	sw_northum_mil_10	0	2	4	0.0	0.0
sw_northum_mil_12	sw_northum_mil_9	0	2	4	0.0	0.0
sw_northum_mil_17	sw_northum_mil_13	0	2	4	0.0	0.0
sw_northum_mil_20	sw_northum_mil_17	0	2	4	0.0	0.0
sw_northum_mil_19	sw_northum_mil_17	0	2	4	0.0	0.0
sw_northum_mil_25	sw_northum_mil_20	0	2	4	0.0	0.0
sw_northum_mil_24	sw_northum_mil_19	0	2	4	0.0	0.0
sw_northum_mil_28	sw_northum_mil_24	0	2	4	0.0	0.0
sw_northum_mil_31	sw_northum_mil_24	0	2	4	0.0	0.0
sw_northum_mil_28	sw_northum_mil_25	0	2	4	0.0	0.0
sw_northum_mil_29	sw_northum_mil_25	0	2	4	0.0	0.0
sw_northum_mil_32	sw_northum_mil_28	0	2	4	0.0	0.0
sw_northum_mil_35	sw_northum_mil_32	0	2	4	0.0	0.0
sw_northum_mil_38	sw_northum_mil_35	0	2	4	0.0	0.0
sw_northum_mil_40	sw_northum_mil_38	0	2	4	0.0	0.0
sw_northum_mil_33	sw_northum_mil_29	0	2	4	0.0	0.0
sw_northum_mil_36	sw_northum_mil_33	0	2	4	0.0	0.0
