key	campaign_key	faction_key	indent	technology_key	technology_node_set	tier	research_points_required	cost_per_round
#technology_nodes_tables;1;db/technology_nodes_tables/technology_nodes								
vik_dene_civ_farm_1			1	vik_civ_farm_1	vik_viking_dene	2	600	0
vik_dene_civ_industry_3			1	vik_civ_industry_3	vik_viking_dene	3	600	0
vik_dene_civ_market_1			1	vik_civ_market_1	vik_viking_dene	1	600	0
vik_dene_mil_bodyguard_3			0	vik_mil_bodyguard_3	vik_viking_dene	5	600	0
vik_dene_mil_bodyguard_5			2	vik_mil_bodyguard_5	vik_viking_dene_mil	5	600	0
vik_dene_mil_cap_1			2	vik_mil_cap_1	vik_viking_dene_mil	1	600	0
vik_dene_mil_cap_2			2	vik_mil_cap_2	vik_viking_dene_mil	2	600	0
vik_dene_mil_cap_3			2	vik_mil_cap_3	vik_viking_dene_mil	3	600	0
vik_dene_mil_cap_4			2	vik_mil_cap_4	vik_viking_dene_mil	4	600	0
vik_dene_mil_cavalry_3			0	vik_mil_cavalry_3	vik_viking_dene	8	600	0
vik_dene_mil_land_1			0	vik_mil_land_1	vik_viking_dene	6	600	0
vik_dene_mil_land_2			0	vik_mil_land_2	vik_viking_dene	7	600	0
vik_dene_mil_land_5			1	vik_mil_land_5	vik_viking_dene	6	600	0
vik_dene_mil_land_6			1	vik_mil_land_6	vik_viking_dene	7	600	0
vik_dene_mil_land_7			1	vik_mil_land_7	vik_viking_dene	8	600	0
vik_dene_mil_melee_1			0	vik_mil_melee_1	vik_viking_dene	1	600	0
vik_dene_mil_melee_2a			0	vik_mil_melee_2a	vik_viking_dene	2	600	0
vik_dene_mil_melee_3b			1	vik_mil_melee_3b	vik_viking_dene	4	600	0
vik_dene_mil_melee_4a			0	vik_mil_melee_4a	vik_viking_dene	3	600	0
vik_dene_mil_melee_4b			1	vik_mil_melee_4b	vik_viking_dene	5	600	0
vik_dene_mil_melee_5			0	vik_mil_melee_5	vik_viking_dene	4	600	0
vik_dene_mil_missile_5			2	vik_mil_missile_5	vik_viking_dene_mil	6	600	0
vik_dene_mil_spearmen_3			2	vik_mil_spearmen_3	vik_viking_dene_mil	7	600	0
vik_dene_mil_spearmen_5			2	vik_mil_spearmen_5	vik_viking_dene_mil	8	600	0
vik_dyflin_civ_army_1			5	vik_civ_army_1	vik_dyflin_civ	1	600	0
vik_dyflin_civ_army_2			5	vik_civ_army_2	vik_dyflin_civ	2	600	0
vik_dyflin_civ_army_3			5	vik_civ_army_3	vik_dyflin_civ	3	600	0
vik_dyflin_civ_army_4			5	vik_civ_army_4	vik_dyflin_civ	4	600	0
vik_dyflin_civ_army_5			5	vik_civ_army_5	vik_dyflin_civ	5	600	0
vik_dyflin_civ_army_6			5	vik_civ_army_6	vik_dyflin_civ	6	600	0
vik_dyflin_civ_farm_1			-1	vik_civ_farm_1	vik_dyflin_civ	1	600	0
vik_dyflin_civ_farm_2			-1	vik_civ_farm_2	vik_dyflin_civ	2	600	0
vik_dyflin_civ_farm_3			-1	vik_civ_farm_3	vik_dyflin_civ	3	600	0
vik_dyflin_civ_farm_4			-1	vik_civ_farm_4	vik_dyflin_civ	4	600	0
vik_dyflin_civ_farm_5			-1	vik_civ_farm_5	vik_dyflin_civ	5	600	0
vik_dyflin_civ_farm_6			-1	vik_civ_farm_6	vik_dyflin_civ	6	600	0
vik_dyflin_civ_industry_1			2	vik_civ_industry_1	vik_dyflin_civ	1	600	0
vik_dyflin_civ_industry_2			2	vik_civ_industry_2	vik_dyflin_civ	2	600	0
vik_dyflin_civ_industry_3			2	vik_civ_industry_3	vik_dyflin_civ	3	600	0
vik_dyflin_civ_industry_4			2	vik_civ_industry_4	vik_dyflin_civ	4	600	0
vik_dyflin_civ_industry_5			2	vik_civ_industry_5	vik_dyflin_civ	5	600	0
vik_dyflin_civ_industry_6			2	vik_civ_industry_6	vik_dyflin_civ	6	600	0
vik_dyflin_civ_leader_1			-1	vik_civ_leader_1	vik_dyflin_civ	10	600	0
vik_dyflin_civ_leader_2			-1	vik_civ_leader_2	vik_dyflin_civ	11	600	0
vik_dyflin_civ_leader_3			-1	vik_civ_leader_3	vik_dyflin_civ	12	600	0
vik_dyflin_civ_leader_4			-1	vik_civ_leader_4	vik_dyflin_civ	13	600	0
vik_dyflin_civ_leader_5			-1	vik_civ_leader_5	vik_dyflin_civ	14	600	0
vik_dyflin_civ_leader_6			-1	vik_dyflin_civ_leader_6	vik_dyflin_civ	15	600	0
vik_dyflin_civ_market_1			2	vik_civ_market_1	vik_dyflin_civ	10	600	0
vik_dyflin_civ_market_2			2	vik_civ_market_2	vik_dyflin_civ	11	600	0
vik_dyflin_civ_market_3			2	vik_civ_market_3	vik_dyflin_civ	12	600	0
vik_dyflin_civ_market_4			2	vik_civ_market_4	vik_dyflin_civ	13	600	0
vik_dyflin_civ_market_5			2	vik_dyflin_civ_market_5	vik_dyflin_civ	14	600	0
vik_dyflin_civ_market_6			2	vik_civ_market_6	vik_dyflin_civ	15	600	0
vik_dyflin_civ_religion_1			5	vik_civ_religion_1	vik_dyflin_civ	10	600	0
vik_dyflin_civ_religion_2			5	vik_civ_religion_2	vik_dyflin_civ	11	600	0
