technology	unit	cost	target_unit
#technology_unit_upgrades_tables;0;db/technology_unit_upgrades_tables/technology_unit_upgrades			
vik_mil_bodyguard_5_here_king	dan_warlords_companions	150	dan_royal_huscarls
vik_mil_bodyguard_5_here_king	eng_royal_companions	150	eng_royal_bodyguard
vik_mil_bodyguard_5_here_king	est_hearthguard	150	est_royal_huskarls
vik_mil_bodyguard_5_here_king	iri_household_riders	150	iri_household_horsemen
vik_mil_bodyguard_5_here_king	nor_huskarls	150	nor_miles
vik_mil_bodyguard_5_here_king	sco_royal_followers	150	sco_royal_bodyguard
vik_mil_bodyguard_5_here_king	vik_hearthguard	150	vik_royal_huskarls
vik_mil_bodyguard_5_here_king	wel_teulu	150	wel_royal_teulu
vik_mil_bodyguard_5	dan_warlords_companions	150	dan_royal_huscarls
vik_mil_bodyguard_5	eng_royal_companions	150	eng_royal_bodyguard
vik_mil_bodyguard_5	est_hearthguard	150	est_royal_huskarls
vik_mil_bodyguard_5	iri_household_riders	150	iri_household_horsemen
vik_mil_bodyguard_5	nor_huskarls	150	nor_miles
vik_mil_bodyguard_5	sco_royal_followers	150	sco_royal_bodyguard
vik_mil_bodyguard_5	vik_hearthguard	150	vik_royal_huskarls
vik_mil_bodyguard_5	wel_teulu	150	wel_royal_teulu
