key	text	tooltip
#Loc PackedFile;1;text/db/@@@@shieldwall_civic_technologies.loc		
technologies_onscreen_name_vik_civ_industry_1	Advanced Metallurgy	true
technologies_onscreen_name_vik_civ_industry_3	Repair Roman Roads	true
technologies_onscreen_name_vik_civ_industry_2	Contracted Builders	true
technologies_onscreen_name_vik_civ_industry_5	Industrial Cuppelation	true
technologies_onscreen_name_vik_civ_industry_4	Contract Loopholes	true
technologies_onscreen_name_vik_civ_industry_6	Movement of Emissaries	true
technologies_onscreen_name_vik_civ_religion_6	Monastic Education	true
technologies_onscreen_name_vik_civ_religion_5	Fulltime Church Labourers	true
technologies_onscreen_name_vik_civ_religion_4	Family Burial Plots	true
technologies_onscreen_name_vik_civ_religion_3	Illuminated Manuscripts	true
technologies_onscreen_name_vik_civ_religion_2	Church Music	true
technologies_onscreen_name_vik_civ_religion_1	Insular Libraries	true
technologies_onscreen_name_vik_civ_leader_6_here_king	King's Decrees	true
technologies_onscreen_name_vik_civ_market_6_here_king	Trade Empire	true
technologies_onscreen_name_vik_civ_market_2	Open Markets	true
technologies_onscreen_name_vik_civ_market_3	Single Currency	true
technologies_onscreen_name_vik_civ_market_1	Taverns	true
technologies_onscreen_name_vik_civ_market_6	Trade Empire	true
technologies_onscreen_name_vik_civ_market_4	Open Trading Rights	true
technologies_onscreen_name_vik_civ_market_5	Palace Life	true
technologies_onscreen_name_vik_civ_farm_6_here_king	Early Feudalism	true
technologies_onscreen_name_vik_civ_army_6_here_king	Warlord's Power	true
technologies_onscreen_name_vik_civ_leader_5	Sacred King	true
technologies_onscreen_name_vik_civ_leader_4	Tithes and Redistribution	true
technologies_onscreen_name_vik_civ_leader_6	King's Decrees	true
technologies_onscreen_name_vik_civ_leader_1	King's Courts	true
technologies_onscreen_name_vik_civ_leader_3	King of Coins	true
technologies_onscreen_name_vik_civ_leader_2	Codify Civil Code	true
technologies_onscreen_name_vik_civ_industry_6_here_king	Movement of Emissaries	true
technologies_onscreen_name_vik_civ_religion_6_here_king	Monastic Education	true
technologies_onscreen_name_vik_civ_army_1	Accomplished Hunters	true
technologies_onscreen_name_vik_civ_army_3	Border Reivers	true
technologies_onscreen_name_vik_civ_army_2	Messengers	true
technologies_onscreen_name_vik_civ_army_5	Vae Victis ("Woe to the Vanquished")	true
technologies_onscreen_name_vik_civ_army_4	Looting and Pillaging	true
technologies_onscreen_name_vik_civ_army_6	Warlord's Power	true
technologies_onscreen_name_vik_civ_farm_3	Advanced Food Storage	true
technologies_onscreen_name_vik_civ_farm_5	Advanced Crop Rotation	true
technologies_onscreen_name_vik_civ_farm_1	Advanced Mill Designs	true
technologies_onscreen_name_vik_civ_farm_6	Early Feudalism	true
technologies_onscreen_name_vik_civ_farm_2	Great Estate	true
technologies_onscreen_name_vik_civ_farm_4	Civil Shires	true
