key	text	tooltip
#Loc PackedFile;1;text/db/@@@shieldwall_millitary_technologies.loc		
technologies_locked_tooltip_vik_mil_cap_1	Achieve a Short Victory to unlock this node.	true
technologies_onscreen_name_sw_westsexa_mil_fourth_column_2	Archer Organization	true
technologies_onscreen_name_vik_mil_cap_1	Standardised Mercenary Salaries	true
technologies_onscreen_name_vik_mil_cap_2	Trade with the Franks	true
technologies_onscreen_name_vik_mil_cap_3	Martial Law	true
technologies_onscreen_name_vik_mil_cap_4	Lords of War	true
technologies_onscreen_name_vik_mil_cavalry_1	Trained Cavalry	true
technologies_onscreen_name_vik_mil_cavalry_2	Studied Horse Breeders	true
technologies_onscreen_name_vik_mil_cavalry_3	Mounted Nobles	true
technologies_onscreen_name_vik_mil_cavalry_4	Trained Companions	true
technologies_onscreen_name_vik_mil_cavalry_5	Professional Bodyguards	true
technologies_onscreen_name_vik_mil_cavalry_6	Professional Soldiers	true
technologies_onscreen_name_vik_mil_land_1	Meade Oath	true
technologies_onscreen_name_vik_mil_land_2	Offensive Tactics	true
technologies_onscreen_name_vik_mil_land_3	Guardsmen	true
technologies_onscreen_name_vik_mil_land_4	Military Careers	true
technologies_onscreen_name_vik_mil_land_5	Siege Defense Preparations	true
technologies_onscreen_name_vik_mil_land_6	Y Gododdin	true
technologies_onscreen_name_vik_mil_land_7	Egill's Poem	true
technologies_onscreen_name_vik_mil_land_7_here_king	Liðsmannaflokkr	true
technologies_onscreen_name_vik_mil_melee_1	Formation Drills	true
technologies_onscreen_name_vik_mil_melee_1_mide	The Death of King Áed mac Domnaill Ua Néil	true
technologies_onscreen_name_vik_mil_melee_2a	Spear Specialists	true
technologies_onscreen_name_vik_mil_melee_2b	Siege Masters	true
technologies_onscreen_name_vik_mil_melee_3a	Rationing	true
technologies_onscreen_name_vik_mil_melee_3b	Heat and Hammer	true
technologies_onscreen_name_vik_mil_melee_4a	Battlefield Medicine	true
technologies_onscreen_name_vik_mil_melee_4b	Militarised Society	true
