key	text	tooltip
#Loc PackedFile;1;text/db/campaign_localised_strings.loc		
campaign_localised_strings_string_unit_exchange_commanders_invalid	Forces cannot exchange commanders.	true
campaign_localised_strings_string_vik_fact_gwined_mission_sea_kings_1	Conquer all the ports in the Irish sea.	true
campaign_localised_strings_string_vik_fact_gwined_mission_sea_kings_2	Destroy Dyflin and Sudreyar.	true
campaign_localised_strings_string_public_order_rebellion_next_turn	At the current rate, there will be a rebellion next turn!	true
campaign_localised_strings_string_military_force_morale_bonus_value_politics	Politics	true
campaign_localised_strings_string_force_not_in_correct_stance_not_enough_ap	This force is currently not in settle stance and doesn't have enough action points to settle.	true
campaign_localised_strings_string_military_force_growth_tax	Tax	true
campaign_localised_strings_string_politics_character_cannot_become_governor_wounded	This character cannot be assigned governor whilst wounded.	true
campaign_localised_strings_string_vik_fact_kingdom_old_north	Yr Hen Ogledd	true
campaign_localised_strings_string_events_attrition_summary_location	Province:	true
campaign_localised_strings_string_MPC_cannot_construct_not_your_turn	[[col:red]]You cannot construct buildings during other factions' turns.[[/col]]	true
campaign_localised_strings_string_politics_character_regent	Regent	true
campaign_localised_strings_string_political_action_confirm_marriage	Are you sure you want to arrange a marriage for %s?	true
campaign_localised_strings_string_end_turn_warning_public_order_low	This province has low public order:	true
campaign_localised_strings_string_province_fertility_factor_buildings	Faction or buildings	true
campaign_localised_strings_string_vik_fact_dyflin_mission_irish_coast	Capture and hold all ports in Ireland.	true
campaign_localised_strings_string_public_order_sack	Sack	true
campaign_localised_strings_string_military_history_battles_victory_decisive	Decisive victory against:	true
campaign_localised_strings_string_politics_assign_governor	Left-click to assign your character this office.	true
campaign_localised_strings_string_book_of_traits_description	The Book of Traits displays all traits you have unlocked in the game, sorted by trait groups. Once a trait is gained by a character, it is unlocked in the Book of Traits and will remain unlocked for all future campaigns.	true
campaign_localised_strings_string_recruit_assassin_tooltip	Recruit Assassin||Skilled in the art of killing, assassins can eliminate hostile generals and agents. Their skills can also be applied to the training of units and the harassment of enemy armies.	true
campaign_localised_strings_string_details_panel_skills_cannot_select	This character cannot learn this skill:	true
campaign_localised_strings_string_raise_navy_capped	Cannot raise a fleet.||You have insufficient Fame.	true
campaign_localised_strings_string_vik_fact_kingdom_england	England	true
campaign_localised_strings_string_vik_fact_kingdom_danelaw	Danelaw	true
campaign_localised_strings_string_vik_fact_gwined_alliance_missions_lindcylne	Create a defensive pact or military alliance with the owner of: Lindcylne	true
campaign_localised_strings_string_raise_legacy_capped	Cannot reinstate legacy.||You have insufficient Fame.	true
campaign_localised_strings_string_end_turn_warning_not_researching	You are not currently researching any technologies.	true
campaign_localised_strings_string_politics_action_impossible_target_is_faction_leader	[[col:red]]Political action impossible on Faction Leader.[[/col]]	true
campaign_localised_strings_string_military_force_growth_technologies	Technologies	true
campaign_localised_strings_string_development_points_tooltip_hordes_insufficent_development_points_number_expedition	You need %n population surplus.||The expedition will grow over time, but a combination of raiding and settling, along with construction of the appropriate buildings, will help increase that rate of growth.	true
campaign_localised_strings_string_province_fertility_factor_climate	Climate	true
campaign_localised_strings_string_development_points_tooltip_hordes_growth	As the horde grows, its population can be used to make it stronger or to spawn new hordes.	true
campaign_localised_strings_string_imperium_01_description	Your power is of little consequence to the world... yet!	true
campaign_localised_strings_string_military_force_morale_bonus_value_foreign_territory	Hostile Territory	true
campaign_localised_strings_string_imperium_02_description	You have established yourself as a worthy power.	true
campaign_localised_strings_string_character_type_wife	Wife	true
campaign_localised_strings_string_imperium_03_description	Word of your achievements has travelled far.	true
campaign_localised_strings_string_imperium_04_description	Your accomplishments are great.	true
campaign_localised_strings_string_imperium_05_description	Your power is both feared and coveted.	true
campaign_localised_strings_string_imperium_06_description	The world trembles before you.	true
campaign_localised_strings_string_imperium_07_description	Your power is supreme.	true
campaign_localised_strings_string_public_order_food_tooltip	Food	true
campaign_localised_strings_string_military_history_battles	Battles fought:	true
campaign_localised_strings_string_politics_power_support_popular_description	Dominion is a measure of your influence over your faction; your power over the people. It is determined by the total influence of your family members versus that of non-family members.\\n\\nCombined with control, it defines your family's overall power.	true
campaign_localised_strings_string_politics_cannot_assign_age	This character has not come of age and cannot become governor yet.	true
campaign_localised_strings_string_military_force_morale_unit_transfer	Unit Transfer	true
campaign_localised_strings_string_recruitment_hire_from_horde	Recruit from Horde	true
campaign_localised_strings_string_public_order_taxes_tooltip	High taxes do not please people. Low taxes do.	true
campaign_localised_strings_string_public_order_other_tooltip	Your response to dilemmas and events affects how people view your leadership.	true
campaign_localised_strings_string_province_contested	Contested province.	true
campaign_localised_strings_string_vik_fact_kingdom_temhair	Temhair	true
campaign_localised_strings_string_politics_ministerial_position_required_rank	Required rank:	true
campaign_localised_strings_string_details_panel_skills_cannot_no_skill_points	They have no skill points.	true
campaign_localised_strings_string_unit_upgrade_multiple_units	Left-click to upgrade all currently selected units.	true
campaign_localised_strings_string_raise_force_reinstate_cannot_no_legacies	[[col:red]]You have no military legacies to reinstate.[[/col]]	true
campaign_localised_strings_string_politics_power_support_political_current	Current control:	true
campaign_localised_strings_string_vik_fact_miercna_mission_north_all	Eliminate Northymbre!	true
campaign_localised_strings_string_vik_mission_northymbre_northleode_a	Eliminate Northleode	true
campaign_localised_strings_string_vik_mission_northymbre_northleode_b	Eliminate Northleode	true
campaign_localised_strings_string_unlocks_name_building_chain	Unlocks %S building chain	true
campaign_localised_strings_string_att_eos_religious_mission_build_att_rel_semitic_paganism	Convert to or construct 4 Semitic pagan religious buildings without building any other religious buildings.	true
campaign_localised_strings_string_public_order_other	Other	true
campaign_localised_strings_string_public_order_taxes	Taxes	true
campaign_localised_strings_string_politics_action_impossible_target_retainer_rank_too_high	[[col:red]]Characters may only engage retainers of lower rank than themselves.[[/col]]	true
campaign_localised_strings_string_unit_details_rank	Rank:	true
campaign_localised_strings_string_governors_status_province	The governor of the province is now shown in the list on the left. If there is no governor or you want to replace the existing one, you can select and make another character governor instead.	true
campaign_localised_strings_string_military_history_battles_defeat_decisive	Decisive defeat by:	true
campaign_localised_strings_string_vik_mission_strat_clut_northleode	Eliminate Northleode	true
campaign_localised_strings_string_raise_force_navy_no_surplus	Cannot raise a fleet.||You do not have enough population surplus.	true
campaign_localised_strings_string_zeal_desc	Zeal is affected by traits, followers and offices.	true
campaign_localised_strings_string_vik_fact_dyflin_mission_control_resources	Capture and hold at least one production building for each trade resource.	true
campaign_localised_strings_string_military_force_morale_faction_leader_died	Turbulence	true
campaign_localised_strings_string_raise_army_besieged	Cannot raise an army.||This settlement is under siege.	true
campaign_localised_strings_string_public_order_food	Food	true
campaign_localised_strings_string_politics_action_impossible_target_underage	[[col:red]]Characters who have not yet come of age may not be involved in political actions.[[/col]]	true
campaign_localised_strings_string_vik_fact_east_engle_mission_east_danelaw	Control the provinces of Grantbrycgscir and Fenns.	true
campaign_localised_strings_string_cannot_migrate_no_armies	Your people cannot migrate without an army.	true
campaign_localised_strings_string_politics_character_status_scheming	Scheming	true
campaign_localised_strings_string_politics_character_status_deceased	Deceased	true
campaign_localised_strings_string_events_attrition_summary_men_lost	Men lost:	true
campaign_localised_strings_string_military_force_growth_core	Buildings & Food	true
campaign_localised_strings_string_confirm_post_replacement	A character already occupies this post. Do you want to assign the selected character to it?	true
campaign_localised_strings_string_public_order_deteriorating	Public order is deteriorating. 	true
campaign_localised_strings_string_unit_upgrade_single_unit	Left-click to upgrade the currently selected unit with:	true
campaign_localised_strings_string_character_mentor_of	This character is a mentor of: 	true
campaign_localised_strings_string_politics_action_impossible_target_candidate	[[col:red]]You cannot take political action against candidates.[[/col]]	true
campaign_localised_strings_string_governors_status_character	The province this character governs will be shown on the map. If they're not already a governor, you can click on a province icon to make them governor of that province.	true
campaign_localised_strings_string_details_panel_ancillary_wife_empty	This character has no wife. Your characters may receive marriage proposals from other parties, or you can arrange marriages for characters from other parties by engaging in faction politics.	true
campaign_localised_strings_string_politics_character_status_wounded	Wounded	true
campaign_localised_strings_string_vik_fact_dyflin_mission_longphorts	Control the longphorts - Dyflin, Veisafjordr, Vedrafyordr, Corcach and Hlymrekr.	true
campaign_localised_strings_string_notification_skill	Skills Available	true
campaign_localised_strings_string_public_order_breakdown_rebellion	Rebels Left	true
campaign_localised_strings_string_military_history_battles_victory_phyrric	Costly victory against:	true
campaign_localised_strings_string_military_force_morale_lost_battle	Battle Lost	true
campaign_localised_strings_string_vik_fact_gwined_alliance_missions_carleol	Create a defensive pact or military alliance with the owner of: Carleol	true
campaign_localised_strings_string_politics_event_assassination_wife_success	His wife was successfully assassinated!	true
campaign_localised_strings_string_religion_factor_province	Local traditions	true
campaign_localised_strings_string_politics_action_impossible_target_not_male	[[col:red]]Female family members may not be targeted in this action.[[/col]]	true
campaign_localised_strings_string_end_turn_warning_siege_no_equipment	You are besieging a settlement with no assault equipment:	true
campaign_localised_strings_string_other_nobles_candidates_description	Candidates are characters who are not yet active faction members.||In the absence of other available characters, candidates may be called upon to assume command of forces or assume governorships.\\n\\n[[col:yellow]]Their influence does not affect faction politics and their loyalty will only change once they become active.[[/col]]	true
campaign_localised_strings_string_details_panel_skills_select	This character may learn an additional skill.\\nLeft-click a skill to learn it.	true
campaign_localised_strings_string_politics_character_not_politician	[[col:red]]Only statesmen may become governors.[[/col]]	true
campaign_localised_strings_string_info_panel_effect_summary_general	Commander's effects	true
campaign_localised_strings_string_recruitment_unavailable_incorrect_stance	Cannot recruit in this stance.	true
campaign_localised_strings_string_public_order_breakdown_rebellion_tooltip	Rebellion	true
campaign_localised_strings_string_politics_action_possible	[[col:green]]This political action can be resolved instantly.[[/col]]	true
campaign_localised_strings_string_politics_event_assassination_wife	Assassination attempt on wife!	true
