id	choice_key	dilemma_key	payload_key	value
#cdir_events_dilemma_payloads_tables;2;db/cdir_events_dilemma_payloads_tables/trait_dilemmas				
13000	FIRST	sw_traits_foreign_settlers	TARGET	EVENT
13001	FIRST	sw_traits_foreign_settlers	GIVE_TRAIT	TRAIT_KEY[shield_heathen_old_ways];TARGET_ACTOR
13002	FIRST	sw_traits_foreign_settlers	CHANGE_GRAVITAS	AMOUNT[1];POLITICAL_ACTION
13003	SECOND	sw_traits_foreign_settlers	TARGET	EVENT
13004	SECOND	sw_traits_foreign_settlers	TREASURY	AMOUNT[-500]
13005	FIRST	sw_traits_strange_friends	TARGET	EVENT
13006	FIRST	sw_traits_strange_friends	old_ways_choice	DURATION[20]
13007	FIRST	sw_traits_strange_friends	GIVE_TRAIT	TRAIT_KEY[shield_heathen_old_ways];TARGET_ACTOR
13008	SECOND	sw_traits_strange_friends	TEXT_DISPLAY	LOOKUP[sw_do_nothing]
13009	FIRST	sw_traits_beloved	TARGET	EVENT
13010	FIRST	sw_traits_beloved	TREASURY	AMOUNT[-500]
13011	FIRST	sw_traits_beloved	beloved_lord_1	DURATION[12]
13012	SECOND	sw_traits_beloved	TARGET	EVENT
13013	SECOND	sw_traits_beloved	GIVE_TRAIT	TRAIT_KEY[shield_elder_beloved];TARGET_ACTOR
13014	FIRST	sw_traits_grooming_heir	TARGET	EVENT
13015	FIRST	sw_traits_grooming_heir	vik_politics_lower_influence	DURATION[12];GLOBAL
13016	FIRST	sw_traits_grooming_heir	GIVE_TRAIT	TRAIT_KEY[shield_noble_princely];TARGET_ACTOR
13017	SECOND	sw_traits_grooming_heir	TEXT_DISPLAY	LOOKUP[sw_do_nothing]
13018	FIRST	sw_traits_educating_heir	TARGET	EVENT
13019	FIRST	sw_traits_educating_heir	TREASURY	AMOUNT[-500]
13020	FIRST	sw_traits_educating_heir	GIVE_TRAIT	TRAIT_KEY[shield_scholar_educated];TARGET_ACTOR
13021	SECOND	sw_traits_educating_heir	TEXT_DISPLAY	LOOKUP[sw_do_nothing]
13022	FIRST	sw_traits_corruption	TARGET	EVENT
13023	FIRST	sw_traits_corruption	GIVE_TRAIT	TRAIT_KEY[shield_brute_corrupt];TARGET_ACTOR
13024	SECOND	sw_traits_corruption	TARGET	EVENT
13025	SECOND	sw_traits_corruption	LOYALTY	AMOUNT[-2]
13026	FIRST	sw_traits_treason	TARGET	EVENT
13027	FIRST	sw_traits_treason	GIVE_TRAIT	TRAIT_KEY[shield_tyrant_treasonous];TARGET_ACTOR
13028	SECOND	sw_traits_treason	TARGET	EVENT
13029	SECOND	sw_traits_treason	TEXT_DISPLAY	LOOKUP[sw_violent_action]
13030	SECOND	sw_traits_treason	KILL_CHARACTER	
13031	THIRD	sw_traits_treason	TARGET	EVENT
13032	THIRD	sw_traits_treason	CHANGE_GRAVITAS	AMOUNT[-1];OWN_FACTION_LEADER
13033	THIRD	sw_traits_treason	LOYALTY	AMOUNT[-3]
13034	FIRST	sw_traits_collector	TARGET	EVENT
13039	FIRST	sw_traits_collector	CHANGE_GRAVITAS	AMOUNT[1]
13035	FIRST	sw_traits_collector	GIVE_TRAIT	TRAIT_KEY[shield_magnate_collector];TARGET_ACTOR
13036	SECOND	sw_traits_collector	TEXT_DISPLAY	LOOKUP[sw_king_trait_charitable]
13037	SECOND	sw_traits_collector	TARGET	EVENT
13038	SECOND	sw_traits_collector	TREASURY	AMOUNT[-250]
