payload_key	effect_bundle_key
#cdir_events_payloads_tables;0;db/cdir_events_payloads_tables/CAESAR_cdir_events_payloads	
great_thinker_1	great_thinker_1
great_thinker_2	great_thinker_2
princely_1	princely_1
sailor_2	sailor_2
pagan_1	pagan_1
pagan_2	pagan_2
berserker_bear_1	berserker_bear_1
berserker_bear_2	berserker_bear_2
berserker_wolf_1	berserker_wolf_1
berserker_wolf_2	berserker_wolf_2
friend_church_1	friend_church_1
friend_church_2	friend_church_2
saint_1	saint_1
violent_1	violent_1
bloodthirsty_1	bloodthirsty_1
torturer_1	torturer_1
torturer_2	torturer_2
oppressor_2	oppressor_2
legendary_tyrant_2	legendary_tyrant_2
honourable_2	honourable_2
tax_collector_1	tax_collector_1
tax_collector_2	tax_collector_2
dutifull_2	dutifull_2
beloved_lord_1	beloved_lord_1
old_ways_choice	old_ways_choice
