key	level	trait	threshold_points
#character_trait_levels_tables;0;db/character_trait_levels_tables/system_traits			
shield_friendship_0	1	shield_friendship_0	1
shield_friendship_1	1	shield_friendship_1	1
shield_friendship_2	1	shield_friendship_2	1
shield_friendship_3	1	shield_friendship_3	1
shield_friendship_4	1	shield_friendship_4	1
shield_mood_0	1	shield_mood_0	1
shield_mood_1	1	shield_mood_1	1
shield_mood_10	1	shield_mood_10	1
shield_mood_2	1	shield_mood_2	1
shield_mood_3	1	shield_mood_3	1
shield_mood_4	1	shield_mood_4	1
shield_mood_5	1	shield_mood_5	1
shield_mood_6	1	shield_mood_6	1
shield_mood_7	1	shield_mood_7	1
shield_mood_8	1	shield_mood_8	1
shield_mood_9	1	shield_mood_9	1
shield_trait_disloyal	1	shield_trait_disloyal	1
shield_trait_loyal	1	shield_trait_loyal	1
shield_general_0	1	shield_general_0	1
shield_general_1	1	shield_general_1	1
shield_fame_1	1	shield_fame_1	1
shield_fame_2	1	shield_fame_2	1
shield_fame_3	1	shield_fame_3	1
shield_fame_4	1	shield_fame_4	1
shield_fame_5	1	shield_fame_5	1
shield_fame_6	1	shield_fame_6	1
shield_fame_7	1	shield_fame_7	1
shield_fame_8	1	shield_fame_8	1
shield_fame_9	1	shield_fame_9	1
shield_fame_10	1	shield_fame_10	1
shield_fame_11	1	shield_fame_11	1
shield_fame_12	1	shield_fame_12	1
shield_fame_13	1	shield_fame_13	1
shield_fame_14	1	shield_fame_14	1
shield_fame_15	1	shield_fame_15	1
shield_family_fame_1	1	shield_family_fame_1	1
shield_family_fame_2	1	shield_family_fame_2	1
shield_family_fame_3	1	shield_family_fame_3	1
shield_family_fame_4	1	shield_family_fame_4	1
shield_family_fame_5	1	shield_family_fame_5	1
shield_family_fame_6	1	shield_family_fame_6	1
shield_family_fame_7	1	shield_family_fame_7	1
shield_family_fame_8	1	shield_family_fame_8	1
shield_family_fame_9	1	shield_family_fame_9	1
shield_family_fame_10	1	shield_family_fame_10	1
shield_family_fame_11	1	shield_family_fame_11	1
shield_family_fame_12	1	shield_family_fame_12	1
shield_family_fame_13	1	shield_family_fame_13	1
shield_family_fame_14	1	shield_family_fame_14	1
shield_family_fame_15	1	shield_family_fame_15	1
