estate_scope	estate_type	trait_category	effect_bundle
#estate_and_trait_category_to_effects_tables;0;db/estate_and_trait_category_to_effects_tables/estate_and_trait_category_to_effects			
GENERIC_LORD	vik_estate_effects_agricultural	brutish	vik_brutish_trait_agricultural_estates
GENERIC_LORD	vik_estate_effects_agricultural	cowardly	vik_cowardly_trait_agricultural_estates
GENERIC_LORD	vik_estate_effects_agricultural	foolish	vik_foolish_trait_agricultural_estates
GENERIC_LORD	vik_estate_effects_agricultural	heroic	vik_heroic_trait_agricultural_estates
GENERIC_LORD	vik_estate_effects_agricultural	industrious	vik_industrious_trait_agricultural_estates
GENERIC_LORD	vik_estate_effects_agricultural	malicious	vik_malicious_trait_agricultural_estates
GENERIC_LORD	vik_estate_effects_agricultural	noble	vik_noble_trait_agricultural_estates
GENERIC_LORD	vik_estate_effects_agricultural	sinful	vik_sinful_trait_agricultural_estates
GENERIC_LORD	vik_estate_effects_agricultural	virtuous	vik_virtuous_trait_agricultural_estates
GENERIC_LORD	vik_estate_effects_agricultural	wise	vik_wise_trait_agricultural_estates
GENERIC_LORD	vik_estate_effects_estate_building	brutish	vik_brutish_trait_noble_estates
GENERIC_LORD	vik_estate_effects_estate_building	cowardly	vik_cowardly_trait_noble_estates
GENERIC_LORD	vik_estate_effects_estate_building	foolish	vik_foolish_trait_noble_estates
GENERIC_LORD	vik_estate_effects_estate_building	heroic	vik_heroic_trait_noble_estates
GENERIC_LORD	vik_estate_effects_estate_building	industrious	vik_industrious_trait_noble_estates
GENERIC_LORD	vik_estate_effects_estate_building	malicious	vik_malicious_trait_noble_estates
GENERIC_LORD	vik_estate_effects_estate_building	noble	vik_noble_trait_noble_estates
GENERIC_LORD	vik_estate_effects_estate_building	sinful	vik_sinful_trait_noble_estates
GENERIC_LORD	vik_estate_effects_estate_building	virtuous	vik_virtuous_trait_noble_estates
GENERIC_LORD	vik_estate_effects_estate_building	wise	vik_wise_trait_noble_estates
GENERIC_LORD	vik_estate_effects_religious	brutish	vik_brutish_trait_religious_estates
GENERIC_LORD	vik_estate_effects_religious	cowardly	vik_cowardly_trait_religious_estates
GENERIC_LORD	vik_estate_effects_religious	foolish	vik_foolish_trait_religious_estates
GENERIC_LORD	vik_estate_effects_religious	heroic	vik_heroic_trait_religious_estates
GENERIC_LORD	vik_estate_effects_religious	industrious	vik_industrious_trait_religious_estates
GENERIC_LORD	vik_estate_effects_religious	malicious	vik_malicious_trait_religious_estates
GENERIC_LORD	vik_estate_effects_religious	noble	vik_noble_trait_religious_estates
GENERIC_LORD	vik_estate_effects_religious	personality	vik_estate_effects_test_bundle
GENERIC_LORD	vik_estate_effects_religious	sinful	vik_sinful_trait_religious_estates
GENERIC_LORD	vik_estate_effects_religious	virtuous	vik_virtuous_trait_religious_estates
GENERIC_LORD	vik_estate_effects_religious	wise	vik_wise_trait_religious_estates
