trait	applicable_to
#trait_info_tables;0;db/trait_info_tables/king_titles	
shield_leader_titles_king	agent
shield_leader_titles_vassal	agent
shield_leader_titles_vik_fact_circenn_0	agent
shield_leader_titles_vik_fact_circenn_1	agent
shield_leader_titles_vik_fact_circenn_2	agent
shield_leader_titles_vik_fact_dyflin_0	agent
shield_leader_titles_vik_fact_dyflin_1	agent
shield_leader_titles_vik_fact_dyflin_2	agent
shield_leader_titles_vik_fact_east_engle_0	agent
shield_leader_titles_vik_fact_east_engle_1	agent
shield_leader_titles_vik_fact_east_engle_2	agent
shield_leader_titles_vik_fact_gwined_0	agent
shield_leader_titles_vik_fact_gwined_1	agent
shield_leader_titles_vik_fact_gwined_2	agent
shield_leader_titles_vik_fact_mide_0	agent
shield_leader_titles_vik_fact_mide_1	agent
shield_leader_titles_vik_fact_mide_2	agent
shield_leader_titles_vik_fact_mierce_0	agent
shield_leader_titles_vik_fact_mierce_1	agent
shield_leader_titles_vik_fact_mierce_2	agent
shield_leader_titles_vik_fact_northymbre_0	agent
shield_leader_titles_vik_fact_northymbre_1	agent
shield_leader_titles_vik_fact_northymbre_2	agent
shield_leader_titles_vik_fact_strat_clut_0	agent
shield_leader_titles_vik_fact_strat_clut_1	agent
shield_leader_titles_vik_fact_strat_clut_2	agent
shield_leader_titles_vik_fact_sudreyar_0	agent
shield_leader_titles_vik_fact_sudreyar_1	agent
shield_leader_titles_vik_fact_sudreyar_2	agent
shield_leader_titles_vik_fact_west_seaxe_0	agent
shield_leader_titles_vik_fact_west_seaxe_1	agent
shield_leader_titles_vik_fact_west_seaxe_2	agent
shield_leader_titles_vik_fact_northleode_0	agent
shield_leader_titles_vik_fact_northleode_1	agent
shield_leader_titles_vik_fact_northleode_2	agent
