trait	applicable_to
#trait_info_tables;0;db/trait_info_tables/shield_trait_info	
shield_brute_bloodythirsty	agent
shield_brute_corrupt	agent
shield_brute_legendary_brute	agent
shield_brute_violent	agent
shield_elder_beloved	agent
shield_elder_dutifull	agent
shield_elder_husbandman	agent
shield_elder_legendary_elder	agent
shield_elder_storyteller	agent
shield_faithful_charitable	agent
shield_faithful_friend_of_the_church	agent
shield_faithful_legendary_saint	agent
shield_faithful_repentent	agent
shield_heathen_beast_slayer	agent
shield_heathen_legendary_bearskin	agent
shield_heathen_legendary_wolfskin	agent
shield_heathen_old_ways	agent
shield_heathen_pagan	agent
shield_heathen_sailor	agent
shield_judge_honourable	agent
shield_judge_just	agent
shield_judge_lawful	agent
shield_judge_legendary_judge	agent
shield_magnate_collector	agent
shield_magnate_greedy	agent
shield_magnate_legendary_magnate	agent
shield_magnate_seneschal	agent
shield_noble_high_born	agent
shield_noble_hunter	agent
shield_noble_legendary_king	agent
shield_noble_princely	agent
shield_noble_proud	agent
shield_scholar_educated	agent
shield_scholar_lawyer	agent
shield_scholar_legendary_thinker	agent
shield_scholar_wise	agent
shield_tyrant_legendary_tyrant	agent
shield_tyrant_oppressor	agent
shield_tyrant_subjugator	agent
shield_tyrant_treasonous	agent
shield_warrior_champion	agent
shield_warrior_legendary_warrior	agent
shield_warrior_natural_leader	agent
shield_warrior_proven_warrior	agent
shield_item_st_oswald	agent
shield_item_stag_rack	agent
shield_item_boarskin	agent
shield_item_bearskin	agent
shield_item_wolfskin	agent
