trait	applicable_to
#trait_info_tables;0;db/trait_info_tables/system_traits	
shield_friendship_0	agent
shield_friendship_1	agent
shield_friendship_2	agent
shield_friendship_3	agent
shield_friendship_4	agent
shield_mood_0	agent
shield_mood_1	agent
shield_mood_10	agent
shield_mood_2	agent
shield_mood_3	agent
shield_mood_4	agent
shield_mood_5	agent
shield_mood_6	agent
shield_mood_7	agent
shield_mood_8	agent
shield_mood_9	agent
shield_trait_disloyal	agent
shield_trait_loyal	agent
shield_general_0	agent
shield_general_1	agent
shield_fame_1	agent
shield_fame_2	agent
shield_fame_3	agent
shield_fame_4	agent
shield_fame_5	agent
shield_fame_6	agent
shield_fame_7	agent
shield_fame_8	agent
shield_fame_9	agent
shield_fame_10	agent
shield_fame_11	agent
shield_fame_12	agent
shield_fame_13	agent
shield_fame_14	agent
shield_fame_15	agent
shield_family_fame_1	agent
shield_family_fame_2	agent
shield_family_fame_3	agent
shield_family_fame_4	agent
shield_family_fame_5	agent
shield_family_fame_6	agent
shield_family_fame_7	agent
shield_family_fame_8	agent
shield_family_fame_9	agent
shield_family_fame_10	agent
shield_family_fame_11	agent
shield_family_fame_12	agent
shield_family_fame_13	agent
shield_family_fame_14	agent
shield_family_fame_15	agent
