trait_level	effect	effect_scope	value
#trait_level_effects_tables;0;db/trait_level_effects_tables/background_traits			
vik_bg_general_born_governor	vik_general_attribute_command	character_to_character_own	3.0
vik_bg_general_defender	vik_general_attribute_command	character_to_character_own	3.0
vik_bg_general_farmer	vik_general_attribute_command	character_to_character_own	7.0
vik_bg_general_fearless	vik_general_attribute_command	character_to_character_own	4.0
vik_bg_general_landowner	vik_general_attribute_command	character_to_character_own	4.0
vik_bg_general_melee_skill	vik_general_attribute_command	character_to_character_own	3.0
vik_bg_general_negotiator	vik_general_attribute_command	character_to_character_own	4.0
vik_bg_general_passionate	vik_general_attribute_command	character_to_character_own	4.0
vik_bg_general_pastor	vik_general_attribute_command	character_to_character_own	3.0
vik_bg_general_spearmen_skill	vik_general_attribute_command	character_to_character_own	5.0
vik_bg_general_born_governor	vik_general_attribute_governance	character_to_character_own	7.0
vik_bg_general_defender	vik_general_attribute_governance	character_to_character_own	4.0
vik_bg_general_farmer	vik_general_attribute_governance	character_to_character_own	3.0
vik_bg_general_fearless	vik_general_attribute_governance	character_to_character_own	3.0
vik_bg_general_landowner	vik_general_attribute_governance	character_to_character_own	3.0
vik_bg_general_melee_skill	vik_general_attribute_governance	character_to_character_own	2.0
vik_bg_general_negotiator	vik_general_attribute_governance	character_to_character_own	4.0
vik_bg_general_passionate	vik_general_attribute_governance	character_to_character_own	3.0
vik_bg_general_pastor	vik_general_attribute_governance	character_to_character_own	5.0
vik_bg_general_spearmen_skill	vik_general_attribute_governance	character_to_character_own	3.0
vik_bg_general_born_governor	vik_general_attribute_zeal	character_to_character_own	2.0
vik_bg_general_defender	vik_general_attribute_zeal	character_to_character_own	4.0
vik_bg_general_farmer	vik_general_attribute_zeal	character_to_character_own	2.0
vik_bg_general_fearless	vik_general_attribute_zeal	character_to_character_own	4.0
vik_bg_general_landowner	vik_general_attribute_zeal	character_to_character_own	4.0
vik_bg_general_melee_skill	vik_general_attribute_zeal	character_to_character_own	7.0
vik_bg_general_negotiator	vik_general_attribute_zeal	character_to_character_own	3.0
vik_bg_general_passionate	vik_general_attribute_zeal	character_to_character_own	5.0
vik_bg_general_pastor	vik_general_attribute_zeal	character_to_character_own	5.0
vik_bg_general_spearmen_skill	vik_general_attribute_zeal	character_to_character_own	3.0
vik_bg_general_born_commander	vik_general_attribute_command	character_to_character_own	3.0
vik_bg_general_born_commander	vik_general_attribute_governance	character_to_character_own	7.0
vik_bg_general_born_commander	vik_general_attribute_zeal	character_to_character_own	2.0
vik_bg_general_champion_rider	vik_general_attribute_command	character_to_character_own	4.0
vik_bg_general_champion_rider	vik_general_attribute_governance	character_to_character_own	3.0
vik_bg_general_champion_rider	vik_general_attribute_zeal	character_to_character_own	4.0
vik_bg_general_warrior	vik_general_attribute_command	character_to_character_own	4.0
vik_bg_general_warrior	vik_general_attribute_governance	character_to_character_own	3.0
vik_bg_general_warrior	vik_general_attribute_zeal	character_to_character_own	4.0
vik_bg_general_melee_upkeep	vik_general_attribute_command	character_to_character_own	4.0
vik_bg_general_melee_upkeep	vik_general_attribute_governance	character_to_character_own	3.0
vik_bg_general_melee_upkeep	vik_general_attribute_zeal	character_to_character_own	4.0
vik_bg_general_merchant	vik_general_attribute_command	character_to_character_own	3.0
vik_bg_general_merchant	vik_general_attribute_governance	character_to_character_own	2.0
vik_bg_general_merchant	vik_general_attribute_zeal	character_to_character_own	7.0
vik_bg_general_miner	vik_general_attribute_command	character_to_character_own	4.0
vik_bg_general_miner	vik_general_attribute_governance	character_to_character_own	4.0
vik_bg_general_miner	vik_general_attribute_zeal	character_to_character_own	3.0
vik_bg_general_missile_damage	vik_general_attribute_command	character_to_character_own	4.0
vik_bg_general_missile_damage	vik_general_attribute_governance	character_to_character_own	3.0
vik_bg_general_missile_damage	vik_general_attribute_zeal	character_to_character_own	5.0
vik_bg_general_missile_recruitment	vik_general_attribute_command	character_to_character_own	4.0
vik_bg_general_missile_recruitment	vik_general_attribute_governance	character_to_character_own	3.0
vik_bg_general_missile_recruitment	vik_general_attribute_zeal	character_to_character_own	5.0
vik_bg_general_missile_upkeep	vik_general_attribute_command	character_to_character_own	3.0
vik_bg_general_missile_upkeep	vik_general_attribute_governance	character_to_character_own	5.0
vik_bg_general_missile_upkeep	vik_general_attribute_zeal	character_to_character_own	5.0
vik_bg_general_seafarer	vik_general_attribute_command	character_to_character_own	3.0
vik_bg_general_seafarer	vik_general_attribute_governance	character_to_character_own	5.0
vik_bg_general_seafarer	vik_general_attribute_zeal	character_to_character_own	5.0
vik_bg_general_spearmen_recruitment	vik_general_attribute_command	character_to_character_own	5.0
vik_bg_general_spearmen_recruitment	vik_general_attribute_governance	character_to_character_own	3.0
vik_bg_general_spearmen_recruitment	vik_general_attribute_zeal	character_to_character_own	3.0
vik_bg_general_spearmen_upkeep	vik_general_attribute_command	character_to_character_own	5.0
vik_bg_general_spearmen_upkeep	vik_general_attribute_governance	character_to_character_own	3.0
vik_bg_general_spearmen_upkeep	vik_general_attribute_zeal	character_to_character_own	3.0
vik_bg_general_cavalry_recruitment	vik_general_attribute_command	character_to_character_own	3.0
vik_bg_general_cavalry_recruitment	vik_general_attribute_governance	character_to_character_own	4.0
vik_bg_general_cavalry_recruitment	vik_general_attribute_zeal	character_to_character_own	4.0
vik_bg_general_cavalry_upkeep	vik_general_attribute_command	character_to_character_own	7.0
vik_bg_general_cavalry_upkeep	vik_general_attribute_governance	character_to_character_own	3.0
vik_bg_general_cavalry_upkeep	vik_general_attribute_zeal	character_to_character_own	2.0
