trait_level	effect	effect_scope	value
#trait_level_effects_tables;0;db/trait_level_effects_tables/king_titles			
shield_leader_titles_king	vik_influence_mod	character_to_character_own	3.0
shield_leader_titles_vassal	vik_influence_mod	character_to_character_own	2.0
shield_leader_titles_vik_fact_circenn_0	vik_influence_mod	character_to_character_own	3.0
shield_leader_titles_vik_fact_circenn_1	vik_influence_mod	character_to_character_own	4.0
shield_leader_titles_vik_fact_circenn_2	vik_influence_mod	character_to_character_own	5.0
shield_leader_titles_vik_fact_dyflin_0	vik_influence_mod	character_to_character_own	3.0
shield_leader_titles_vik_fact_dyflin_1	vik_influence_mod	character_to_character_own	4.0
shield_leader_titles_vik_fact_dyflin_2	vik_influence_mod	character_to_character_own	5.0
shield_leader_titles_vik_fact_east_engle_0	vik_influence_mod	character_to_character_own	3.0
shield_leader_titles_vik_fact_east_engle_1	vik_influence_mod	character_to_character_own	4.0
shield_leader_titles_vik_fact_east_engle_2	vik_influence_mod	character_to_character_own	5.0
shield_leader_titles_vik_fact_gwined_0	vik_influence_mod	character_to_character_own	3.0
shield_leader_titles_vik_fact_gwined_1	vik_influence_mod	character_to_character_own	4.0
shield_leader_titles_vik_fact_gwined_2	vik_influence_mod	character_to_character_own	5.0
shield_leader_titles_vik_fact_mide_0	vik_influence_mod	character_to_character_own	3.0
shield_leader_titles_vik_fact_mide_1	vik_influence_mod	character_to_character_own	4.0
shield_leader_titles_vik_fact_mide_2	vik_influence_mod	character_to_character_own	5.0
shield_leader_titles_vik_fact_mierce_0	vik_influence_mod	character_to_character_own	3.0
shield_leader_titles_vik_fact_mierce_1	vik_influence_mod	character_to_character_own	4.0
shield_leader_titles_vik_fact_mierce_2	vik_influence_mod	character_to_character_own	5.0
shield_leader_titles_vik_fact_northymbre_0	vik_influence_mod	character_to_character_own	3.0
shield_leader_titles_vik_fact_northymbre_1	vik_influence_mod	character_to_character_own	4.0
shield_leader_titles_vik_fact_northymbre_2	vik_influence_mod	character_to_character_own	5.0
shield_leader_titles_vik_fact_strat_clut_0	vik_influence_mod	character_to_character_own	3.0
shield_leader_titles_vik_fact_strat_clut_1	vik_influence_mod	character_to_character_own	4.0
shield_leader_titles_vik_fact_strat_clut_2	vik_influence_mod	character_to_character_own	5.0
shield_leader_titles_vik_fact_sudreyar_0	vik_influence_mod	character_to_character_own	3.0
shield_leader_titles_vik_fact_sudreyar_1	vik_influence_mod	character_to_character_own	4.0
shield_leader_titles_vik_fact_sudreyar_2	vik_influence_mod	character_to_character_own	5.0
shield_leader_titles_vik_fact_west_seaxe_0	vik_influence_mod	character_to_character_own	3.0
shield_leader_titles_vik_fact_west_seaxe_1	vik_influence_mod	character_to_character_own	4.0
shield_leader_titles_vik_fact_west_seaxe_2	vik_influence_mod	character_to_character_own	5.0
shield_leader_titles_vik_fact_northleode_0	vik_influence_mod	character_to_character_own	3.0
shield_leader_titles_vik_fact_northleode_1	vik_influence_mod	character_to_character_own	4.0
shield_leader_titles_vik_fact_northleode_2	vik_influence_mod	character_to_character_own	5.0
