trait_level	effect	effect_scope	value
#trait_level_effects_tables;0;db/trait_level_effects_tables/regular_title_effects			
shield_title_vik_reg_abberdeon_irish_0	vik_influence_mod	character_to_character_own	1.0
shield_title_vik_reg_abberdeon_irish_1	vik_influence_mod	character_to_character_own	3.0
shield_title_vik_reg_abberdeon_irish_2	vik_influence_mod	character_to_character_own	5.0
shield_title_vik_reg_abberdeon_norse_0	vik_influence_mod	character_to_character_own	1.0
shield_title_vik_reg_abberdeon_norse_1	vik_influence_mod	character_to_character_own	3.0
shield_title_vik_reg_abberdeon_norse_2	vik_influence_mod	character_to_character_own	5.0
shield_title_vik_reg_abberdeon_saxon_0	vik_influence_mod	character_to_character_own	1.0
shield_title_vik_reg_abberdeon_saxon_1	vik_influence_mod	character_to_character_own	3.0
shield_title_vik_reg_abberdeon_saxon_2	vik_influence_mod	character_to_character_own	5.0
shield_title_vik_reg_abberdeon_scotish_0	vik_influence_mod	character_to_character_own	1.0
shield_title_vik_reg_abberdeon_scotish_1	vik_influence_mod	character_to_character_own	3.0
shield_title_vik_reg_abberdeon_scotish_2	vik_influence_mod	character_to_character_own	5.0
shield_title_vik_reg_abberdeon_welsh_0	vik_influence_mod	character_to_character_own	1.0
shield_title_vik_reg_abberdeon_welsh_1	vik_influence_mod	character_to_character_own	3.0
shield_title_vik_reg_abberdeon_welsh_2	vik_influence_mod	character_to_character_own	5.0
shield_title_vik_reg_aberffro_irish_0	vik_influence_mod	character_to_character_own	1.0
shield_title_vik_reg_aberffro_irish_1	vik_influence_mod	character_to_character_own	3.0
shield_title_vik_reg_aberffro_irish_2	vik_influence_mod	character_to_character_own	5.0
shield_title_vik_reg_aberffro_norse_0	vik_influence_mod	character_to_character_own	1.0
shield_title_vik_reg_aberffro_norse_1	vik_influence_mod	character_to_character_own	3.0
shield_title_vik_reg_aberffro_norse_2	vik_influence_mod	character_to_character_own	5.0
shield_title_vik_reg_aberffro_saxon_0	vik_influence_mod	character_to_character_own	1.0
shield_title_vik_reg_aberffro_saxon_1	vik_influence_mod	character_to_character_own	3.0
shield_title_vik_reg_aberffro_saxon_2	vik_influence_mod	character_to_character_own	5.0
shield_title_vik_reg_aberffro_scotish_0	vik_influence_mod	character_to_character_own	1.0
shield_title_vik_reg_aberffro_scotish_1	vik_influence_mod	character_to_character_own	3.0
shield_title_vik_reg_aberffro_scotish_2	vik_influence_mod	character_to_character_own	5.0
shield_title_vik_reg_aberffro_welsh_0	vik_influence_mod	character_to_character_own	1.0
shield_title_vik_reg_aberffro_welsh_1	vik_influence_mod	character_to_character_own	3.0
shield_title_vik_reg_aberffro_welsh_2	vik_influence_mod	character_to_character_own	5.0
shield_title_vik_reg_aberteifi_irish_0	vik_influence_mod	character_to_character_own	1.0
shield_title_vik_reg_aberteifi_irish_1	vik_influence_mod	character_to_character_own	3.0
shield_title_vik_reg_aberteifi_irish_2	vik_influence_mod	character_to_character_own	5.0
shield_title_vik_reg_aberteifi_norse_0	vik_influence_mod	character_to_character_own	1.0
shield_title_vik_reg_aberteifi_norse_1	vik_influence_mod	character_to_character_own	3.0
shield_title_vik_reg_aberteifi_norse_2	vik_influence_mod	character_to_character_own	5.0
shield_title_vik_reg_aberteifi_saxon_0	vik_influence_mod	character_to_character_own	1.0
shield_title_vik_reg_aberteifi_saxon_1	vik_influence_mod	character_to_character_own	3.0
shield_title_vik_reg_aberteifi_saxon_2	vik_influence_mod	character_to_character_own	5.0
shield_title_vik_reg_aberteifi_scotish_0	vik_influence_mod	character_to_character_own	1.0
shield_title_vik_reg_aberteifi_scotish_1	vik_influence_mod	character_to_character_own	3.0
shield_title_vik_reg_aberteifi_scotish_2	vik_influence_mod	character_to_character_own	5.0
shield_title_vik_reg_aberteifi_welsh_0	vik_influence_mod	character_to_character_own	1.0
shield_title_vik_reg_aberteifi_welsh_1	vik_influence_mod	character_to_character_own	3.0
shield_title_vik_reg_aberteifi_welsh_2	vik_influence_mod	character_to_character_own	5.0
shield_title_vik_reg_achadh_bo_irish_0	vik_influence_mod	character_to_character_own	1.0
shield_title_vik_reg_achadh_bo_irish_1	vik_influence_mod	character_to_character_own	3.0
shield_title_vik_reg_achadh_bo_irish_2	vik_influence_mod	character_to_character_own	5.0
shield_title_vik_reg_achadh_bo_norse_0	vik_influence_mod	character_to_character_own	1.0
shield_title_vik_reg_achadh_bo_norse_1	vik_influence_mod	character_to_character_own	3.0
shield_title_vik_reg_achadh_bo_norse_2	vik_influence_mod	character_to_character_own	5.0
shield_title_vik_reg_achadh_bo_saxon_0	vik_influence_mod	character_to_character_own	1.0
shield_title_vik_reg_achadh_bo_saxon_1	vik_influence_mod	character_to_character_own	3.0
shield_title_vik_reg_achadh_bo_saxon_2	vik_influence_mod	character_to_character_own	5.0
shield_title_vik_reg_achadh_bo_scotish_0	vik_influence_mod	character_to_character_own	1.0
shield_title_vik_reg_achadh_bo_scotish_1	vik_influence_mod	character_to_character_own	3.0
