trait_level	effect	effect_scope	value
#trait_level_effects_tables;0;db/trait_level_effects_tables/shield_loyalty_trait_level_effects			
shield_noble_high_born	shield_xloyalty_high_born	character_to_character_own	1.0
shield_judge_just	shield_xloyalty_violent	character_to_character_own	1.0
shield_faithful_charitable	shield_xloyalty_greedy	character_to_character_own	-1.0
shield_heathen_pagan	shield_xloyalty_friend_of_the_church	character_to_character_own	-2.0
shield_scholar_educated	shield_loyalty_event_library	character_to_character_own	1.0
shield_scholar_educated	shield_xloyalty_wise	character_to_character_own	1.0
shield_heathen_old_ways	shield_loyalty_event_treaties_broken_vikings	character_to_character_own	-3.0
shield_noble_princely	shield_loyalty_event_princely	character_to_character_own	2.0
shield_faithful_charitable	shield_xloyalty_legendary_tyrant	character_to_character_own	-1.0
shield_tyrant_oppressor	shieldwall_put_down_riots	general_to_region_own_provincewide_when_governor	1.0
shield_magnate_collector	shield_xloyalty_charitable	character_to_character_own	-1.0
shield_elder_dutifull	shield_loyalty_event_bandits	character_to_character_own	-2.0
