trait_level	effect	effect_scope	value
#trait_level_effects_tables;0;db/trait_level_effects_tables/shield_trait_level_effects			
shield_scholar_educated	vik_general_attribute_governance	character_to_character_own	2.0
shield_scholar_wise	vik_general_attribute_governance	character_to_character_own	3.0
shield_scholar_wise	vik_public_order_new_positive_characters	general_to_region_own_provincewide_when_governor	1.0
shield_scholar_lawyer	vik_corruption_mod	general_to_province_own_when_governor	-5.0
shield_scholar_lawyer	vik_tax_mod	general_to_province_own_when_governor	15.0
shield_scholar_legendary_thinker	vik_fame	character_to_faction_unseen	15.0
shield_scholar_legendary_thinker	vik_influence_mod	character_to_character_own	1.0
shield_scholar_legendary_thinker	vik_research_rate	character_to_faction_unseen	50.0
shield_noble_high_born	vik_influence_mod	character_to_character_own	1.0
shield_noble_legendary_king	vik_influence_mod	character_to_character_own	1.0
shield_noble_legendary_king	vik_general_attribute_command	character_to_character_own	1.0
shield_noble_legendary_king	vik_general_attribute_zeal	character_to_character_own	1.0
shield_noble_princely	vik_influence_mod	character_to_character_own	1.0
shield_noble_princely	vik_general_attribute_command	character_to_character_own	1.0
shield_noble_hunter	vik_general_attribute_zeal	character_to_character_own	1.0
shield_noble_hunter	shieldwall_bowmen_recruit_exp	general_to_army_own	1.0
shield_noble_proud	vik_influence_mod	character_to_character_own	1.0
shield_noble_proud	vik_general_attribute_command	character_to_character_own	1.0
shield_heathen_sailor	vik_unit_morale_sea_attack	general_to_army_own	2.0
shield_heathen_sailor	vik_navy_campaign_movement	general_to_army_own	25.0
shield_heathen_old_ways	shieldwall_prevents_foreign_conflict	general_to_province_own_when_governor	1.0
shield_heathen_pagan	vik_unit_enemy_morale	character_to_force_enemy_regionwide	-2.0
shield_heathen_beast_slayer	vik_general_attribute_zeal	character_to_character_own	2.0
shield_heathen_legendary_wolfskin	vik_general_ability_enable_fast_charge_1	character_to_character_own	1.0
shield_heathen_legendary_bearskin	vik_general_ability_enable_fear_1	character_to_character_own	1.0
shield_heathen_legendary_wolfskin	vik_unit_battle_movement	character_to_character_own	2.0
shield_heathen_legendary_bearskin	vik_general_bodyguard_mod_melee_skill	character_to_character_own	10.0
shield_heathen_legendary_wolfskin	vik_general_attribute_command	character_to_character_own	3.0
shield_heathen_legendary_bearskin	vik_general_attribute_zeal	character_to_character_own	3.0
shield_faithful_charitable	vik_public_order_new_positive_characters	general_to_region_own_provincewide_when_governor	2.0
shield_faithful_charitable	vik_food_production_mod	general_to_region_own_provincewide_when_governor	20.0
shield_faithful_charitable	vik_gdp_mod_farms	general_to_region_own_provincewide_when_governor	-30.0
shield_faithful_repentent	vik_allegiance	character_to_region_own	1.0
shield_faithful_friend_of_the_church	vik_influence_mod	character_to_character_own	1.0
shield_faithful_friend_of_the_church	vik_research_rate	character_to_faction	5.0
shield_faithful_legendary_saint	vik_loyalty_mod_character	faction_to_character_own	1.0
shield_faithful_legendary_saint	vik_corruption_mod	general_to_province_own_when_governor	-30.0
shield_faithful_legendary_saint	vik_gdp_mod_market_hidden	province_to_region_own	-50.0
shield_brute_violent	vik_sack_income	character_to_character_own	50.0
shield_brute_bloodythirsty	vik_public_order_new_positive_characters	general_to_region_own_provincewide_when_governor	2.0
shield_brute_bloodythirsty	vik_allegiance_usurper	character_to_region_own	1.0
shield_brute_corrupt	vik_corruption_mod	general_to_province_own_when_governor	35.0
shield_brute_legendary_brute	vik_corruption_mod	general_to_province_own_when_governor	8.0
shield_brute_legendary_brute	vik_public_order_new_positive_characters	general_to_region_own_provincewide_when_governor	6.0
shield_tyrant_subjugator	vik_allegiance	character_to_region_own	3.0
shield_tyrant_subjugator	vik_gdp_mod_farms	faction_to_region_own	5.0
shield_tyrant_oppressor	vik_gdp_mod_farms	faction_to_region_own	15.0
shield_tyrant_treasonous	vik_allegiance_usurper	character_to_region_own	3.0
shield_tyrant_legendary_tyrant	vik_diplomacy_penalty_severe	faction_to_faction_own_unseen	-15.0
shield_tyrant_legendary_tyrant	vik_influence_mod	character_to_character_own	3.0
shield_tyrant_legendary_tyrant	vik_vassal_income	faction_to_faction_own_unseen	15.0
shield_judge_just	vik_corruption_mod	general_to_province_own_when_governor	-5.0
shield_judge_just	vik_general_attribute_governance	character_to_character_own	2.0
shield_judge_lawful	vik_general_attribute_zeal	character_to_character_own	1.0
shield_judge_lawful	vik_allegiance	character_to_region_own	1.0
shield_judge_lawful	vik_gdp_mod_market	faction_to_region_own_unseen	-5.0
shield_judge_honourable	vik_diplomacy_bonus	faction_to_faction_own_unseen	10.0
shield_judge_honourable	vik_political_action_cost	faction_to_faction_own	20.0
shield_judge_legendary_judge	vik_influence_mod	character_to_character_own	1.0
shield_judge_legendary_judge	vik_general_attribute_command	character_to_character_own	1.0
shield_judge_legendary_judge	vik_corruption_mod	general_to_province_own_when_governor	-95.0
