trait_level	effect	effect_scope	value
#trait_level_effects_tables;0;db/trait_level_effects_tables/system_trait_level_effects			
shield_trait_disloyal	shieldwall_disloyal_bad_traits	character_to_character_own	-1.0
shield_trait_disloyal	shieldwall_disloyal_plotter_authority	character_to_character_own	-1.0
shield_trait_loyal	vik_allegiance	character_to_region_own	2.0
shield_friendship_0	vik_loyalty_mod_character_negative	character_to_character_own	-2.0
shield_friendship_1	vik_loyalty_mod_character_negative	character_to_character_own	-1.0
shield_friendship_2	vik_loyalty_mod_character	character_to_character_own	0.0
shield_friendship_3	vik_loyalty_mod_character	character_to_character_own	1.0
shield_friendship_4	vik_loyalty_mod_character	character_to_character_own	2.0
shield_mood_1	vik_loyalty_mod_character_negative	character_to_character_own	-3.0
shield_mood_2	vik_loyalty_mod_character_negative	character_to_character_own	-1.0
shield_mood_3	vik_loyalty_mod_character	character_to_character_own	1.0
shield_mood_4	vik_loyalty_mod_character	character_to_character_own	2.0
shield_mood_5	vik_loyalty_mod_character	character_to_character_own	3.0
shield_general_0	vik_influence_mod	character_to_character_own	1.0
shield_general_1	vik_influence_mod	character_to_character_own	3.0
shield_fame_1	shieldwall_personal_fame	character_to_faction	10.0
shield_fame_2	vik_fame	character_to_faction	10.0
shield_fame_3	vik_fame	character_to_faction	15.0
shield_fame_4	vik_fame	character_to_faction	25.0
shield_fame_5	vik_fame	character_to_faction	40.0
shield_fame_6	vik_fame	character_to_faction	50.0
shield_fame_7	vik_fame	character_to_faction	65.0
shield_fame_8	vik_fame	character_to_faction	75.0
shield_fame_9	vik_fame	character_to_faction	90.0
shield_fame_10	vik_fame	character_to_faction	100.0
shield_fame_11	vik_fame	character_to_faction	115.0
shield_fame_12	vik_fame	character_to_faction	125.0
shield_fame_13	vik_fame	character_to_faction	140.0
shield_fame_14	vik_fame	character_to_faction	150.0
shield_fame_15	vik_fame	character_to_faction	175.0
shield_family_fame_2	vik_fame	character_to_faction	10.0
shield_family_fame_3	vik_fame	character_to_faction	15.0
shield_family_fame_4	vik_fame	character_to_faction	25.0
shield_family_fame_5	vik_fame	character_to_faction	40.0
shield_family_fame_6	vik_fame	character_to_faction	50.0
shield_family_fame_7	vik_fame	character_to_faction	65.0
shield_family_fame_8	vik_fame	character_to_faction	75.0
shield_family_fame_9	vik_fame	character_to_faction	90.0
shield_family_fame_10	vik_fame	character_to_faction	100.0
shield_family_fame_11	vik_fame	character_to_faction	115.0
shield_family_fame_12	vik_fame	character_to_faction	125.0
shield_family_fame_13	vik_fame	character_to_faction	140.0
shield_family_fame_14	vik_fame	character_to_faction	150.0
shield_family_fame_15	vik_fame	character_to_faction	175.0
