trait_level	effect	effect_scope	value
#trait_level_effects_tables;0;db/trait_level_effects_tables/trait_level_effects			
vik_estate_agricultural_received	vik_gdp_mod_farms	character_to_region_own_provincewide	10.0
vik_estate_doesnt_care	vik_estate_char_desire_no_estates	character_to_character_own	1.0
vik_estate_estate_building_received	vik_allegiance_priest	character_to_character_own_territory	2.0
vik_estate_influence_high	vik_allegiance_priest	character_to_character_own_territory	2.0
vik_estate_influence_high	vik_estate_desire_all	character_to_character_own	3.0
vik_estate_influence_low	vik_estate_desire_all	character_to_character_own	1.0
vik_estate_influence_med	vik_estate_desire_all	character_to_character_own	2.0
vik_estate_less_than_king	vik_estate_char_desire_less_than_faction_leader	character_to_character_own	-1.0
vik_estate_lower_rank_received	vik_loyalty_mod_character	character_to_character_own	-1.0
vik_estate_loyalty_high	vik_estate_char_desire_no_estates	character_to_character_own	1.0
vik_estate_loyalty_low	vik_allegiance_usurper	character_to_region_own	2.0
vik_estate_loyalty_low	vik_estate_char_desire_more_than_faction_leader	character_to_character_own	-1.0
vik_estate_loyalty_med	vik_estate_char_desire_more_than_others_not_faction_leader	character_to_character_own	-1.0
vik_estate_min_estates	vik_estate_desire_all	character_to_character_own	3.0
vik_estate_more_than_generals_and_governors	vik_estate_char_desire_more_than_generals_and_governors	character_to_character_own	-1.0
vik_estate_more_than_king	vik_estate_char_desire_more_than_faction_leader	character_to_character_own	-1.0
vik_estate_more_than_lower_command	vik_estate_char_desire_more_than_lower_command_chars	character_to_character_own	-1.0
vik_estate_more_than_lower_governance	vik_estate_char_desire_more_than_lower_governance_chars	character_to_character_own	-1.0
vik_estate_more_than_lower_influence	vik_estate_char_desire_more_than_lower_influence_chars	character_to_character_own	-1.0
vik_estate_more_than_lower	vik_estate_char_desire_more_than_lower_level_chars	character_to_character_own	-1.0
vik_estate_more_than_others	vik_estate_char_desire_more_than_others_not_faction_leader	character_to_character_own	-1.0
vik_estate_more_than_younger	vik_estate_char_desire_more_than_younger_chars	character_to_character_own	-1.0
vik_estate_none	vik_estate_aversion_all	character_to_character_own	-1.0
vik_estate_not_type_agriculture	vik_estate_aversion_agricultural	character_to_character_own	-1.0
vik_estate_not_type_estate	vik_estate_aversion_estate_building	character_to_character_own	-1.0
vik_estate_not_type_religion	vik_estate_aversion_religious	character_to_character_own	-1.0
vik_estate_other_received	vik_loyalty_mod_character	character_to_character_own	-1.0
vik_estate_religious_received	vik_public_order_new_positive_characters	character_to_region_own_provincewide	3.0
vik_estate_type_agriculture	vik_estate_desire_agricultural	character_to_character_own	1.0
vik_estate_type_estate	vik_estate_desire_estate_building	character_to_character_own	1.0
vik_estate_type_religion	vik_estate_desire_religious	character_to_character_own	1.0
vik_estate_younger_received	vik_loyalty_mod_character	character_to_character_own	-1.0
vik_experience_royally_recognized_1	vik_influence_mod	character_to_character_enemy_provincewide	3.0
vik_experience_royally_recognized_1	vik_public_order_new_positive_characters	character_to_region_own_provincewide	3.0
vik_experience_royally_recognized_1	vik_replenishment_rate	general_to_army_own	10.0
vik_female_influence	vik_influence_mod	character_to_character_own	4.0
vik_gov_province_agmundrenesse	vik_influence_mod	character_to_character_own	1.0
vik_gov_province_aileach	vik_influence_mod	character_to_character_own	1.0
vik_gov_province_airer_goidel	vik_influence_mod	character_to_character_own	1.0
vik_gov_province_airgialla	vik_influence_mod	character_to_character_own	1.0
vik_gov_province_athfochla	vik_influence_mod	character_to_character_own	1.0
vik_gov_province_aurmoreb	vik_influence_mod	character_to_character_own	1.0
vik_gov_province_beornice	vik_influence_mod	character_to_character_own	1.0
vik_gov_province_brega	vik_influence_mod	character_to_character_own	1.0
vik_gov_province_breifne	vik_influence_mod	character_to_character_own	1.0
vik_gov_province_cait	vik_influence_mod	character_to_character_own	1.0
vik_gov_province_cent	vik_influence_mod	character_to_character_own	1.0
vik_gov_province_ceredigeaun	vik_influence_mod	character_to_character_own	1.0
vik_gov_province_circenn	vik_influence_mod	character_to_character_own	1.0
vik_gov_province_connacht	vik_influence_mod	character_to_character_own	1.0
vik_gov_province_corcaigh	vik_influence_mod	character_to_character_own	1.0
vik_gov_province_cumbraland	vik_influence_mod	character_to_character_own	1.0
vik_gov_province_dal_fiatach	vik_influence_mod	character_to_character_own	1.0
vik_gov_province_dal_naraidi	vik_influence_mod	character_to_character_own	1.0
vik_gov_province_defenascir	vik_influence_mod	character_to_character_own	1.0
vik_gov_province_dorsaete	vik_influence_mod	character_to_character_own	1.0
vik_gov_province_druim_alban	vik_influence_mod	character_to_character_own	1.0
vik_gov_province_dyfet	vik_influence_mod	character_to_character_own	1.0
vik_gov_province_east_seaxe	vik_influence_mod	character_to_character_own	1.0
vik_gov_province_east_suth_seaxe	vik_influence_mod	character_to_character_own	1.0
vik_gov_province_east_thryding	vik_influence_mod	character_to_character_own	1.0
vik_gov_province_fenns	vik_influence_mod	character_to_character_own	1.0
vik_gov_province_grantabrycgscir	vik_influence_mod	character_to_character_own	1.0
vik_gov_province_gwined	vik_influence_mod	character_to_character_own	1.0
vik_gov_province_hamtunscir	vik_influence_mod	character_to_character_own	1.0
vik_gov_province_hlymrekr	vik_influence_mod	character_to_character_own	1.0
vik_gov_province_hwicce	vik_influence_mod	character_to_character_own	1.0
vik_gov_province_iarmoreb	vik_influence_mod	character_to_character_own	1.0
vik_gov_province_iarmuma	vik_influence_mod	character_to_character_own	1.0
vik_gov_province_kerneu	vik_influence_mod	character_to_character_own	1.0
vik_gov_province_laigen	vik_influence_mod	character_to_character_own	1.0
vik_gov_province_lindesege	vik_influence_mod	character_to_character_own	1.0
vik_gov_province_loden	vik_influence_mod	character_to_character_own	1.0
vik_gov_province_lost_circenn	vik_loyalty_mod_character	character_to_character_own	-1.0
vik_gov_province_lost_dyflin	vik_loyalty_mod_character	character_to_character_own	-1.0
vik_gov_province_lost_east_engle	vik_loyalty_mod_character	character_to_character_own	-1.0
vik_gov_province_lost_gwined	vik_loyalty_mod_character	character_to_character_own	-1.0
vik_gov_province_lost_mide	vik_loyalty_mod_character	character_to_character_own	-1.0
vik_gov_province_lost_mierce	vik_loyalty_mod_character	character_to_character_own	-1.0
vik_gov_province_lost_northymbre	vik_loyalty_mod_character	character_to_character_own	-1.0
vik_gov_province_lost_strat_clut	vik_loyalty_mod_character	character_to_character_own	-1.0
vik_gov_province_lost_sudreyar	vik_loyalty_mod_character	character_to_character_own	-1.0
vik_gov_province_lost_west_seaxe	vik_loyalty_mod_character	character_to_character_own	-1.0
vik_gov_province_mana	vik_influence_mod	character_to_character_own	1.0
vik_gov_province_middel_engle	vik_influence_mod	character_to_character_own	1.0
vik_gov_province_middel_seaxe	vik_influence_mod	character_to_character_own	1.0
vik_gov_province_mide	vik_influence_mod	character_to_character_own	1.0
vik_gov_province_monadh	vik_influence_mod	character_to_character_own	1.0
vik_gov_province_morcanhuc	vik_influence_mod	character_to_character_own	1.0
vik_gov_province_muma	vik_influence_mod	character_to_character_own	1.0
vik_gov_province_norfolc	vik_influence_mod	character_to_character_own	1.0
vik_gov_province_north_mierce	vik_influence_mod	character_to_character_own	1.0
vik_gov_province_north_thryding	vik_influence_mod	character_to_character_own	1.0
vik_gov_province_offas_dic	vik_influence_mod	character_to_character_own	1.0
vik_gov_province_osraige	vik_influence_mod	character_to_character_own	1.0
vik_gov_province_powis	vik_influence_mod	character_to_character_own	1.0
vik_gov_province_staeffordscir	vik_influence_mod	character_to_character_own	1.0
vik_gov_province_strat_clut	vik_influence_mod	character_to_character_own	1.0
vik_gov_province_sudreyar	vik_influence_mod	character_to_character_own	1.0
vik_gov_province_sumorsaete	vik_influence_mod	character_to_character_own	1.0
vik_gov_province_suth_mierce	vik_influence_mod	character_to_character_own	1.0
vik_gov_province_suthfolc	vik_influence_mod	character_to_character_own	1.0
vik_gov_province_tuadmuma	vik_influence_mod	character_to_character_own	1.0
vik_gov_province_vedrafjordr	vik_influence_mod	character_to_character_own	1.0
vik_gov_province_veisafjordr	vik_influence_mod	character_to_character_own	1.0
vik_gov_province_west_seaxe	vik_influence_mod	character_to_character_own	1.0
vik_gov_province_west_suth_seaxe	vik_influence_mod	character_to_character_own	1.0
vik_gov_province_west_thryding	vik_influence_mod	character_to_character_own	1.0
vik_gov_province_wiltscir	vik_influence_mod	character_to_character_own	1.0
vik_item_anglo_saxon_chronicle	vik_influence_mod	general_to_character_own	1.0
vik_item_anglo_saxon_chronicle	vik_public_order_new_positive_characters	character_to_region_own_provincewide	1.0
vik_item_annales_cambriae	vik_general_attribute_governance	general_to_character_own	2.0
vik_item_ardagh_chalice	vik_armour_mod	general_to_army_own	10.0
vik_item_ardagh_chalice	vik_public_order_new_positive_characters	character_to_region_own_provincewide	1.0
vik_item_bedes_ecclesiastical_history	vik_gdp_mod_church	character_to_region_own_provincewide	10.0
vik_item_bedes_ecclesiastical_history	vik_public_order_new_positive_characters	character_to_region_own_provincewide	2.0
vik_item_blickling_psalter	vik_public_order_new_positive_characters	character_to_region_own_provincewide	1.0
vik_item_blickling_psalter	vik_unit_morale	general_to_army_own	2.0
vik_item_book_of_aneirin	vik_public_order_new_positive_characters	character_to_region_own_provincewide	1.0
vik_item_book_of_aneirin	vik_unit_morale	general_to_army_own	2.0
vik_item_book_of_armagh	vik_general_attribute_zeal	character_to_character_own	1.0
vik_item_book_of_deer	vik_influence_mod	character_to_character_own	1.0
vik_item_book_of_deer	vik_public_order_new_positive_characters	character_to_region_own_provincewide	1.0
vik_item_book_of_kells	vik_gdp_mod_church	character_to_region_own_provincewide	15.0
vik_item_book_of_taliesin	vik_general_attribute_governance	character_to_character_own	1.0
vik_item_caedmons_hymn	vik_gdp_mod_farms	character_to_region_own_provincewide	15.0
vik_item_caledfwlch	vik_general_attribute_command	character_to_character_own	2.0
vik_item_carnwennan	vik_general_attribute_zeal	character_to_character_own	2.0
vik_item_chess_set	vik_campaign_movement	general_to_army_own	20.0
vik_item_chess_set	vik_unit_battle_movement	general_to_army_own	10.0
vik_item_crucifix	vik_unit_morale	general_to_army_own	2.0
vik_item_decorated_bible	vik_public_order_new_positive_characters	character_to_region_own_provincewide	1.0
vik_item_drinking_horn	vik_general_bodyguard_morale_mod	general_to_army_own	3.0
vik_item_drinking_horn	vik_public_order_new_positive_characters	character_to_region_own_provincewide	1.0
vik_item_durham_gospels	vik_unit_enemy_morale	character_to_character_enemy_provincewide	-2.0
vik_item_dyrnwyn	vik_unit_all_melee_skill	general_to_army_own	5.0
vik_item_elaborate_brooch	vik_attrition_snow_resistance	general_to_army_own	-20.0
vik_item_garnet_hilt_sword	vik_general_bodyguard_mod_melee_skill	general_to_army_own	3.0
vik_item_garnet_hilt_sword	vik_influence_mod	character_to_character_own	1.0
vik_item_genealogies	vik_influence_mod	character_to_character_own	1.0
vik_item_gilt_hemlet	vik_general_bodyguard_armour_mod	general_to_army_own	3.0
vik_item_gold_jewellry	vik_general_attribute_command	character_to_character_own	1.0
vik_item_gold_ring	vik_influence_mod	character_to_character_own	1.0
vik_item_gram	vik_general_attribute_command	character_to_character_own	1.0
vik_item_hereford_gospels	vik_diplomacy_irish	character_to_faction_unseen	10.0
vik_item_hunting_bow	vik_unit_archer_missile_range	general_to_army_own	10.0
vik_item_hunting_bow	vik_unit_archer_upkeep_cost	general_to_army_own	-10.0
vik_item_ingelrd_sword	vik_general_bodyguard_damage_mod	general_to_army_own	5.0
vik_item_inscribed_knife	vik_general_bodyguard_damage_mod	general_to_army_own	1.0
vik_item_inscribed_knife	vik_influence_mod	character_to_character_own	1.0
vik_item_jewelled_chalice	vik_unit_morale	general_to_army_own	2.0
vik_item_kragehul_lance	vik_unit_charge_bonus	general_to_army_own	5.0
vik_item_lebor_na_huidre	vik_public_order_new_positive_characters	character_to_region_own_provincewide	1.0
vik_item_lebor_na_huidre	vik_replenishment_rate	general_to_army_own	1.0
vik_item_lindisfarne_gospels	vik_corruption_mod	character_to_province_own	-10.0
vik_item_lindisfarne_gospels	vik_gdp_mod_church	character_to_region_own_provincewide	10.0
vik_item_lute	vik_public_order_new_positive_characters	character_to_region_own_provincewide	2.0
vik_item_nine_mens_morris_set	vik_reinforcement_range	character_to_character_own	10.0
vik_item_on_the_ruin	vik_general_attribute_zeal	character_to_character_own	1.0
vik_item_prayer_book	vik_construction_cost_church	character_to_region_own_provincewide	-10.0
vik_item_prayer_book	vik_allegiance	character_to_character_own	2.0
vik_item_rhongomyniad	vik_public_order_new_positive_characters	character_to_region_own_provincewide	3.0
vik_item_rudlwyt	vik_unit_cavalry_melee_skill	general_to_army_own	5.0
vik_item_scales_weights	vik_gdp_mod_market	character_to_region_own_provincewide	10.0
vik_item_silver_reliquary	vik_public_order_new_positive_characters	character_to_region_own_provincewide	1.0
vik_item_st_andrews_sacrophagus	vik_general_attribute_command	character_to_character_own	1.0
vik_item_st_teilo_gospels	vik_general_attribute_command	character_to_character_own	1.0
vik_item_stone_of_destiny	vik_gdp_mod_church	faction_to_region_own	20.0
vik_item_stone_of_destiny	vik_general_attribute_zeal	character_to_character_own	3.0
vik_item_stone_of_destiny	vik_general_bodyguard_size_mod	character_to_character_own	100.0
vik_item_stone_of_destiny	vik_influence_mod	character_to_character_own	2.0
vik_item_stone_of_destiny	vik_loyalty_mod_faction	faction_to_character_own	1.0
vik_item_sun_compass	vik_campaign_movement	general_to_army_own	40.0
vik_item_sunstone	vik_campaign_movement_enemy	character_to_force_enemy_provincewide	-20.0
vik_item_tapestry	vik_public_order_new_positive_characters	character_to_region_own_provincewide	1.0
vik_item_tapestry	vik_fame	character_to_faction	15.0
vik_item_tara_brooch	vik_campaign_movement_enemy	character_to_force_enemy_provincewide	-20.0
vik_item_tara_brooch	vik_unit_morale	general_to_army_own	2.0
vik_item_the_alfred_jewel	vik_general_attribute_command	character_to_character_own	1.0
vik_item_the_alfred_jewel	vik_general_attribute_governance	character_to_character_own	1.0
vik_item_the_alfred_jewel	vik_general_attribute_zeal	character_to_character_own	1.0
vik_item_the_tiberius_bede	vik_general_attribute_zeal	character_to_character_own	1.0
vik_item_ulfberht_sword	vik_general_bodyguard_mod_melee_skill	general_to_army_own	8.0
vik_item_ulfberht_sword	vik_general_bodyguard_damage_mod	general_to_army_own	5.0
vik_item_vespasian_psalter	vik_public_order_new_positive_characters	character_to_region_own_provincewide	2.0
vik_item_weather_vane	vik_force_navy_movement_battle	general_to_army_own	50.0
vik_item_whalebone_plaque	vik_gdp_mod_farms	character_to_region_own_provincewide	10.0
vik_item_whalebone_plaque	vik_gdp_mod_industry	character_to_region_own_provincewide	10.0
vik_item_whitecleuch_chain	vik_general_attribute_governance	character_to_character_own	1.0
vik_king_estate_doesnt_care	vik_estate_king_desire_no_estates	character_to_character_own	1.0
vik_king_estate_min_estates	vik_estate_desire_all	character_to_character_own	3.0
vik_king_estate_more_than_generals_and_governors	vik_estate_king_desire_more_than_generals_and_governors	character_to_character_own	-1.0
vik_king_estate_more_than_lower_command	vik_estate_king_desire_more_than_lower_command_chars	character_to_character_own	-1.0
vik_king_estate_more_than_lower_governance	vik_estate_king_desire_more_than_lower_governance_chars	character_to_character_own	-1.0
vik_king_estate_more_than_lower_influence	vik_estate_king_desire_more_than_lower_influence_chars	character_to_character_own	-1.0
vik_king_estate_more_than_lower	vik_estate_king_desire_more_than_lower_level_chars	character_to_character_own	-1.0
vik_king_estate_more_than_others	vik_estate_king_desire_more_than_everyone_else	character_to_character_own	-1.0
vik_king_estate_more_than_younger	vik_estate_king_desire_more_than_younger_chars	character_to_character_own	-1.0
vik_king_estate_none	vik_estate_aversion_all	character_to_character_own	-1.0
vik_king_estate_not_type_agriculture	vik_estate_aversion_agricultural	character_to_character_own	-1.0
vik_king_estate_not_type_estate	vik_estate_aversion_estate_building	character_to_character_own	-1.0
vik_king_estate_not_type_religion	vik_estate_aversion_religious	character_to_character_own	-1.0
vik_king_estate_type_agriculture	vik_estate_desire_agricultural	character_to_character_own	1.0
vik_king_estate_type_estate	vik_estate_desire_estate_building	character_to_character_own	1.0
vik_king_estate_type_religion	vik_estate_desire_religious	character_to_character_own	1.0
vik_legendary_attacker	vik_campaign_movement	general_to_army_own	20.0
vik_legendary_attacker	vik_general_attribute_command	character_to_character_own	5.0
vik_legendary_attacker	vik_general_attribute_zeal	character_to_character_own	8.0
vik_legendary_attacker	vik_influence_mod	character_to_character_own	6.0
vik_legendary_defender	vik_general_attribute_command	character_to_character_own	8.0
vik_legendary_defender	vik_general_attribute_zeal	character_to_character_own	5.0
vik_legendary_defender	vik_influence_mod	character_to_character_own	6.0
vik_legendary_defender	vik_unit_all_melee_skill	general_to_army_own	15.0
vik_legendary_general	vik_general_ability_enable_fear_2	character_to_character_own	1.0
vik_legendary_general	vik_general_attribute_command	character_to_character_own	5.0
vik_legendary_general	vik_influence_mod	character_to_character_own	5.0
vik_legendary_general	vik_unit_all_melee_skill	general_to_army_own	10.0
vik_legendary_governor	vik_food_production_mod	general_to_region_own_provincewide_when_governor	25.0
vik_legendary_governor	vik_gdp_mod_all	general_to_region_own_provincewide_when_governor	10.0
vik_legendary_governor	vik_general_attribute_governance	character_to_character_own	8.0
vik_legendary_governor	vik_general_attribute_zeal	character_to_character_own	3.0
vik_legendary_governor	vik_public_order_new_positive_characters	general_to_region_own_provincewide_when_governor	10.0
vik_legendary_governor	vik_research_rate	character_to_faction_unseen	25.0
vik_legendary_military_leader	vik_general_attribute_command	character_to_character_own	5.0
vik_legendary_military_leader	vik_general_attribute_governance	character_to_character_own	5.0
vik_legendary_military_leader	vik_general_attribute_zeal	character_to_character_own	5.0
vik_legendary_military_leader	vik_unit_all_melee_skill	general_to_army_own_provincewide_when_governing	10.0
vik_legendary_military_leader	vik_unit_morale	general_to_army_own_provincewide_when_governing	5.0
vik_politics_brutish_divorce_upset	vik_allegiance_usurper	character_to_region_own	2.0
vik_politics_brutish_divorce_upset	vik_loyalty_mod_character	character_to_character_own	-1.0
vik_politics_cowardly_loyalty_fakes	vik_allegiance_usurper	character_to_region_own	2.0
vik_politics_cowardly_loyalty_fakes	vik_influence_mod	character_to_character_own	1.0
vik_politics_cowardly_marry_chuffed	vik_influence_mod	character_to_character_own	-1.0
vik_politics_cowardly_marry_chuffed	vik_loyalty_mod_character	character_to_character_own	1.0
vik_scripted_trait_ceolwulf	EMPTY_EFFECT	general_to_army_own	0.0
