trait	agent
#trait_to_included_agents_tables;0;db/trait_to_included_agents_tables/shield_trait	
shield_brute_bloodythirsty	general
shield_brute_corrupt	general
shield_brute_legendary_brute	general
shield_brute_violent	general
shield_elder_beloved	general
shield_elder_dutifull	general
shield_elder_husbandman	general
shield_elder_legendary_elder	general
shield_elder_storyteller	general
shield_faithful_charitable	general
shield_faithful_friend_of_the_church	general
shield_faithful_legendary_saint	general
shield_faithful_repentent	general
shield_heathen_beast_slayer	general
shield_heathen_legendary_bearskin	general
shield_heathen_legendary_wolfskin	general
shield_heathen_old_ways	general
shield_heathen_pagan	general
shield_heathen_sailor	general
shield_judge_honourable	general
shield_judge_just	general
shield_judge_lawful	general
shield_judge_legendary_judge	general
shield_magnate_collector	general
shield_magnate_greedy	general
shield_magnate_legendary_magnate	general
shield_magnate_seneschal	general
shield_noble_high_born	general
shield_noble_hunter	general
shield_noble_legendary_king	general
shield_noble_princely	general
shield_noble_proud	general
shield_scholar_educated	general
shield_scholar_lawyer	general
shield_scholar_legendary_thinker	general
shield_scholar_wise	general
shield_tyrant_legendary_tyrant	general
shield_tyrant_oppressor	general
shield_tyrant_subjugator	general
shield_tyrant_treasonous	general
shield_warrior_champion	general
shield_warrior_legendary_warrior	general
shield_warrior_natural_leader	general
shield_warrior_proven_warrior	general
shield_item_st_oswald	general
shield_item_stag_rack	general
shield_item_boarskin	general
shield_item_bearskin	general
shield_item_wolfskin	general
