trait	agent
#trait_to_included_agents_tables;0;db/trait_to_included_agents_tables/system_traits	
shield_friendship_0	general
shield_friendship_1	general
shield_friendship_2	general
shield_friendship_3	general
shield_friendship_4	general
shield_mood_0	general
shield_mood_1	general
shield_mood_10	general
shield_mood_2	general
shield_mood_3	general
shield_mood_4	general
shield_mood_5	general
shield_mood_6	general
shield_mood_7	general
shield_mood_8	general
shield_mood_9	general
shield_trait_disloyal	general
shield_trait_loyal	general
shield_general_0	general
shield_general_1	general
shield_fame_1	general
shield_fame_2	general
shield_fame_3	general
shield_fame_4	general
shield_fame_5	general
shield_fame_6	general
shield_fame_7	general
shield_fame_8	general
shield_fame_9	general
shield_fame_10	general
shield_fame_11	general
shield_fame_12	general
shield_fame_13	general
shield_fame_14	general
shield_fame_15	general
shield_family_fame_1	general
shield_family_fame_2	general
shield_family_fame_3	general
shield_family_fame_4	general
shield_family_fame_5	general
shield_family_fame_6	general
shield_family_fame_7	general
shield_family_fame_8	general
shield_family_fame_9	general
shield_family_fame_10	general
shield_family_fame_11	general
shield_family_fame_12	general
shield_family_fame_13	general
shield_family_fame_14	general
shield_family_fame_15	general
