key	text	tooltip
#Loc PackedFile;1;text/db/@sw_traits_item_loc.loc		
character_trait_levels_colour_text_vik_item_jewelled_chalice	[[rgba:135:189:233:1]]Item[[/rgba]] [[rgba:104:104:104:1]]- level 1[[/rgba]]\\n"Unfortunately, the flagon with the dragon got smashed…"\\n[[/rgba]] \\n[[rgba:104:104:104:1]][Gained from Smith buildings and followers.][[/rgba]]	false
character_trait_levels_colour_text_vik_item_decorated_bible	[[rgba:135:189:233:1]]Item[[/rgba]] [[rgba:104:104:104:1]]- level 1[[/rgba]]\\nOnly men of status own their own bibles; fewer still such a fine copy.\\n[[/rgba]] \\n[[rgba:104:104:104:1]][Gained from Scribe buildings and followers.][[/rgba]]	false
character_trait_levels_onscreen_name_vik_item_ingelrd_sword	[[rgba:135:189:233:1]]Ingelrd Sword[[/rgba]]	false
character_trait_levels_colour_text_vik_item_ulfberht_sword	[[rgba:135:189:233:1]]Item[[/rgba]] [[rgba:104:104:104:1]]- level 5[[/rgba]]\\nThe finest Frankish blade, inscribed with geometric patterns and the name of its maker, to infuse it with his skill.\\n[[/rgba]] \\n[[rgba:104:104:104:1]][Gained from Smith buildings and followers.][[/rgba]]	false
character_trait_levels_colour_text_vik_item_inscribed_knife	[[rgba:135:189:233:1]]Item[[/rgba]] [[rgba:104:104:104:1]]- level 1[[/rgba]]\\n"This will send you on your way."\\n[[/rgba]] \\n[[rgba:104:104:104:1]][Gained from Smith buildings and followers.][[/rgba]]	false
character_trait_levels_onscreen_name_vik_item_decorated_bible	[[rgba:135:189:233:1]]Decorated Bible[[/rgba]]	false
character_trait_levels_colour_text_vik_item_garnet_hilt_sword	[[rgba:135:189:233:1]]Item[[/rgba]] [[rgba:104:104:104:1]]- level 1[[/rgba]]\\n"Such a beautiful piece - it is almost a shame to wield it in anger, but in anger it must be borne."\\n[[/rgba]] \\n[[rgba:104:104:104:1]][Gained from Smith buildings and followers.][[/rgba]]	false
character_trait_levels_onscreen_name_vik_item_scales_weights	[[rgba:135:189:233:1]]Scales & Weights[[/rgba]]	false
character_trait_levels_colour_text_vik_item_tapestry	[[rgba:135:189:233:1]]Item[[/rgba]] [[rgba:104:104:104:1]]- level 1[[/rgba]]\\nPast glories are preserved for the future with intricate detail, picked out in threads of gold and silver amongst the traditional cotton or linen.\\n[[/rgba]] \\n[[rgba:104:104:104:1]][Gained from Scribe buildings and followers.][[/rgba]]	false
character_trait_levels_onscreen_name_vik_item_inscribed_knife	[[rgba:135:189:233:1]]Inscribed Knife[[/rgba]]	false
character_trait_levels_colour_text_vik_item_elaborate_brooch	[[rgba:135:189:233:1]]Item[[/rgba]] [[rgba:104:104:104:1]]- level 1[[/rgba]]\\nIt's cold in the north - such a brooch ensures one's cloak stays in position, regardless of the weather.\\n[[/rgba]] \\n[[rgba:104:104:104:1]][Gained from Smith buildings and followers.][[/rgba]]	false
character_trait_levels_onscreen_name_vik_item_gold_jewellry	[[rgba:135:189:233:1]]Gold Jewellery[[/rgba]]	false
character_trait_levels_onscreen_name_vik_item_ulfberht_sword	[[rgba:135:189:233:1]]Ulfberht Sword[[/rgba]]	false
character_trait_levels_onscreen_name_vik_item_drinking_horn	[[rgba:135:189:233:1]]Drinking Horn[[/rgba]]	false
character_trait_levels_colour_text_vik_item_gold_ring	[[rgba:135:189:233:1]]Item[[/rgba]] [[rgba:104:104:104:1]]- level 1[[/rgba]]\\nA ring of gold remains a mark of wealth and status, but is a more modest display, suitable for the pious, God-fearing among the nobility.\\n[[/rgba]] \\n[[rgba:104:104:104:1]][Gained from Smith buildings and followers.][[/rgba]]	false
character_trait_levels_colour_text_vik_item_scales_weights	[[rgba:135:189:233:1]]Item[[/rgba]] [[rgba:104:104:104:1]]- level 1[[/rgba]]\\nKnowing the weight of gold is a start…\\n[[/rgba]] \\n[[rgba:104:104:104:1]][Gained from Smith buildings and followers.][[/rgba]]	false
character_trait_levels_onscreen_name_vik_item_gilt_hemlet	[[rgba:135:189:233:1]]Gilt Helmet[[/rgba]]	false
character_trait_levels_colour_text_vik_item_drinking_horn	[[rgba:135:189:233:1]]Item[[/rgba]] [[rgba:104:104:104:1]]- level 1[[/rgba]]\\n"Apparently, Thor himself drank the seas themselves from such a vessel!"\\n[[/rgba]] \\n[[rgba:104:104:104:1]][Gained from Smith buildings and followers.][[/rgba]]	false
character_trait_levels_onscreen_name_vik_item_gold_ring	[[rgba:135:189:233:1]]Gold Ring[[/rgba]]	false
character_trait_levels_onscreen_name_vik_item_prayer_book	[[rgba:135:189:233:1]]Prayer Book[[/rgba]]	false
character_trait_levels_onscreen_name_vik_item_elaborate_brooch	[[rgba:135:189:233:1]]Elaborate Brooch[[/rgba]]	false
character_trait_levels_onscreen_name_vik_item_tapestry	[[rgba:135:189:233:1]]Tapestry[[/rgba]]	false
character_trait_levels_onscreen_name_vik_item_genealogies	[[rgba:135:189:233:1]]Genealogies[[/rgba]]	false
character_trait_levels_onscreen_name_vik_item_jewelled_chalice	[[rgba:135:189:233:1]]Jewelled Chalice[[/rgba]]	false
