key	text	tooltip
#Loc PackedFile;1;text/db/titles_character_trait_levels.loc		
character_trait_levels_colour_text_shield_title_vik_reg_abberdeon_irish_0	[[rgba:135:189:233:1]]Political[[/rgba]] [[rgba:104:104:104:1]]- one level[[/rgba]]\\n Kings across Britannia grant titles and lands to their vassals, granting power in exchange for fealty. \\n[[rgba:104:104:104:1]][Gained from holding Estates][[/rgba]]	true
character_trait_levels_colour_text_shield_title_vik_reg_abberdeon_irish_1	[[rgba:135:189:233:1]]Political[[/rgba]] [[rgba:104:104:104:1]]- one level[[/rgba]]\\n Kings across Britannia grant titles and lands to their vassals, granting power in exchange for fealty. \\n[[rgba:104:104:104:1]][Gained from holding Estates][[/rgba]]	true
character_trait_levels_colour_text_shield_title_vik_reg_abberdeon_irish_2	[[rgba:135:189:233:1]]Political[[/rgba]] [[rgba:104:104:104:1]]- one level[[/rgba]]\\n Kings across Britannia grant titles and lands to their vassals, granting power in exchange for fealty. \\n[[rgba:104:104:104:1]][Gained from holding Estates][[/rgba]]	true
character_trait_levels_colour_text_shield_title_vik_reg_abberdeon_norse_0	[[rgba:135:189:233:1]]Political[[/rgba]] [[rgba:104:104:104:1]]- one level[[/rgba]]\\n Kings across Britannia grant titles and lands to their vassals, granting power in exchange for fealty. \\n[[rgba:104:104:104:1]][Gained from holding Estates][[/rgba]]	true
character_trait_levels_colour_text_shield_title_vik_reg_abberdeon_norse_1	[[rgba:135:189:233:1]]Political[[/rgba]] [[rgba:104:104:104:1]]- one level[[/rgba]]\\n Kings across Britannia grant titles and lands to their vassals, granting power in exchange for fealty. \\n[[rgba:104:104:104:1]][Gained from holding Estates][[/rgba]]	true
character_trait_levels_colour_text_shield_title_vik_reg_abberdeon_norse_2	[[rgba:135:189:233:1]]Political[[/rgba]] [[rgba:104:104:104:1]]- one level[[/rgba]]\\n Kings across Britannia grant titles and lands to their vassals, granting power in exchange for fealty. \\n[[rgba:104:104:104:1]][Gained from holding Estates][[/rgba]]	true
character_trait_levels_colour_text_shield_title_vik_reg_abberdeon_saxon_0	[[rgba:135:189:233:1]]Political[[/rgba]] [[rgba:104:104:104:1]]- one level[[/rgba]]\\n Kings across Britannia grant titles and lands to their vassals, granting power in exchange for fealty. \\n[[rgba:104:104:104:1]][Gained from holding Estates][[/rgba]]	true
character_trait_levels_colour_text_shield_title_vik_reg_abberdeon_saxon_1	[[rgba:135:189:233:1]]Political[[/rgba]] [[rgba:104:104:104:1]]- one level[[/rgba]]\\n Kings across Britannia grant titles and lands to their vassals, granting power in exchange for fealty. \\n[[rgba:104:104:104:1]][Gained from holding Estates][[/rgba]]	true
character_trait_levels_colour_text_shield_title_vik_reg_abberdeon_saxon_2	[[rgba:135:189:233:1]]Political[[/rgba]] [[rgba:104:104:104:1]]- one level[[/rgba]]\\n Kings across Britannia grant titles and lands to their vassals, granting power in exchange for fealty. \\n[[rgba:104:104:104:1]][Gained from holding Estates][[/rgba]]	true
character_trait_levels_colour_text_shield_title_vik_reg_abberdeon_scotish_0	[[rgba:135:189:233:1]]Political[[/rgba]] [[rgba:104:104:104:1]]- one level[[/rgba]]\\n Kings across Britannia grant titles and lands to their vassals, granting power in exchange for fealty. \\n[[rgba:104:104:104:1]][Gained from holding Estates][[/rgba]]	true
character_trait_levels_colour_text_shield_title_vik_reg_abberdeon_scotish_1	[[rgba:135:189:233:1]]Political[[/rgba]] [[rgba:104:104:104:1]]- one level[[/rgba]]\\n Kings across Britannia grant titles and lands to their vassals, granting power in exchange for fealty. \\n[[rgba:104:104:104:1]][Gained from holding Estates][[/rgba]]	true
character_trait_levels_colour_text_shield_title_vik_reg_abberdeon_scotish_2	[[rgba:135:189:233:1]]Political[[/rgba]] [[rgba:104:104:104:1]]- one level[[/rgba]]\\n Kings across Britannia grant titles and lands to their vassals, granting power in exchange for fealty. \\n[[rgba:104:104:104:1]][Gained from holding Estates][[/rgba]]	true
character_trait_levels_colour_text_shield_title_vik_reg_abberdeon_welsh_0	[[rgba:135:189:233:1]]Political[[/rgba]] [[rgba:104:104:104:1]]- one level[[/rgba]]\\n Kings across Britannia grant titles and lands to their vassals, granting power in exchange for fealty. \\n[[rgba:104:104:104:1]][Gained from holding Estates][[/rgba]]	true
character_trait_levels_colour_text_shield_title_vik_reg_abberdeon_welsh_1	[[rgba:135:189:233:1]]Political[[/rgba]] [[rgba:104:104:104:1]]- one level[[/rgba]]\\n Kings across Britannia grant titles and lands to their vassals, granting power in exchange for fealty. \\n[[rgba:104:104:104:1]][Gained from holding Estates][[/rgba]]	true
character_trait_levels_colour_text_shield_title_vik_reg_abberdeon_welsh_2	[[rgba:135:189:233:1]]Political[[/rgba]] [[rgba:104:104:104:1]]- one level[[/rgba]]\\n Kings across Britannia grant titles and lands to their vassals, granting power in exchange for fealty. \\n[[rgba:104:104:104:1]][Gained from holding Estates][[/rgba]]	true
character_trait_levels_colour_text_shield_title_vik_reg_aberffro_irish_0	[[rgba:135:189:233:1]]Political[[/rgba]] [[rgba:104:104:104:1]]- one level[[/rgba]]\\n Kings across Britannia grant titles and lands to their vassals, granting power in exchange for fealty. \\n[[rgba:104:104:104:1]][Gained from holding Estates][[/rgba]]	true
character_trait_levels_colour_text_shield_title_vik_reg_aberffro_irish_1	[[rgba:135:189:233:1]]Political[[/rgba]] [[rgba:104:104:104:1]]- one level[[/rgba]]\\n Kings across Britannia grant titles and lands to their vassals, granting power in exchange for fealty. \\n[[rgba:104:104:104:1]][Gained from holding Estates][[/rgba]]	true
character_trait_levels_colour_text_shield_title_vik_reg_aberffro_irish_2	[[rgba:135:189:233:1]]Political[[/rgba]] [[rgba:104:104:104:1]]- one level[[/rgba]]\\n Kings across Britannia grant titles and lands to their vassals, granting power in exchange for fealty. \\n[[rgba:104:104:104:1]][Gained from holding Estates][[/rgba]]	true
character_trait_levels_colour_text_shield_title_vik_reg_aberffro_norse_0	[[rgba:135:189:233:1]]Political[[/rgba]] [[rgba:104:104:104:1]]- one level[[/rgba]]\\n Kings across Britannia grant titles and lands to their vassals, granting power in exchange for fealty. \\n[[rgba:104:104:104:1]][Gained from holding Estates][[/rgba]]	true
character_trait_levels_colour_text_shield_title_vik_reg_aberffro_norse_1	[[rgba:135:189:233:1]]Political[[/rgba]] [[rgba:104:104:104:1]]- one level[[/rgba]]\\n Kings across Britannia grant titles and lands to their vassals, granting power in exchange for fealty. \\n[[rgba:104:104:104:1]][Gained from holding Estates][[/rgba]]	true
character_trait_levels_colour_text_shield_title_vik_reg_aberffro_norse_2	[[rgba:135:189:233:1]]Political[[/rgba]] [[rgba:104:104:104:1]]- one level[[/rgba]]\\n Kings across Britannia grant titles and lands to their vassals, granting power in exchange for fealty. \\n[[rgba:104:104:104:1]][Gained from holding Estates][[/rgba]]	true
character_trait_levels_colour_text_shield_title_vik_reg_aberffro_saxon_0	[[rgba:135:189:233:1]]Political[[/rgba]] [[rgba:104:104:104:1]]- one level[[/rgba]]\\n Kings across Britannia grant titles and lands to their vassals, granting power in exchange for fealty. \\n[[rgba:104:104:104:1]][Gained from holding Estates][[/rgba]]	true
character_trait_levels_colour_text_shield_title_vik_reg_aberffro_saxon_1	[[rgba:135:189:233:1]]Political[[/rgba]] [[rgba:104:104:104:1]]- one level[[/rgba]]\\n Kings across Britannia grant titles and lands to their vassals, granting power in exchange for fealty. \\n[[rgba:104:104:104:1]][Gained from holding Estates][[/rgba]]	true
character_trait_levels_colour_text_shield_title_vik_reg_aberffro_saxon_2	[[rgba:135:189:233:1]]Political[[/rgba]] [[rgba:104:104:104:1]]- one level[[/rgba]]\\n Kings across Britannia grant titles and lands to their vassals, granting power in exchange for fealty. \\n[[rgba:104:104:104:1]][Gained from holding Estates][[/rgba]]	true
character_trait_levels_colour_text_shield_title_vik_reg_aberffro_scotish_0	[[rgba:135:189:233:1]]Political[[/rgba]] [[rgba:104:104:104:1]]- one level[[/rgba]]\\n Kings across Britannia grant titles and lands to their vassals, granting power in exchange for fealty. \\n[[rgba:104:104:104:1]][Gained from holding Estates][[/rgba]]	true
character_trait_levels_colour_text_shield_title_vik_reg_aberffro_scotish_1	[[rgba:135:189:233:1]]Political[[/rgba]] [[rgba:104:104:104:1]]- one level[[/rgba]]\\n Kings across Britannia grant titles and lands to their vassals, granting power in exchange for fealty. \\n[[rgba:104:104:104:1]][Gained from holding Estates][[/rgba]]	true
character_trait_levels_colour_text_shield_title_vik_reg_aberffro_scotish_2	[[rgba:135:189:233:1]]Political[[/rgba]] [[rgba:104:104:104:1]]- one level[[/rgba]]\\n Kings across Britannia grant titles and lands to their vassals, granting power in exchange for fealty. \\n[[rgba:104:104:104:1]][Gained from holding Estates][[/rgba]]	true
character_trait_levels_colour_text_shield_title_vik_reg_aberffro_welsh_0	[[rgba:135:189:233:1]]Political[[/rgba]] [[rgba:104:104:104:1]]- one level[[/rgba]]\\n Kings across Britannia grant titles and lands to their vassals, granting power in exchange for fealty. \\n[[rgba:104:104:104:1]][Gained from holding Estates][[/rgba]]	true
character_trait_levels_colour_text_shield_title_vik_reg_aberffro_welsh_1	[[rgba:135:189:233:1]]Political[[/rgba]] [[rgba:104:104:104:1]]- one level[[/rgba]]\\n Kings across Britannia grant titles and lands to their vassals, granting power in exchange for fealty. \\n[[rgba:104:104:104:1]][Gained from holding Estates][[/rgba]]	true
character_trait_levels_colour_text_shield_title_vik_reg_aberffro_welsh_2	[[rgba:135:189:233:1]]Political[[/rgba]] [[rgba:104:104:104:1]]- one level[[/rgba]]\\n Kings across Britannia grant titles and lands to their vassals, granting power in exchange for fealty. \\n[[rgba:104:104:104:1]][Gained from holding Estates][[/rgba]]	true
character_trait_levels_colour_text_shield_title_vik_reg_aberteifi_irish_0	[[rgba:135:189:233:1]]Political[[/rgba]] [[rgba:104:104:104:1]]- one level[[/rgba]]\\n Kings across Britannia grant titles and lands to their vassals, granting power in exchange for fealty. \\n[[rgba:104:104:104:1]][Gained from holding Estates][[/rgba]]	true
character_trait_levels_colour_text_shield_title_vik_reg_aberteifi_irish_1	[[rgba:135:189:233:1]]Political[[/rgba]] [[rgba:104:104:104:1]]- one level[[/rgba]]\\n Kings across Britannia grant titles and lands to their vassals, granting power in exchange for fealty. \\n[[rgba:104:104:104:1]][Gained from holding Estates][[/rgba]]	true
character_trait_levels_colour_text_shield_title_vik_reg_aberteifi_irish_2	[[rgba:135:189:233:1]]Political[[/rgba]] [[rgba:104:104:104:1]]- one level[[/rgba]]\\n Kings across Britannia grant titles and lands to their vassals, granting power in exchange for fealty. \\n[[rgba:104:104:104:1]][Gained from holding Estates][[/rgba]]	true
character_trait_levels_colour_text_shield_title_vik_reg_aberteifi_norse_0	[[rgba:135:189:233:1]]Political[[/rgba]] [[rgba:104:104:104:1]]- one level[[/rgba]]\\n Kings across Britannia grant titles and lands to their vassals, granting power in exchange for fealty. \\n[[rgba:104:104:104:1]][Gained from holding Estates][[/rgba]]	true
character_trait_levels_colour_text_shield_title_vik_reg_aberteifi_norse_1	[[rgba:135:189:233:1]]Political[[/rgba]] [[rgba:104:104:104:1]]- one level[[/rgba]]\\n Kings across Britannia grant titles and lands to their vassals, granting power in exchange for fealty. \\n[[rgba:104:104:104:1]][Gained from holding Estates][[/rgba]]	true
character_trait_levels_colour_text_shield_title_vik_reg_aberteifi_norse_2	[[rgba:135:189:233:1]]Political[[/rgba]] [[rgba:104:104:104:1]]- one level[[/rgba]]\\n Kings across Britannia grant titles and lands to their vassals, granting power in exchange for fealty. \\n[[rgba:104:104:104:1]][Gained from holding Estates][[/rgba]]	true
character_trait_levels_colour_text_shield_title_vik_reg_aberteifi_saxon_0	[[rgba:135:189:233:1]]Political[[/rgba]] [[rgba:104:104:104:1]]- one level[[/rgba]]\\n Kings across Britannia grant titles and lands to their vassals, granting power in exchange for fealty. \\n[[rgba:104:104:104:1]][Gained from holding Estates][[/rgba]]	true
character_trait_levels_colour_text_shield_title_vik_reg_aberteifi_saxon_1	[[rgba:135:189:233:1]]Political[[/rgba]] [[rgba:104:104:104:1]]- one level[[/rgba]]\\n Kings across Britannia grant titles and lands to their vassals, granting power in exchange for fealty. \\n[[rgba:104:104:104:1]][Gained from holding Estates][[/rgba]]	true
character_trait_levels_colour_text_shield_title_vik_reg_aberteifi_saxon_2	[[rgba:135:189:233:1]]Political[[/rgba]] [[rgba:104:104:104:1]]- one level[[/rgba]]\\n Kings across Britannia grant titles and lands to their vassals, granting power in exchange for fealty. \\n[[rgba:104:104:104:1]][Gained from holding Estates][[/rgba]]	true
character_trait_levels_colour_text_shield_title_vik_reg_aberteifi_scotish_0	[[rgba:135:189:233:1]]Political[[/rgba]] [[rgba:104:104:104:1]]- one level[[/rgba]]\\n Kings across Britannia grant titles and lands to their vassals, granting power in exchange for fealty. \\n[[rgba:104:104:104:1]][Gained from holding Estates][[/rgba]]	true
character_trait_levels_colour_text_shield_title_vik_reg_aberteifi_scotish_1	[[rgba:135:189:233:1]]Political[[/rgba]] [[rgba:104:104:104:1]]- one level[[/rgba]]\\n Kings across Britannia grant titles and lands to their vassals, granting power in exchange for fealty. \\n[[rgba:104:104:104:1]][Gained from holding Estates][[/rgba]]	true
character_trait_levels_colour_text_shield_title_vik_reg_aberteifi_scotish_2	[[rgba:135:189:233:1]]Political[[/rgba]] [[rgba:104:104:104:1]]- one level[[/rgba]]\\n Kings across Britannia grant titles and lands to their vassals, granting power in exchange for fealty. \\n[[rgba:104:104:104:1]][Gained from holding Estates][[/rgba]]	true
character_trait_levels_colour_text_shield_title_vik_reg_aberteifi_welsh_0	[[rgba:135:189:233:1]]Political[[/rgba]] [[rgba:104:104:104:1]]- one level[[/rgba]]\\n Kings across Britannia grant titles and lands to their vassals, granting power in exchange for fealty. \\n[[rgba:104:104:104:1]][Gained from holding Estates][[/rgba]]	true
character_trait_levels_colour_text_shield_title_vik_reg_aberteifi_welsh_1	[[rgba:135:189:233:1]]Political[[/rgba]] [[rgba:104:104:104:1]]- one level[[/rgba]]\\n Kings across Britannia grant titles and lands to their vassals, granting power in exchange for fealty. \\n[[rgba:104:104:104:1]][Gained from holding Estates][[/rgba]]	true
character_trait_levels_colour_text_shield_title_vik_reg_aberteifi_welsh_2	[[rgba:135:189:233:1]]Political[[/rgba]] [[rgba:104:104:104:1]]- one level[[/rgba]]\\n Kings across Britannia grant titles and lands to their vassals, granting power in exchange for fealty. \\n[[rgba:104:104:104:1]][Gained from holding Estates][[/rgba]]	true
character_trait_levels_colour_text_shield_title_vik_reg_achadh_bo_irish_0	[[rgba:135:189:233:1]]Political[[/rgba]] [[rgba:104:104:104:1]]- one level[[/rgba]]\\n Kings across Britannia grant titles and lands to their vassals, granting power in exchange for fealty. \\n[[rgba:104:104:104:1]][Gained from holding Estates][[/rgba]]	true
character_trait_levels_colour_text_shield_title_vik_reg_achadh_bo_irish_1	[[rgba:135:189:233:1]]Political[[/rgba]] [[rgba:104:104:104:1]]- one level[[/rgba]]\\n Kings across Britannia grant titles and lands to their vassals, granting power in exchange for fealty. \\n[[rgba:104:104:104:1]][Gained from holding Estates][[/rgba]]	true
