bonus_value_id	effect	unit_set
#effect_bonus_value_ids_unit_sets_tables;0;db/effect_bonus_value_ids_unit_sets_tables/effect_bonus_value_ids_unit_sets		
ammo_mod	vik_catapult_ammunition_mod	siege_units
range_mod	vik_catapult_range_mod	siege_units
unit_xp_mod	vik_force_army_infantry_xp	infantry_units
unit_xp_mod	vik_force_artillery_xp	siege_units
armour_mod	vik_general_bodyguard_armour_mod	bodyguard_units_admirals
armour_mod	vik_general_bodyguard_armour_mod	bodyguard_units_generals
charge_bonus	vik_general_bodyguard_charge_bonus	bodyguard_units_generals
mod_land_movement_battle	vik_general_bodyguard_mod_battle_movement	bodyguard_units_admirals
mod_land_movement_battle	vik_general_bodyguard_mod_battle_movement	bodyguard_units_generals
melee_attack_mod	vik_general_bodyguard_mod_melee_attack	bodyguard_units_admirals
melee_attack_mod	vik_general_bodyguard_mod_melee_attack	bodyguard_units_generals
melee_defence_mod	vik_general_bodyguard_mod_melee_defence	bodyguard_units_admirals
melee_defence_mod	vik_general_bodyguard_mod_melee_defence	bodyguard_units_generals
melee_attack_mod	vik_general_bodyguard_mod_melee_skill	bodyguard_units_admirals
melee_attack_mod	vik_general_bodyguard_mod_melee_skill	bodyguard_units_generals
melee_defence_mod	vik_general_bodyguard_mod_melee_skill	bodyguard_units_admirals
melee_defence_mod	vik_general_bodyguard_mod_melee_skill	bodyguard_units_generals
morale	vik_general_bodyguard_morale_mod	bodyguard_units_admirals
morale	vik_general_bodyguard_morale_mod	bodyguard_units_generals
unit_stat_bonus_shield	vik_general_bodyguard_shield_mod	bodyguard_units_generals
general_aoe_mod	vik_general_mod_aura_size	bodyguard_units_admirals
general_aoe_mod	vik_general_mod_aura_size	bodyguard_units_generals
upkeep_mod	vik_governor_military_upkeep_hidden	all_units
upkeep_mod	vik_governor_military_upkeep	all_units
cost_mod	vik_governor_recruitment_cost_all_hidden	all_units
cost_mod	vik_governor_recruitment_cost_all	all_units
upkeep_mod	vik_military_upkeep_hidden	all_units
upkeep_mod	vik_military_upkeep_negative	all_units
upkeep_mod	vik_military_upkeep_war_fervour	all_units
upkeep_mod	vik_military_upkeep	all_units
cost_mod	vik_navy_recruitment_cost	naval_all
cost_mod	vik_recruitment_cost_all_hidden	all_units
cost_mod	vik_recruitment_cost_all	all_units
cost_mod	vik_recruitment_cost_mercenary	all_units
upkeep_mod	vik_unit_additional_upkeep_all_forces	all_units
unit_mercenary_unit_set_pool_replenishment_mod	vik_unit_all_swords_pool_replenishment_mod	vik_infantry_unit_swords_all
ammo_mod	vik_unit_archer_ammunition	infantry_units_missile
unit_mercenary_unit_set_pool_replenishment_mod	vik_unit_archer_infantry_pool_replenishment_mod	vik_infantry_units_archer
accuracy_mod	vik_unit_archer_missile_damage	infantry_units_missile
range_mod	vik_unit_archer_missile_range	infantry_units_missile
unit_mercenary_unit_set_pool_cap_replenishment_mod	vik_unit_archer_pool_cap_mod	infantry_units_missile
cost_mod	vik_unit_archer_recruitment_cost	infantry_units_missile
upkeep_mod	vik_unit_archer_upkeep_cost	infantry_units_missile
unit_mercenary_unit_set_pool_replenishment_mod	vik_unit_axe_pool_replenishment_mod	vik_axe_infantry
mod_land_movement_battle	vik_unit_battle_movement	all_units
charge_bonus	vik_unit_cavalry_charge_bonus	cavalry_units
melee_attack_mod	vik_unit_cavalry_melee_attack	cavalry_units
melee_damage_mod	vik_unit_cavalry_melee_damage	cavalry_units
melee_defence_mod	vik_unit_cavalry_melee_defence	cavalry_units
melee_attack_mod	vik_unit_cavalry_melee_skill	cavalry_units
melee_defence_mod	vik_unit_cavalry_melee_skill	cavalry_units
unit_mercenary_unit_set_pool_cap_replenishment_mod	vik_unit_cavalry_pool_cap_mod	cavalry_units
unit_mercenary_unit_set_pool_replenishment_mod	vik_unit_cavalry_pool_replenishment_mod	cavalry_units
cost_mod	vik_unit_cavalry_recruitment_cost	cavalry_units
upkeep_mod	vik_unit_cavalry_upkeep_cost	cavalry_units
unit_mercenary_unit_set_pool_replenishment_mod	vik_unit_elite_pool_replenishment_mod	heroes
unit_mercenary_unit_set_pool_replenishment_mod	vik_unit_elite_spear_pool_replenishment_mod	vik_elite_spearmen
unit_mercenary_unit_set_pool_replenishment_mod	vik_unit_levy_axe_pool_replenishment_mod	vik_levy_axe_infantry
unit_mercenary_unit_set_pool_replenishment_mod	vik_unit_levy_cavalry_pool_replenishment_mod	vik_levy_cavalry
melee_attack_mod	vik_unit_melee_melee_attack	infantry_units_melee
melee_damage_mod	vik_unit_melee_melee_damage_negative	infantry_units_melee
melee_damage_mod	vik_unit_melee_melee_damage	infantry_units_melee
melee_defence_mod	vik_unit_melee_melee_defence	infantry_units_melee
melee_attack_mod	vik_unit_melee_melee_skill	infantry_units_melee
melee_defence_mod	vik_unit_melee_melee_skill	infantry_units_melee
unit_mercenary_unit_set_pool_cap_replenishment_mod	vik_unit_melee_pool_cap_mod	infantry_units_melee
unit_mercenary_unit_set_pool_replenishment_mod	vik_unit_melee_pool_replenishment_mod	infantry_units_melee
cost_mod	vik_unit_melee_recruitment_cost	infantry_units_melee
unit_stat_bonus_shield	vik_unit_melee_shield_mod	infantry_units_melee
upkeep_mod	vik_unit_melee_upkeep_cost	infantry_units_melee
unit_mercenary_unit_set_pool_replenishment_mod	vik_unit_missile_infantry_pool_replenishment_mod	infantry_units_missile
unit_mercenary_unit_set_pool_replenishment_mod	vik_unit_peasant_pool_replenishment_mod	peasants
unit_mercenary_unit_set_pool_cap_replenishment_mod	vik_unit_pool_cap_mod	all_units
