bonus_value_id	effect	unit_set
#effect_bonus_value_ids_unit_sets_tables;0;db/effect_bonus_value_ids_unit_sets_tables/new_effects		
armour_mod	shieldwall_tech_noble_armour	nobles
replenishment_percentage_bonus_multiply	shield_mercenary_replenishment	mercenaries
cost_mod	shield_mercenary_recruitment_cost	mercenaries
unit_mercenary_unit_set_pool_cap_replenishment_mod	shieldwall_noble_levy_cap	nobles
unit_mercenary_unit_set_pool_cap_replenishment_mod	shieldwall_horsemen_levy_cap	mounted_warriors
unit_mercenary_unit_set_pool_cap_replenishment_mod	shieldwall_noble_infantry_levy_cap	foot_nobles
unit_mercenary_unit_set_pool_cap_replenishment_mod	shieldwall_hero_levy_cap	heroes
unit_mercenary_unit_set_pool_cap_replenishment_mod	shieldwall_fyrd_levy_cap	fyrdmen
unit_mercenary_unit_set_pool_cap_replenishment_mod	shieldwall_thegn_levy_cap	thegns
unit_mercenary_unit_set_pool_cap_replenishment_mod	shieldwall_hird_levy_cap	hirdmen
unit_mercenary_unit_set_pool_cap_replenishment_mod	shieldwall_cavalry_levy_cap	cavalry_units
unit_mercenary_unit_set_pool_cap_replenishment_mod	shieldwall_bowmen_levy_cap	bow_units
unit_mercenary_unit_set_pool_cap_replenishment_mod	shieldwall_penteulu_levy_cap	penteulu
unit_mercenary_unit_set_pool_cap_replenishment_mod	shieldwall_thrall_levy_cap	thralls
unit_mercenary_unit_set_pool_cap_replenishment_mod	shieldwall_irish_thrall_levy_cap	irish_thralls
unit_mercenary_unit_set_pool_replenishment_mod	shieldwall_difficulty_mods_generation_rate	all_units
cost_mod	shieldwall_fyrd_levy_cost	fyrdmen
replenishment_percentage_bonus_multiply	shieldwall_fyrd_levy_replenishment	fyrdmen
morale	shieldwall_heroism_noble_morale	nobles
melee_attack_mod	shieldwall_cavalry_melee_skill	cavalry_units
accuracy_mod	shieldwall_bowmen_accuracy	bow_units
melee_attack_mod	shieldwall_foot_noble_melee_skill	foot_nobles
replenishment_percentage_bonus_multiply	shieldwall_english_peasant_replenishment_hidden	english_peasants
replenishment_percentage_bonus_multiply	shieldwall_fyrd_levy_replenishment_hidden	fyrdmen
cost_mod	shieldwall_fyrd_levy_cost_hidden	fyrdmen
upkeep_mod	shieldwall_fyrd_levy_upkeep	fyrdmen
unit_mercenary_unit_set_pool_replenishment_mod	sw_unit_pool_replenishment_mod_levy_noble_melee	levy_noble_melee
unit_mercenary_unit_set_pool_replenishment_mod	sw_unit_pool_replenishment_mod_levy_noble_cavalry_or_ranged	levy_noble_cavalry_or_ranged
unit_mercenary_unit_set_pool_replenishment_mod	sw_unit_pool_replenishment_mod_levy_peasant_ranged	levy_peasant_ranged
unit_mercenary_unit_set_pool_replenishment_mod	sw_unit_pool_replenishment_mod_levy_peasant_melee	levy_peasant_melee
unit_xp_mod	shieldwall_bowmen_recruit_exp	bow_units
replenishment_percentage_bonus_multiply	sw_no_replen_serf	peasants
replenishment_percentage_bonus_multiply	sw_no_replen_lord	nobles
replenishment_percentage_bonus_multiply	sw_no_replen_merc	mercenaries
unit_mercenary_unit_set_pool_cap_replenishment_mod	shieldwall_vikingar_recruitment_cost	vikingar
unit_mercenary_unit_set_pool_cap_replenishment_mod	shieldwall_vikingar_capacity	vikingar
replenishment_percentage_bonus_multiply	sw_replen_serf	peasants
replenishment_percentage_bonus_multiply	sw_replen_lord	nobles
replenishment_percentage_bonus_multiply	sw_replen_merc	mercenaries
replenishment_percentage_bonus_multiply	sw_replen_vikings	vikingar
unit_mercenary_unit_set_pool_replenishment_mod	sw_front_end_faster_peasant_levy	peasants
unit_mercenary_unit_set_pool_cap_replenishment_mod	sw_pools_berserkers_increase	berserker
unit_mercenary_unit_set_pool_replenishment_mod	sw_pools_berserkers_rate	berserker
unit_mercenary_unit_set_pool_cap_replenishment_mod	sw_pools_bows_increase	bow_units
unit_mercenary_unit_set_pool_replenishment_mod	sw_pools_bows_rate	bow_units
unit_mercenary_unit_set_pool_cap_replenishment_mod	sw_pools_light_infantry_increase	javelin_units
unit_mercenary_unit_set_pool_replenishment_mod	sw_pools_light_infantry_rate	javelin_units
unit_mercenary_unit_set_pool_cap_replenishment_mod	sw_pools_light_infantry_increase	sling_units
unit_mercenary_unit_set_pool_replenishment_mod	sw_pools_light_infantry_rate	sling_units
unit_mercenary_unit_set_pool_cap_replenishment_mod	sw_pools_foreign_warriors_increase	mercenaries
unit_mercenary_unit_set_pool_replenishment_mod	sw_pools_foreign_warriors_rate	mercenaries
unit_mercenary_unit_set_pool_cap_replenishment_mod	sw_pools_nobles_increase	nobles
unit_mercenary_unit_set_pool_replenishment_mod	sw_pools_nobles_rate	nobles
unit_mercenary_unit_set_pool_cap_replenishment_mod	sw_pools_peasants_increase	peasants
unit_mercenary_unit_set_pool_replenishment_mod	sw_pools_peasants_rate	peasants
unit_mercenary_unit_set_pool_cap_replenishment_mod	sw_pools_nobles_except_heroes_increase	nobles_except_heroes
unit_mercenary_unit_set_pool_replenishment_mod	sw_pools_nobles_except_heroes_rate	nobles_except_heroes
unit_mercenary_unit_set_pool_cap_replenishment_mod	sw_pools_peasant_infantry_increase	levy_peasant_melee
unit_mercenary_unit_set_pool_replenishment_mod	sw_pools_peasant_infantry_rate	levy_peasant_melee
unit_mercenary_unit_set_pool_cap_replenishment_mod	sw_pools_peasant_ranged_increase	levy_peasant_ranged
unit_mercenary_unit_set_pool_replenishment_mod	sw_pools_peasant_ranged_rate	levy_peasant_ranged
unit_mercenary_unit_set_pool_cap_replenishment_mod	sw_pools_noble_infantry_not_heroes_increase	levy_noble_melee
unit_mercenary_unit_set_pool_replenishment_mod	sw_pools_noble_infantry_not_heroes_rate	levy_noble_melee
unit_mercenary_unit_set_pool_cap_replenishment_mod	sw_pools_noble_cav_or_ranged_not_heroes_increase	levy_noble_cavalry_or_ranged
unit_mercenary_unit_set_pool_replenishment_mod	sw_pools_noble_cav_or_ranged_not_heroes_rate	levy_noble_cavalry_or_ranged
unit_mercenary_unit_set_pool_cap_replenishment_mod	sw_pools_heroes_increase	heroes
unit_mercenary_unit_set_pool_replenishment_mod	sw_pools_heroes_rate	heroes
