unit_caste	unit_category	unit_class	unit_record	unit_set	exclude
#unit_set_to_unit_junctions_tables;0;db/unit_set_to_unit_junctions_tables/axes					
			dan_shield_biters	vik_axe_infantry	false
			est_berserkers	vik_axe_infantry	false
			est_champions	vik_axe_infantry	false
			vik_mailed_hersir_axemen	vik_axe_infantry	false
			iri_freemen_axemen	vik_axe_infantry	false
			est_mailed_axemen	vik_axe_infantry	false
			vik_axe_hirdmen	vik_axe_infantry	false
			dan_huscarls	vik_axe_infantry	false
			iri_foreign_warriors	vik_axe_infantry	false
			dan_axemen	vik_axe_infantry	false
			dan_ceorl_axemen	vik_axe_infantry	false
			eng_fyrd_axemen	vik_axe_infantry	false
			est_axemen	vik_axe_infantry	false
			est_fighters	vik_axe_infantry	false
			est_marauders	vik_axe_infantry	false
			est_norse_warriors	vik_axe_infantry	false
			iri_kern_axemen	vik_axe_infantry	false
			nor_axe_levy	vik_axe_infantry	false
			nor_axemen	vik_axe_infantry	false
			sco_cateran_axemen	vik_axe_infantry	false
			vik_axe_freemen	vik_axe_infantry	false
			vik_raiders	vik_axe_infantry	false
			wel_axemen	vik_axe_infantry	false
			eng_ceorl_axemen	vik_axe_infantry	false
			sco_cateran_levy	vik_axe_infantry	false
			wel_levy_axemen	vik_axe_infantry	false
			dan_royal_huscarls	vik_axe_infantry	false
			est_royal_huskarls	vik_axe_infantry	false
			vik_royal_huskarls	vik_axe_infantry	false
			dan_anglian_marauders	vik_axe_infantry	false
			dan_anglian_raiders	vik_axe_infantry	false
			dan_great_axemen	vik_axe_infantry	false
			dan_jarls_huscarls	vik_axe_infantry	false
			dan_long_axemen	vik_axe_infantry	false
			eng_long_axemen	vik_axe_infantry	false
			eng_mailed_long_axemen	vik_axe_infantry	false
			est_axe_warriors	vik_axe_infantry	false
			est_great_axes	vik_axe_infantry	false
			est_long_axes	vik_axe_infantry	false
			vik_great_axes	vik_axe_infantry	false
			vik_long_axes	vik_axe_infantry	false
			wel_armoured_axemen	vik_axe_infantry	false
			wel_mailed_axemen	vik_axe_infantry	false
			eng_seax_warriors	vik_seaxe_infantry	false
			iri_gallowglasses	vik_axe_infantry	false
			nor_huskarls	vik_axe_infantry	false
			vik_huskarls	vik_axe_infantry	false
			vik_jarls_huskarls	vik_axe_infantry	false
			vik_mailed_huskarls	vik_axe_infantry	false
			dan_danelaw_huscarls	vik_axe_infantry	false
			eng_royal_huscarls	vik_axe_infantry	false
			est_huskarls	vik_axe_infantry	false
			dan_anglian_champions	vik_axe_infantry	false
			sco_alban_axe_warriors	vik_axe_infantry	false
			sco_alban_axemen	vik_axe_infantry	false
			vik_axe_hersir	vik_axe_infantry	false
			vik_marauders	vik_axe_infantry	false
			vik_berserkers	vik_axe_infantry	false
			iri_freemen_axemen	vik_levy_axe_infantry	false
			dan_axemen	vik_levy_axe_infantry	false
			dan_ceorl_axemen	vik_levy_axe_infantry	false
			eng_fyrd_axemen	vik_levy_axe_infantry	false
			est_axemen	vik_levy_axe_infantry	false
			est_fighters	vik_levy_axe_infantry	false
			est_marauders	vik_levy_axe_infantry	false
			est_norse_warriors	vik_levy_axe_infantry	false
			iri_kern_axemen	vik_levy_axe_infantry	false
			nor_axe_levy	vik_levy_axe_infantry	false
			nor_axemen	vik_levy_axe_infantry	false
			sco_cateran_axemen	vik_levy_axe_infantry	false
			vik_axe_freemen	vik_levy_axe_infantry	false
			vik_raiders	vik_levy_axe_infantry	false
			wel_axemen	vik_levy_axe_infantry	false
			eng_ceorl_axemen	vik_levy_axe_infantry	false
			sco_cateran_levy	vik_levy_axe_infantry	false
			wel_levy_axemen	vik_levy_axe_infantry	false
			dan_anglian_marauders	vik_levy_axe_infantry	false
			dan_anglian_raiders	vik_levy_axe_infantry	false
			dan_great_axemen	vik_levy_axe_infantry	false
			dan_jarls_huscarls	vik_levy_axe_infantry	false
			dan_long_axemen	vik_levy_axe_infantry	false
