unit_caste	unit_category	unit_class	unit_record	unit_set	exclude
#unit_set_to_unit_junctions_tables;0;db/unit_set_to_unit_junctions_tables/english_unit_sets					
			eng_fyrd_archers	fyrdmen	false
			eng_fyrd_axemen	fyrdmen	false
			eng_fyrd_spearmen	fyrdmen	false
			eng_fyrd_javelinmen	fyrdmen	false
			eng_fyrd_axemen	fyrdmen_infantry	false
			eng_fyrd_archers	fyrdmen_skirmishers	false
			eng_fyrd_spearmen	fyrdmen_infantry	false
			eng_fyrd_javelinmen	fyrdmen_skirmishers	false
			eng_thegns	thegns	false
			eng_thegn_spearmen	thegns	false
			dan_northumbrian_thegns	thegns	false
			dan_sword_hersir	thegns	false
			eng_marcher_spearmen	marcher_units	false
			eng_militia_fyrd_archers	marcher_units	false
			eng_mailed_horsemen	marcher_units	false
			eng_select_fyrd_spearmen	select_units	false
			eng_select_fyrd_archers	select_units	false
			eng_thegn_horsemen	select_units	false
			eng_catapult	english_peasants	false
			eng_ceorl_archers	english_peasants	false
			eng_ceorl_axemen	english_peasants	false
			eng_ceorl_javelinmen	english_peasants	false
			eng_ceorl_spearmen	english_peasants	false
			eng_fyrd_archers	english_peasants	false
			eng_fyrd_axemen	english_peasants	false
			eng_fyrd_javelinmen	english_peasants	false
			eng_fyrd_spearmen	english_peasants	false
			eng_mailed_long_axemen	english_peasants	false
			eng_militia_fyrd_spearmen	english_peasants	false
			eng_scout_horsemen	english_peasants	false
			eng_select_militia_spearmen	english_peasants	false
