unit_caste	unit_category	unit_class	unit_record	unit_set	exclude
#unit_set_to_unit_junctions_tables;0;db/unit_set_to_unit_junctions_tables/levy_payload_unit_sets					
			eng_ceorl_spearmen	levy_peasant_melee	false
			eng_fyrd_spearmen	levy_peasant_melee	false
			eng_select_fyrd_spearmen	levy_peasant_melee	false
			eng_seax_warriors	levy_peasant_melee	false
			eng_ceorl_axemen	levy_peasant_melee	false
			eng_fyrd_axemen	levy_peasant_melee	false
			eng_ceorl_archers	levy_peasant_ranged	false
			eng_fyrd_archers	levy_peasant_ranged	false
			eng_select_fyrd_archers	levy_peasant_ranged	false
			eng_ceorl_javelinmen	levy_peasant_ranged	false
			eng_fyrd_javelinmen	levy_peasant_ranged	false
			eng_thegn_horsemen	levy_noble_cavalry_or_ranged	false
			eng_catapult	levy_noble_cavalry_or_ranged	false
			eng_marcher_spearmen	levy_peasant_melee	false
			eng_militia_fyrd_archers	levy_peasant_ranged	false
			eng_mailed_horsemen	levy_peasant_melee	false
			dan_ceorl_spearmen	levy_peasant_melee	false
			dan_spearmen	levy_peasant_melee	false
			est_norse_hersir	levy_peasant_melee	false
			dan_axemen	levy_peasant_melee	false
			dan_ceorl_archers	levy_peasant_ranged	false
			dan_archers	levy_peasant_ranged	false
			dan_javelinmen	levy_peasant_ranged	false
			dan_catapult	levy_noble_cavalry_or_ranged	false
			wel_levy_spearmen	levy_peasant_melee	false
			wel_spearmen	levy_peasant_melee	false
			wel_levy_axemen	levy_peasant_melee	false
			wel_axemen	levy_peasant_melee	false
			wel_archers	levy_peasant_ranged	false
			wel_helwyr	levy_peasant_ranged	false
			wel_longbowmen	levy_peasant_ranged	false
			wel_levy_javelinmen	levy_peasant_ranged	false
			wel_horsemen	levy_peasant_melee	false
			wel_war_hounds	levy_peasant_ranged	false
			wel_catapult	levy_noble_cavalry_or_ranged	false
			wel_hunters	levy_noble_cavalry_or_ranged	false
			wel_old_north_uchelwr	levy_noble_cavalry_or_ranged	false
			wel_uchelwr	levy_noble_cavalry_or_ranged	false
			eng_earls_horsemen	levy_noble_cavalry_or_ranged	false
			dan_jarls_horsemen	levy_noble_cavalry_or_ranged	false
			dan_sword_hirdmen	levy_noble_melee	false
			dan_sword_hersir	levy_noble_melee	false
			dan_northumbrian_thegns	levy_noble_melee	false
			eng_thegn_spearmen	levy_noble_melee	false
			eng_thegns	levy_noble_melee	false
			eng_earls_thegns	levy_noble_melee	false
			wel_royal_spearmen	levy_noble_melee	false
			wel_teulu_spear_guard	levy_noble_melee	false
			est_hirdmen	levy_noble_melee	false
			est_mailed_axemen	levy_noble_melee	false
			est_spear_guard	levy_noble_melee	false
			sco_sword_warriors	levy_noble_melee	false
			sco_royal_cavalry	levy_noble_cavalry_or_ranged	false
			iri_serf_archers	levy_peasant_ranged	false
			est_spearband	levy_peasant_melee	false
			est_norse_warriors	levy_peasant_melee	false
			est_axemen	levy_peasant_melee	false
			vik_mailed_archers	levy_noble_cavalry_or_ranged	false
			sco_alban_levy_spearmen	levy_peasant_melee	false
			sco_alban_spearmen	levy_peasant_melee	false
			sco_schiltron	levy_peasant_melee	false
			sco_sword_band	levy_peasant_melee	false
			sco_cateran_levy	levy_peasant_melee	false
			sco_cateran_axemen	levy_peasant_melee	false
			sco_alban_crossbowmen	levy_peasant_ranged	false
			sco_highland_archers	levy_peasant_ranged	false
			sco_alban_levy_javelinmen	levy_peasant_ranged	false
			eng_marcher_armoured_spearmen	levy_noble_melee	false
			sco_lowland_crossbowmen	levy_noble_cavalry_or_ranged	false
			iri_freemen_spearmen	levy_peasant_melee	false
			iri_kern_spearmen	levy_peasant_melee	false
			iri_fianna_band	levy_peasant_melee	false
			iri_freemen_axemen	levy_peasant_melee	false
			iri_kern_axemen	levy_peasant_melee	false
			iri_kerns	levy_peasant_ranged	false
			iri_wood_kerns	levy_peasant_ranged	false
			iri_horse_boys	levy_peasant_ranged	false
			iri_spear_raiders	levy_noble_melee	false
			iri_airig_warband	levy_noble_melee	false
			iri_airig_mailed_horsemen	levy_noble_cavalry_or_ranged	false
