unit_caste	unit_category	unit_class	unit_record	unit_set	exclude
#unit_set_to_unit_junctions_tables;0;db/unit_set_to_unit_junctions_tables/spears					
			eng_earls_spearmen	infantry_units_spears	false
			iri_freemen_spearmen	infantry_units_spears	false
			iri_kern_spearmen	infantry_units_spears	false
			eng_marcher_armoured_spearmen	infantry_units_spears	false
			eng_thegn_spearmen	infantry_units_spears	false
			est_spear_guard	infantry_units_spears	false
			iri_spear_raiders	infantry_units_spears	false
			wel_royal_spearmen	infantry_units_spears	false
			dan_northumbrian_thegns	infantry_units_spears	false
			wel_teulu_spear_guard	infantry_units_spears	false
			dan_ceorl_spearmen	infantry_units_spears	false
			dan_spearmen	infantry_units_spears	false
			eng_ceorl_spearmen	infantry_units_spears	false
			eng_fyrd_spearmen	infantry_units_spears	false
			est_spearband	infantry_units_spears	false
			est_warband	infantry_units_spears	false
			nor_levy_spearmen	infantry_units_spears	false
			nor_spearmen	infantry_units_spears	false
			sco_alban_levy_spearmen	infantry_units_spears	false
			sco_alban_spearmen	infantry_units_spears	false
			vik_freemen	infantry_units_spears	false
			wel_levy_spearmen	infantry_units_spears	false
			wel_spearmen	infantry_units_spears	false
			wel_valley_spearmen	infantry_units_spears	false
			vik_scouts	infantry_units_spears	false
			est_spear_hirdmen	infantry_units_spears	false
			nor_mailed_spearmen	infantry_units_spears	false
			vik_spear_hirdmen	infantry_units_spears	false
			eng_marcher_spearmen	infantry_units_spears	false
			eng_select_fyrd_spearmen	infantry_units_spears	false
			eng_select_militia_spearmen	infantry_units_spears	false
			sco_schiltron	infantry_units_spears	false
			eng_mailed_spearmen	infantry_units_spears	false
			eng_militia_fyrd_spearmen	infantry_units_spears	false
			est_spearmen	infantry_units_spears	false
			iri_wood_spears	infantry_units_spears	false
			sco_royal_followers	infantry_units_spears	false
			vik_mailed_hersir_spearmen	infantry_units_spears	false
			wel_cantref_spearmen	infantry_units_spears	false
			wel_valley_mailed_spearmen	infantry_units_spears	false
			dan_fyrd_spearmen	infantry_units_spears	false
			eng_marcher_mailed_spearmen	infantry_units_spears	false
			nor_shield_wall	infantry_units_spears	false
			vik_spear_hersir	infantry_units_spears	false
			vik_thrall_spearmen	infantry_units_spears	false
			wel_valley_armoured_spearmen	infantry_units_spears	false
			eng_marcher_armoured_spearmen	vik_elite_spearmen	false
			eng_thegn_spearmen	vik_elite_spearmen	false
			est_spear_guard	vik_elite_spearmen	false
			iri_spear_raiders	vik_elite_spearmen	false
			wel_royal_spearmen	vik_elite_spearmen	false
			dan_northumbrian_thegns	vik_elite_spearmen	false
			wel_teulu_spear_guard	vik_elite_spearmen	false
			est_spear_hirdmen	vik_elite_spearmen	false
			nor_mailed_spearmen	vik_elite_spearmen	false
			vik_spear_hirdmen	vik_elite_spearmen	false
			iri_freemen_spearmen	spear_units_except_heroes	false
			iri_kern_spearmen	spear_units_except_heroes	false
			eng_marcher_armoured_spearmen	spear_units_except_heroes	false
			eng_thegn_spearmen	spear_units_except_heroes	false
			est_spear_guard	spear_units_except_heroes	false
			iri_spear_raiders	spear_units_except_heroes	false
			wel_royal_spearmen	spear_units_except_heroes	false
			dan_northumbrian_thegns	spear_units_except_heroes	false
			wel_teulu_spear_guard	spear_units_except_heroes	false
			dan_ceorl_spearmen	spear_units_except_heroes	false
			dan_spearmen	spear_units_except_heroes	false
			eng_ceorl_spearmen	spear_units_except_heroes	false
			eng_fyrd_spearmen	spear_units_except_heroes	false
			est_spearband	spear_units_except_heroes	false
			est_warband	spear_units_except_heroes	false
			nor_levy_spearmen	spear_units_except_heroes	false
			nor_spearmen	spear_units_except_heroes	false
			sco_alban_levy_spearmen	spear_units_except_heroes	false
			sco_alban_spearmen	spear_units_except_heroes	false
			vik_freemen	spear_units_except_heroes	false
			wel_levy_spearmen	spear_units_except_heroes	false
			wel_spearmen	spear_units_except_heroes	false
			wel_valley_spearmen	spear_units_except_heroes	false
			est_spear_hirdmen	spear_units_except_heroes	false
			nor_mailed_spearmen	spear_units_except_heroes	false
			vik_spear_hirdmen	spear_units_except_heroes	false
			eng_marcher_spearmen	spear_units_except_heroes	false
			eng_select_fyrd_spearmen	spear_units_except_heroes	false
			eng_select_militia_spearmen	spear_units_except_heroes	false
			sco_schiltron	spear_units_except_heroes	false
			eng_mailed_spearmen	spear_units_except_heroes	false
			eng_militia_fyrd_spearmen	spear_units_except_heroes	false
			est_spearmen	spear_units_except_heroes	false
			iri_wood_spears	spear_units_except_heroes	false
			sco_royal_followers	spear_units_except_heroes	false
			vik_mailed_hersir_spearmen	spear_units_except_heroes	false
			wel_cantref_spearmen	spear_units_except_heroes	false
			wel_valley_mailed_spearmen	spear_units_except_heroes	false
			dan_fyrd_spearmen	spear_units_except_heroes	false
			eng_marcher_mailed_spearmen	spear_units_except_heroes	false
			nor_shield_wall	spear_units_except_heroes	false
			vik_spear_hersir	spear_units_except_heroes	false
			vik_thrall_spearmen	spear_units_except_heroes	false
			wel_valley_armoured_spearmen	spear_units_except_heroes	false
