unit_caste	unit_category	unit_class	unit_record	unit_set	exclude
#unit_set_to_unit_junctions_tables;0;db/unit_set_to_unit_junctions_tables/swordsmen					
			dan_mailed_swordsmen	infantry_units_swords	false
			eng_earls_thegns	infantry_units_swords	false
			eng_mailed_thegns	infantry_units_swords	false
			eng_royal_thegns	infantry_units_swords	false
			est_norse_mailed_hersir	infantry_units_swords	false
			iri_mailed_fianna	infantry_units_swords	false
			dan_sword_hersir	infantry_units_swords	false
			dan_sword_hirdmen	infantry_units_swords	false
			est_norse_hersir	infantry_units_swords	false
			iri_airig_swordsmen	infantry_units_swords	false
			iri_fianna_band	infantry_units_swords	false
			iri_fianna_swordsmen	infantry_units_swords	false
			iri_kern_swordsmen	infantry_units_swords	false
			nor_maine_warriors	infantry_units_swords	false
			sco_sword_band	infantry_units_swords	false
			vik_sword_hersir	infantry_units_swords	false
			wel_armoured_swordsmen	infantry_units_swords	false
			dan_northumbrian_mailed_thegns	infantry_units_swords	false
			dan_warlords_companions	infantry_units_swords	false
			eng_royal_bodyguard	infantry_units_swords	false
			eng_royal_companions	infantry_units_swords	false
			eng_thegns	infantry_units_swords	false
			est_hearthguard	infantry_units_swords	false
			est_hirdmen	infantry_units_swords	false
			iri_airig_warband	infantry_units_swords	false
			iri_household_riders	infantry_units_swords	false
			nor_swordsmen	infantry_units_swords	false
			sco_kings_blades	infantry_units_swords	false
			sco_royal_bodyguard	infantry_units_swords	false
			sco_sword_warriors	infantry_units_swords	false
			vik_hearthguard	infantry_units_swords	false
			vik_jomsvikings	infantry_units_swords	false
			vik_mailed_hersir_swordsmen	infantry_units_swords	false
			wel_mailed_swordsmen	infantry_units_swords	false
			iri_raider_swordsmen	infantry_units_swords	false
			vik_sword_hirdmen	infantry_units_swords	false
			wel_swordsmen	infantry_units_swords	false
			nor_foot_soldiers	infantry_units_swords	false
			nor_maine_infantry	infantry_units_swords	false
			sco_alban_warriors	infantry_units_swords	false
			sco_black_blades	infantry_units_swords	false
			dan_mailed_swordsmen	vik_infantry_unit_swords_retinue	false
			eng_earls_thegns	vik_infantry_unit_swords_retinue	false
			eng_mailed_thegns	vik_infantry_unit_swords_retinue	false
			eng_royal_thegns	vik_infantry_unit_swords_retinue	false
			est_norse_mailed_hersir	vik_infantry_unit_swords_retinue	false
			sco_alban_warriors	vik_infantry_unit_swords_retinue	false
			iri_mailed_fianna	vik_infantry_unit_swords_retinue	false
			iri_airig_swordsmen	vik_infantry_unit_swords_retinue	false
			dan_warlords_companions	vik_infantry_unit_swords_retinue	false
			eng_royal_companions	vik_infantry_unit_swords_retinue	false
			est_hearthguard	vik_infantry_unit_swords_retinue	false
			iri_household_riders	vik_infantry_unit_swords_retinue	false
			sco_kings_blades	vik_infantry_unit_swords_retinue	false
			sco_royal_bodyguard	vik_infantry_unit_swords_retinue	false
			vik_hearthguard	vik_infantry_unit_swords_retinue	false
			dan_sword_hersir	vik_infantry_unit_swords_retinue	false
			dan_sword_hirdmen	vik_infantry_unit_swords_retinue	false
			sco_sword_band	vik_infantry_unit_swords_retinue	false
			wel_armoured_swordsmen	vik_infantry_unit_swords_retinue	false
			eng_thegns	vik_infantry_unit_swords_retinue	false
			est_hirdmen	vik_infantry_unit_swords_retinue	false
			iri_airig_warband	vik_infantry_unit_swords_retinue	false
			nor_swordsmen	vik_infantry_unit_swords_retinue	false
			sco_sword_warriors	vik_infantry_unit_swords_retinue	false
			vik_mailed_hersir_swordsmen	vik_infantry_unit_swords_retinue	false
			wel_swordsmen	vik_infantry_unit_swords_retinue	false
			dan_northumbrian_mailed_thegns	vik_infantry_unit_swords_retinue	false
			wel_mailed_swordsmen	vik_infantry_unit_swords_retinue	false
			eng_royal_bodyguard	vik_infantry_unit_swords_retinue	false
			eng_earls_thegns	sword_units_except_heroes	false
			eng_mailed_thegns	sword_units_except_heroes	false
			dan_sword_hersir	sword_units_except_heroes	false
			dan_sword_hirdmen	sword_units_except_heroes	false
			est_norse_hersir	sword_units_except_heroes	false
			iri_airig_swordsmen	sword_units_except_heroes	false
			iri_fianna_band	sword_units_except_heroes	false
			iri_fianna_swordsmen	sword_units_except_heroes	false
			iri_kern_swordsmen	sword_units_except_heroes	false
			nor_maine_warriors	sword_units_except_heroes	false
			sco_sword_band	sword_units_except_heroes	false
			vik_sword_hersir	sword_units_except_heroes	false
			wel_armoured_swordsmen	sword_units_except_heroes	false
			dan_northumbrian_mailed_thegns	sword_units_except_heroes	false
			dan_warlords_companions	sword_units_except_heroes	false
			eng_royal_bodyguard	sword_units_except_heroes	false
			eng_royal_companions	sword_units_except_heroes	false
			eng_thegns	sword_units_except_heroes	false
			est_hearthguard	sword_units_except_heroes	false
			est_hirdmen	sword_units_except_heroes	false
			iri_airig_warband	sword_units_except_heroes	false
			iri_household_riders	sword_units_except_heroes	false
			nor_swordsmen	sword_units_except_heroes	false
			sco_kings_blades	sword_units_except_heroes	false
			sco_royal_bodyguard	sword_units_except_heroes	false
			sco_sword_warriors	sword_units_except_heroes	false
			vik_hearthguard	sword_units_except_heroes	false
			vik_jomsvikings	sword_units_except_heroes	false
			vik_mailed_hersir_swordsmen	sword_units_except_heroes	false
			wel_mailed_swordsmen	sword_units_except_heroes	false
			iri_raider_swordsmen	sword_units_except_heroes	false
			vik_sword_hirdmen	sword_units_except_heroes	false
			wel_swordsmen	sword_units_except_heroes	false
			nor_foot_soldiers	sword_units_except_heroes	false
			nor_maine_infantry	sword_units_except_heroes	false
			sco_black_blades	sword_units_except_heroes	false
