unit_caste	unit_category	unit_class	unit_record	unit_set	exclude
#unit_set_to_unit_junctions_tables;0;db/unit_set_to_unit_junctions_tables/unit_set_to_unit_junctions					
			est_hearthguard	bodyguard_units_generals	false
			est_royal_huskarls	bodyguard_units_generals	false
			dan_warlords_companions	bodyguard_units_generals	false
			dan_royal_huscarls	bodyguard_units_generals	false
			eng_royal_companions	bodyguard_units_generals	false
			eng_royal_bodyguard	bodyguard_units_generals	false
			wel_teulu	bodyguard_units_generals	false
			wel_royal_teulu	bodyguard_units_generals	false
			iri_airig_swordsmen	bodyguard_units_generals	false
			iri_household_riders	bodyguard_units_generals	false
			sco_kings_blades	bodyguard_units_generals	false
			sco_royal_bodyguard	bodyguard_units_generals	false
			vik_hearthguard	bodyguard_units_generals	false
			vik_royal_huskarls	bodyguard_units_generals	false
			nor_miles	bodyguard_units_generals	false
			wel_armoured_axemen	bodyguard_units_generals	false
			dan_anglian_marauders	all_units	false
			dan_anglian_raiders	all_units	false
			dan_archers	all_units	false
			dan_axemen	all_units	false
			dan_berserkers	all_units	false
			dan_catapult	all_units	false
			dan_ceorl_archers	all_units	false
			dan_ceorl_axemen	all_units	false
			dan_ceorl_javelinmen	all_units	false
			dan_ceorl_spearmen	all_units	false
			dan_fyrd_archers	all_units	false
			dan_huscarls	all_units	false
			dan_jarls_horsemen	all_units	false
			dan_jarls_huscarls	all_units	false
			dan_javelinmen	all_units	false
			dan_mailed_horsemen	all_units	false
			dan_mailed_swordsmen	all_units	false
			dan_northumbrian_mailed_thegns	all_units	false
			dan_northumbrian_thegns	all_units	false
			dan_royal_huscarls	all_units	false
			dan_scout_horsemen	all_units	false
			dan_shield_biters	all_units	false
			dan_spearmen	all_units	false
			dan_sword_hersir	all_units	false
			dan_sword_hirdmen	all_units	false
			dan_warlords_companions	all_units	false
			eng_catapult	all_units	false
			eng_ceorl_archers	all_units	false
			eng_ceorl_axemen	all_units	false
			eng_ceorl_javelinmen	all_units	false
			eng_ceorl_spearmen	all_units	false
			eng_earls_horsemen	all_units	false
			eng_earls_spearmen	all_units	false
			eng_earls_thegns	all_units	false
			eng_fyrd_archers	all_units	false
			eng_fyrd_axemen	all_units	false
			eng_fyrd_javelinmen	all_units	false
			eng_fyrd_spearmen	all_units	false
			eng_long_axemen	all_units	false
			eng_mailed_horsemen	all_units	false
			eng_mailed_thegns	all_units	false
			eng_marcher_armoured_spearmen	all_units	false
			eng_marcher_spearmen	all_units	false
			eng_militia_fyrd_archers	all_units	false
			eng_royal_bodyguard	all_units	false
			eng_royal_companions	all_units	false
			eng_royal_thegns	all_units	false
			eng_scout_horsemen	all_units	false
			eng_seax_warriors	all_units	false
			eng_select_fyrd_archers	all_units	false
			eng_select_fyrd_spearmen	all_units	false
			eng_thegn_horsemen	all_units	false
			eng_thegn_spearmen	all_units	false
			eng_thegns	all_units	false
			est_archers	all_units	false
			est_axe_warriors	all_units	false
			est_axemen	all_units	false
			est_berserkers	all_units	false
			est_catapult	all_units	false
			est_champions	all_units	false
			est_fighters	all_units	false
			est_hearthguard	all_units	false
			est_hirdmen	all_units	false
			est_hunters	all_units	false
			est_kerns	all_units	false
			est_levy_javelinmen	all_units	false
			est_long_axes	all_units	false
			est_mailed_axemen	all_units	false
			est_mailed_horsemen	all_units	false
			est_marauders	all_units	false
			est_norse_hersir	all_units	false
			est_norse_mailed_hersir	all_units	false
			est_norse_warriors	all_units	false
			est_raiders	all_units	false
			est_royal_huskarls	all_units	false
			est_scouts	all_units	false
			est_shield_biters	all_units	false
			est_spear_guard	all_units	false
			est_spear_hirdmen	all_units	false
			est_spearband	all_units	false
			est_warband	all_units	false
			iri_airig_mailed_horsemen	all_units	false
			iri_airig_swordsmen	all_units	false
			iri_airig_warband	all_units	false
			iri_catapult	all_units	false
			iri_fianna_band	all_units	false
			iri_foreign_warriors	all_units	false
			iri_freemen_axemen	all_units	false
			iri_freemen_spearmen	all_units	false
			iri_horse_boys	all_units	false
			iri_household_riders	all_units	false
			iri_kern_axemen	all_units	false
			iri_kern_raiders	all_units	false
			iri_kern_spearmen	all_units	false
			iri_kerns	all_units	false
			iri_mailed_fianna	all_units	false
			iri_serf_archers	all_units	false
			iri_spear_raiders	all_units	false
			iri_wolf_hounds	all_units	false
			iri_wood_kerns	all_units	false
			nor_archers	all_units	false
			nor_axe_levy	all_units	false
			nor_axemen	all_units	false
			nor_catapult	all_units	false
			nor_cavalry	all_units	false
			nor_flemish_crossbowmen	all_units	false
			nor_foot_soldiers	all_units	false
			nor_horsemen	all_units	false
			nor_knights	all_units	false
			nor_levy_archers	all_units	false
			nor_levy_spearmen	all_units	false
			nor_mailed_spearmen	all_units	false
			nor_maine_warriors	all_units	false
			nor_miles	all_units	false
			nor_scout_cavalry	all_units	false
			nor_shield_wall	all_units	false
			nor_spearmen	all_units	false
			nor_swordsmen	all_units	false
			sco_alban_crossbowmen	all_units	false
			sco_alban_levy_javelinmen	all_units	false
			sco_alban_levy_spearmen	all_units	false
			sco_alban_spearmen	all_units	false
			sco_alban_warriors	all_units	false
			sco_catapult	all_units	false
			sco_cateran_axemen	all_units	false
			sco_cateran_levy	all_units	false
			sco_highland_archers	all_units	false
			sco_kings_blades	all_units	false
			sco_lowland_crossbowmen	all_units	false
			sco_lowland_raiders	all_units	false
			sco_mormaer_horsemen	all_units	false
			sco_royal_bodyguard	all_units	false
			sco_royal_cavalry	all_units	false
			sco_schiltron	all_units	false
			sco_sword_band	all_units	false
			sco_sword_warriors	all_units	false
			sco_wolf_hounds	all_units	false
			vik_archers	all_units	false
			vik_axe_freemen	all_units	false
			vik_axe_hirdmen	all_units	false
			vik_catapult	all_units	false
			vik_freemen	all_units	false
			vik_hearthguard	all_units	false
			vik_hunters	all_units	false
			vik_jomsvikings	all_units	false
			vik_long_axes	all_units	false
			vik_mailed_archers	all_units	false
			vik_mailed_hersir_axemen	all_units	false
			vik_mailed_hersir_swordsmen	all_units	false
			vik_raiders	all_units	false
			vik_royal_huskarls	all_units	false
			vik_scouts	all_units	false
			vik_shield_biters	all_units	false
			vik_skirmishers	all_units	false
			vik_spear_hersir	all_units	false
			vik_spear_hirdmen	all_units	false
			vik_sword_hersir	all_units	false
			vik_sword_hirdmen	all_units	false
			vik_thrall_axemen	all_units	false
			vik_thrall_spearmen	all_units	false
			wel_archers	all_units	false
			wel_armoured_axemen	all_units	false
			wel_armoured_swordsmen	all_units	false
			wel_axemen	all_units	false
			wel_catapult	all_units	false
			wel_helwyr	all_units	false
			wel_horsemen	all_units	false
			wel_hunters	all_units	false
			wel_levy_axemen	all_units	false
			wel_levy_javelinmen	all_units	false
			wel_levy_spearmen	all_units	false
			wel_longbowmen	all_units	false
			wel_mailed_axemen	all_units	false
			wel_mailed_swordsmen	all_units	false
			wel_old_north_uchelwr	all_units	false
			wel_royal_spearmen	all_units	false
			wel_royal_teulu	all_units	false
			wel_royal_uchelwr	all_units	false
			wel_scout_horsemen	all_units	false
			wel_spearmen	all_units	false
			wel_swordsmen	all_units	false
			wel_teulu	all_units	false
			wel_teulu_spear_guard	all_units	false
			wel_uchelwr	all_units	false
			wel_valley_spearmen	all_units	false
