key	text	tooltip
#Loc PackedFile;1;text/db/unit_sets.loc		
unit_sets_display_name_infantry_units_missile	Missile Infantry	true
unit_sets_display_name_infantry_units_spears	Spear Infantry	true
unit_sets_display_name_infantry_units_melee	Melee Infantry	true
unit_sets_display_name_cavalry_units	Melee Cavalry	true
unit_sets_display_name_vik_infantry_unit_swords_all	Sword Infantry	true
unit_sets_display_name_vik_axe_infantry	Axe Infantry	true
unit_sets_display_name_vik_elite_spearmen	Elite Spear	true
unit_sets_display_name_melee_units_spears	Melee Spear	true
unit_sets_display_name_fyrdmen	Fyrd	true
unit_sets_display_name_fyrdmen_infantry	Fyrd Infantry	true
unit_sets_display_name_fyrdmen_skirmishers	Fyrd Skirmisher	true
unit_sets_display_name_thegns	Thegn	true
unit_sets_display_name_peasants	Peasant	true
unit_sets_display_name_foot_nobles	Noble Infantry	true
unit_sets_display_name_nobles	Noble	true
unit_sets_display_name_heroes	Hero	true
unit_sets_display_name_teulu	Teulu	true
unit_sets_display_name_penteulu	Pentuelu	true
unit_sets_display_name_knights	Knight	true
unit_sets_display_name_mounted_warriors	Mounted Warrior	true
unit_sets_display_name_scouts	Scout	true
unit_sets_display_name_siege_units	Siege	true
unit_sets_display_name_hunters	Hunter	true
unit_sets_display_name_sailors	Sailor	true
unit_sets_display_name_hirdmen	Hirdmen	true
unit_sets_display_name_vikingar	Vikingar	true
unit_sets_display_name_berserker	Berserker	true
unit_sets_display_name_spear_units	Spear	true
unit_sets_display_name_sword_units	Sword	true
unit_sets_display_name_axe_units	Axe	true
unit_sets_display_name_longbow_units	Longbow	true
unit_sets_display_name_bow_units	Bow	true
unit_sets_display_name_javelin_units	Skirmisher	true
unit_sets_display_name_crossbow_units	Crossbowmen	true
unit_sets_display_name_sling_units	Slinger	true
unit_sets_display_name_cavalry_units	Cavalry	true
unit_sets_display_name_marcher_units	Marcher	true
unit_sets_display_name_select_units	Select Fyrd	true
unit_sets_display_name_mercenaries	Mercenary	true
unit_sets_display_name_foreign_mercenaries	Foreign Mercenary	true
unit_sets_display_name_thralls	Thrall	true
unit_sets_display_name_irish_thralls	Irish Vassal	true
unit_sets_display_name_levy_noble_melee	Nobles	true
unit_sets_display_name_levy_noble_cavalry_or_ranged	Elite	true
unit_sets_display_name_levy_peasant_ranged	Light Levy	true
unit_sets_display_name_levy_peasant_melee	Peasant Levy	true
unit_sets_display_name_sea_captain	Sea Captain	false
unit_sets_display_name_sea_king	Saekonungr	false
unit_sets_display_name_sea_king	Saekonungr	false
unit_sets_display_name_cavalry_units_except_heroes	Cavalry (except Heroes)	false
unit_sets_display_name_taeog	Taeog	false
