id	incident_key	option_key	value	target
#cdir_events_incident_option_junctions_tables;1;db/cdir_events_incident_option_junctions_tables/df_gnoblar_snacks				
416901	df_gnoblar_snacks_in_the_book	GEN_TARGET_FACTION		default
416902	df_gnoblar_snacks_stomache_ache_skaven	GEN_TARGET_MILITARY_FORCE		default
416903	df_gnoblar_snacks_stomache_ache_undead	GEN_TARGET_MILITARY_FORCE		default
416904	df_gnoblar_snacks_stomache_ache_nurgle	GEN_TARGET_MILITARY_FORCE		default
416905	df_gnoblar_snacks_alcohol_content	GEN_TARGET_MILITARY_FORCE		default
416906	df_gnoblar_snacks_disgusting_food	GEN_TARGET_MILITARY_FORCE		default
416907	df_gnoblar_snacks_horse_meat	GEN_TARGET_MILITARY_FORCE		default
416908	df_gnoblar_snacks_fearful_gnoblars	GEN_TARGET_MILITARY_FORCE		default
416909	df_gnoblar_snacks_in_the_book	VAR_CHANCE	100	default
416910	df_gnoblar_snacks_stomache_ache_skaven	VAR_CHANCE	100	default
416911	df_gnoblar_snacks_stomache_ache_undead	VAR_CHANCE	100	default
416912	df_gnoblar_snacks_stomache_ache_nurgle	VAR_CHANCE	100	default
416913	df_gnoblar_snacks_alcohol_content	VAR_CHANCE	100	default
416914	df_gnoblar_snacks_disgusting_food	VAR_CHANCE	100	default
416915	df_gnoblar_snacks_horse_meat	VAR_CHANCE	100	default
416916	df_gnoblar_snacks_fearful_gnoblars	VAR_CHANCE	100	default
