character_skill_key	effect_key	level	effect_scope	value
#character_skill_level_to_effects_junctions_tables;1;db/character_skill_level_to_effects_junctions_tables/a_lightning_strike_no				
wh2_dlc14_skill_black_Ark_lightning_strike	wh_main_effect_conquest_enable_night_battles	3	character_to_character_own	0.0
wh_dlc05_skill_wef_general_campaign_lightning_strike	wh_main_effect_conquest_enable_night_battles	3	character_to_character_own	0.0
wh_main_skill_all_lord_campaign_lightning_strike	wh_main_effect_conquest_enable_night_battles	3	character_to_character_own	0.0
wh_pro01_skill_dwf_lord_unique_grombrindal_lightning_strike	wh_main_effect_conquest_enable_night_battles	3	character_to_character_own	0.0
wh2_dlc14_skill_black_Ark_lightning_strike	wh3_main_effect_opposing_reinforcement_time_percentage_mod	1	general_to_force_own_unseen	50.0
wh2_dlc14_skill_black_Ark_lightning_strike	wh3_main_effect_opposing_reinforcement_time_percentage_mod	2	general_to_force_own_unseen	75.0
wh2_dlc14_skill_black_Ark_lightning_strike	wh3_main_effect_opposing_reinforcement_time_percentage_mod	3	general_to_force_own_unseen	100.0
wh_dlc05_skill_wef_general_campaign_lightning_strike	wh3_main_effect_opposing_reinforcement_time_percentage_mod	1	general_to_force_own_unseen	50.0
wh_dlc05_skill_wef_general_campaign_lightning_strike	wh3_main_effect_opposing_reinforcement_time_percentage_mod	2	general_to_force_own_unseen	75.0
wh_dlc05_skill_wef_general_campaign_lightning_strike	wh3_main_effect_opposing_reinforcement_time_percentage_mod	3	general_to_force_own_unseen	100.0
wh_main_skill_all_lord_campaign_lightning_strike	wh3_main_effect_opposing_reinforcement_time_percentage_mod	1	general_to_force_own_unseen	50.0
wh_main_skill_all_lord_campaign_lightning_strike	wh3_main_effect_opposing_reinforcement_time_percentage_mod	2	general_to_force_own_unseen	75.0
wh_main_skill_all_lord_campaign_lightning_strike	wh3_main_effect_opposing_reinforcement_time_percentage_mod	3	general_to_force_own_unseen	100.0
wh_pro01_skill_dwf_lord_unique_grombrindal_lightning_strike	wh3_main_effect_opposing_reinforcement_time_percentage_mod	1	general_to_force_own_unseen	50.0
wh_pro01_skill_dwf_lord_unique_grombrindal_lightning_strike	wh3_main_effect_opposing_reinforcement_time_percentage_mod	2	general_to_force_own_unseen	75.0
wh_pro01_skill_dwf_lord_unique_grombrindal_lightning_strike	wh3_main_effect_opposing_reinforcement_time_percentage_mod	3	general_to_force_own_unseen	100.0
