key	generate	localised_description	localised_title	ui_image	prioritized	event_category	sound_popup_override	sound_click_override	override_icon	is_large_dilemma
#dilemmas_tables;3;db/dilemmas_tables/df_rogue										
rogue_blank_dilemma	false			faction	true	Event				true
rogue_start_all_dae	false			faction	true	Event				true
rogue_start_kho_vs_sla	false			faction	true	Event				true
rogue_start_tze_vs_kho	false			faction	true	Event				true
rogue_start_sla_vs_nur	false			faction	true	Event				true
rogue_start_nur_vs_tze	false			faction	true	Event				true
rogue_start_chs_quality_vs_dae_quantity	false			faction	true	Event				true
rogue_start_dae_quality_vs_chs_quantity	false			faction	true	Event				true
rogue_common_mortal_any_vs_dae_kho	false			faction	true	Event				true
rogue_common_mortal_any_vs_dae_sla	false			faction	true	Event				true
rogue_common_mortal_any_vs_dae_nur	false			faction	true	Event				true
rogue_common_mortal_any_vs_dae_tze	false			faction	true	Event				true
rogue_common_kho_vs_sla_deamons	false			faction	true	Event				true
rogue_common_tze_vs_kho_deamons	false			faction	true	Event				true
rogue_common_sla_vs_nur_deamons	false			faction	true	Event				true
rogue_common_nur_vs_tze_deamons	false			faction	true	Event				true
rogue_special_kho_vs_sla_deamons	false			faction	true	Event				true
rogue_special_tze_vs_kho_deamons	false			faction	true	Event				true
rogue_special_sla_vs_nur_deamons	false			faction	true	Event				true
rogue_special_nur_vs_tze_deamons	false			faction	true	Event				true
rogue_rare_kho_vs_sla_deamons	false			faction	true	Event				true
rogue_rare_tze_vs_kho_deamons	false			faction	true	Event				true
rogue_rare_sla_vs_nur_deamons	false			faction	true	Event				true
rogue_rare_nur_vs_tze_deamons	false			faction	true	Event				true
rogue_common_all_dae	false			faction	true	Event				true
rogue_special_all_dae	false			faction	true	Event				true
rogue_rare_all_dae	false			faction	true	Event				true
