key	text	tooltip
#Loc PackedFile;1;text/db/df_rogue_start_dilemmas.loc		
cdir_events_dilemma_choice_details_localised_choice_label_rogue_blank_dilemmaFIRST	PLACEHOLDER	true
cdir_events_dilemma_choice_details_localised_choice_label_rogue_blank_dilemmaSECOND	PLACEHOLDER	true
cdir_events_dilemma_choice_details_localised_choice_label_rogue_blank_dilemmaTHIRD	PLACEHOLDER	true
cdir_events_dilemma_choice_details_localised_choice_label_rogue_blank_dilemmaFOURTH	PLACEHOLDER	true
cdir_events_dilemma_choice_details_localised_choice_label_rogue_start_all_daeFIRST	PLACEHOLDER	true
cdir_events_dilemma_choice_details_localised_choice_label_rogue_start_all_daeSECOND	PLACEHOLDER	true
cdir_events_dilemma_choice_details_localised_choice_label_rogue_start_all_daeTHIRD	PLACEHOLDER	true
cdir_events_dilemma_choice_details_localised_choice_label_rogue_start_all_daeFOURTH	PLACEHOLDER	true
cdir_events_dilemma_choice_details_localised_choice_label_rogue_start_kho_vs_slaFIRST	PLACEHOLDER	true
cdir_events_dilemma_choice_details_localised_choice_label_rogue_start_kho_vs_slaSECOND	PLACEHOLDER	true
cdir_events_dilemma_choice_details_localised_choice_label_rogue_start_tze_vs_khoFIRST	PLACEHOLDER	true
cdir_events_dilemma_choice_details_localised_choice_label_rogue_start_tze_vs_khoSECOND	PLACEHOLDER	true
cdir_events_dilemma_choice_details_localised_choice_label_rogue_start_sla_vs_nurFIRST	PLACEHOLDER	true
cdir_events_dilemma_choice_details_localised_choice_label_rogue_start_sla_vs_nurSECOND	PLACEHOLDER	true
cdir_events_dilemma_choice_details_localised_choice_label_rogue_start_nur_vs_tzeFIRST	PLACEHOLDER	true
cdir_events_dilemma_choice_details_localised_choice_label_rogue_start_nur_vs_tzeSECOND	PLACEHOLDER	true
cdir_events_dilemma_choice_details_localised_choice_label_rogue_start_chs_quality_vs_dae_quantityFIRST	PLACEHOLDER	true
cdir_events_dilemma_choice_details_localised_choice_label_rogue_start_chs_quality_vs_dae_quantitySECOND	PLACEHOLDER	true
cdir_events_dilemma_choice_details_localised_choice_label_rogue_start_dae_quality_vs_chs_quantityFIRST	PLACEHOLDER	true
cdir_events_dilemma_choice_details_localised_choice_label_rogue_start_dae_quality_vs_chs_quantitySECOND	PLACEHOLDER	true
dilemmas_localised_title_rogue_blank_dilemma	PLACEHOLDER	true
dilemmas_localised_description_rogue_blank_dilemma	PLACEHOLDER	true
dilemmas_localised_title_rogue_start_all_dae	PLACEHOLDER	true
dilemmas_localised_description_rogue_start_all_dae	PLACEHOLDER	true
dilemmas_localised_title_rogue_start_kho_vs_sla	PLACEHOLDER	true
dilemmas_localised_description_rogue_start_kho_vs_sla	PLACEHOLDER	true
dilemmas_localised_title_rogue_start_tze_vs_kho	PLACEHOLDER	true
dilemmas_localised_description_rogue_start_tze_vs_kho	PLACEHOLDER	true
dilemmas_localised_title_rogue_start_sla_vs_nur	PLACEHOLDER	true
dilemmas_localised_description_rogue_start_sla_vs_nur	PLACEHOLDER	true
dilemmas_localised_title_rogue_start_nur_vs_tze	PLACEHOLDER	true
dilemmas_localised_description_rogue_start_nur_vs_tze	PLACEHOLDER	true
dilemmas_localised_title_rogue_start_chs_quality_vs_dae_quantity	PLACEHOLDER	true
dilemmas_localised_description_rogue_start_chs_quality_vs_dae_quantity	PLACEHOLDER	true
dilemmas_localised_title_rogue_start_dae_quality_vs_chs_quantity	PLACEHOLDER	true
dilemmas_localised_description_rogue_start_dae_quality_vs_chs_quantity	PLACEHOLDER	true
