key	text	tooltip
#Loc PackedFile;1;text/missing_locs.loc		
cdir_events_dilemma_choice_details_localised_choice_label_FIRSTrogue_blank_dilemma	PLACEHOLDER	true
cdir_events_dilemma_choice_details_localised_choice_title_FIRSTrogue_blank_dilemma	PLACEHOLDER	true
cdir_events_dilemma_choice_details_localised_choice_label_SECONDrogue_blank_dilemma	PLACEHOLDER	true
cdir_events_dilemma_choice_details_localised_choice_title_SECONDrogue_blank_dilemma	PLACEHOLDER	true
cdir_events_dilemma_choice_details_localised_choice_label_THIRDrogue_blank_dilemma	PLACEHOLDER	true
cdir_events_dilemma_choice_details_localised_choice_title_THIRDrogue_blank_dilemma	PLACEHOLDER	true
cdir_events_dilemma_choice_details_localised_choice_label_FOURTHrogue_blank_dilemma	PLACEHOLDER	true
cdir_events_dilemma_choice_details_localised_choice_title_FOURTHrogue_blank_dilemma	PLACEHOLDER	true
cdir_events_dilemma_choice_details_localised_choice_label_FIRSTrogue_start_all_dae	PLACEHOLDER	true
cdir_events_dilemma_choice_details_localised_choice_title_FIRSTrogue_start_all_dae	PLACEHOLDER	true
cdir_events_dilemma_choice_details_localised_choice_label_SECONDrogue_start_all_dae	PLACEHOLDER	true
cdir_events_dilemma_choice_details_localised_choice_title_SECONDrogue_start_all_dae	PLACEHOLDER	true
cdir_events_dilemma_choice_details_localised_choice_label_THIRDrogue_start_all_dae	PLACEHOLDER	true
cdir_events_dilemma_choice_details_localised_choice_title_THIRDrogue_start_all_dae	PLACEHOLDER	true
cdir_events_dilemma_choice_details_localised_choice_label_FOURTHrogue_start_all_dae	PLACEHOLDER	true
cdir_events_dilemma_choice_details_localised_choice_title_FOURTHrogue_start_all_dae	PLACEHOLDER	true
cdir_events_dilemma_choice_details_localised_choice_label_FIRSTrogue_start_kho_vs_sla	PLACEHOLDER	true
cdir_events_dilemma_choice_details_localised_choice_title_FIRSTrogue_start_kho_vs_sla	PLACEHOLDER	true
cdir_events_dilemma_choice_details_localised_choice_label_SECONDrogue_start_kho_vs_sla	PLACEHOLDER	true
cdir_events_dilemma_choice_details_localised_choice_title_SECONDrogue_start_kho_vs_sla	PLACEHOLDER	true
cdir_events_dilemma_choice_details_localised_choice_label_FIRSTrogue_start_tze_vs_kho	PLACEHOLDER	true
cdir_events_dilemma_choice_details_localised_choice_title_FIRSTrogue_start_tze_vs_kho	PLACEHOLDER	true
cdir_events_dilemma_choice_details_localised_choice_label_SECONDrogue_start_tze_vs_kho	PLACEHOLDER	true
cdir_events_dilemma_choice_details_localised_choice_title_SECONDrogue_start_tze_vs_kho	PLACEHOLDER	true
cdir_events_dilemma_choice_details_localised_choice_label_FIRSTrogue_start_sla_vs_nur	PLACEHOLDER	true
cdir_events_dilemma_choice_details_localised_choice_title_FIRSTrogue_start_sla_vs_nur	PLACEHOLDER	true
cdir_events_dilemma_choice_details_localised_choice_label_SECONDrogue_start_sla_vs_nur	PLACEHOLDER	true
cdir_events_dilemma_choice_details_localised_choice_title_SECONDrogue_start_sla_vs_nur	PLACEHOLDER	true
cdir_events_dilemma_choice_details_localised_choice_label_FIRSTrogue_start_nur_vs_tze	PLACEHOLDER	true
cdir_events_dilemma_choice_details_localised_choice_title_FIRSTrogue_start_nur_vs_tze	PLACEHOLDER	true
cdir_events_dilemma_choice_details_localised_choice_label_SECONDrogue_start_nur_vs_tze	PLACEHOLDER	true
cdir_events_dilemma_choice_details_localised_choice_title_SECONDrogue_start_nur_vs_tze	PLACEHOLDER	true
cdir_events_dilemma_choice_details_localised_choice_label_FIRSTrogue_start_chs_quality_vs_dae_quantity	PLACEHOLDER	true
cdir_events_dilemma_choice_details_localised_choice_title_FIRSTrogue_start_chs_quality_vs_dae_quantity	PLACEHOLDER	true
cdir_events_dilemma_choice_details_localised_choice_label_SECONDrogue_start_chs_quality_vs_dae_quantity	PLACEHOLDER	true
cdir_events_dilemma_choice_details_localised_choice_title_SECONDrogue_start_chs_quality_vs_dae_quantity	PLACEHOLDER	true
cdir_events_dilemma_choice_details_localised_choice_label_FIRSTrogue_start_dae_quality_vs_chs_quantity	PLACEHOLDER	true
cdir_events_dilemma_choice_details_localised_choice_title_FIRSTrogue_start_dae_quality_vs_chs_quantity	PLACEHOLDER	true
cdir_events_dilemma_choice_details_localised_choice_label_SECONDrogue_start_dae_quality_vs_chs_quantity	PLACEHOLDER	true
cdir_events_dilemma_choice_details_localised_choice_title_SECONDrogue_start_dae_quality_vs_chs_quantity	PLACEHOLDER	true
dilemmas_localised_title_rogue_blank_dilemma	PLACEHOLDER	true
dilemmas_localised_description_rogue_blank_dilemma	PLACEHOLDER	true
dilemmas_localised_title_rogue_start_all_dae	PLACEHOLDER	true
dilemmas_localised_description_rogue_start_all_dae	PLACEHOLDER	true
dilemmas_localised_title_rogue_start_kho_vs_sla	PLACEHOLDER	true
dilemmas_localised_description_rogue_start_kho_vs_sla	PLACEHOLDER	true
dilemmas_localised_title_rogue_start_tze_vs_kho	PLACEHOLDER	true
dilemmas_localised_description_rogue_start_tze_vs_kho	PLACEHOLDER	true
dilemmas_localised_title_rogue_start_sla_vs_nur	PLACEHOLDER	true
dilemmas_localised_description_rogue_start_sla_vs_nur	PLACEHOLDER	true
dilemmas_localised_title_rogue_start_nur_vs_tze	PLACEHOLDER	true
dilemmas_localised_description_rogue_start_nur_vs_tze	PLACEHOLDER	true
dilemmas_localised_title_rogue_start_chs_quality_vs_dae_quantity	PLACEHOLDER	true
