unit	unit_group
#unit_to_unit_group_junctions_tables;0;db/unit_to_unit_group_junctions_tables/!!!bret_boned	
wh_dlc07_brt_cav_knights_errant_0	k_errant_upgrade
wh_main_brt_cav_knights_of_the_realm	k_realm_upgrade
wh_dlc07_brt_cav_questing_knights_0	k_questing_upgrade
wh_main_brt_cav_grail_knights	k_grail_upgrade
wh_dlc07_brt_cav_grail_guardians_0	k_grail_upgrade
wh_main_brt_cav_pegasus_knights	k_pegasus_upgrade
wh_dlc07_brt_cav_royal_pegasus_knights_0	k_roypegasus_upgrade
wh_dlc07_brt_cav_royal_hippogryph_knights_0	k_royhippo_upgrade
wh_dlc07_brt_inf_grail_reliquae_0	k_relic_upgrade
k_vow_e_errants	k_vow_e_errants_upgrade
