upgrade_key	base_unit_group	target_unit_group	resource_cost	required_rank	subtracted_rank
#unit_upgrade_to_unit_groups_tables;3;db/unit_upgrade_to_unit_groups_tables/!!!bret_boned					
k_errant_to_k_realm	k_errant_upgrade	k_realm_upgrade	wh3_dlc20_chs_upgrade_cost_weapon_swap	0	0
k_realm_to_k_questing	k_realm_upgrade	k_questing_upgrade	wh3_dlc20_chs_upgrade_cost_weapon_swap	0	0
k_realm_to_k_pegasus	k_realm_upgrade	k_pegasus_upgrade	wh3_dlc20_chs_upgrade_cost_weapon_swap	0	0
k_questing_to_k_grail	k_questing_upgrade	k_grail_upgrade	wh3_dlc20_chs_upgrade_cost_weapon_swap	0	0
k_pegasus_to_k_roypegasus	k_pegasus_upgrade	k_roypegasus_upgrade	wh3_dlc20_chs_upgrade_cost_weapon_swap	0	0
k_roypegasus_to_k_royhippo	k_roypegasus_upgrade	k_royhippo_upgrade	wh3_dlc20_chs_upgrade_cost_weapon_swap	0	0
k_grail_to_k_self	k_grail_upgrade	k_grail_upgrade	wh3_dlc20_chs_upgrade_cost_weapon_swap	0	0
k_grail_to_k_relic	k_grail_upgrade	k_relic_upgrade	wh3_dlc20_chs_upgrade_cost_weapon_swap	0	0
k_errant_to_empathy	k_errant_upgrade	k_vow_e_errants_upgrade	wh3_dlc20_chs_upgrade_cost_weapon_swap	0	0
k_empathy_to_errant	k_vow_e_errants_upgrade	k_errant_upgrade	wh3_dlc20_chs_upgrade_cost_weapon_swap	0	0
