campaign_difficulty_handicap	human	effect	optional_campaign_key	effect_scope	effect_value
#campaign_difficulty_handicap_effects_tables;0;db/campaign_difficulty_handicap_effects_tables/SFO_campaign					
-1	false	wh_main_effect_public_order_difficulty_level		faction_to_province_own	0.0
0	false	wh_main_effect_public_order_difficulty_level		faction_to_province_own	0.0
1	false	wh_main_effect_public_order_difficulty_level		faction_to_province_own	0.0
2	false	wh_main_effect_public_order_difficulty_level		faction_to_province_own	0.0
3	false	wh_main_effect_public_order_difficulty_level		faction_to_province_own	2.0
-1	false	wh_main_effect_public_order_tax_rate		faction_to_province_own	2.0
0	false	wh_main_effect_public_order_tax_rate		faction_to_province_own	2.0
1	false	wh_main_effect_public_order_tax_rate		faction_to_province_own	2.0
2	false	wh_main_effect_public_order_tax_rate		faction_to_province_own	2.0
3	false	wh_main_effect_public_order_tax_rate		faction_to_province_own	2.0
1	true	wh_main_effect_public_order_difficulty_level		faction_to_province_own	6.0
0	true	wh_main_effect_public_order_difficulty_level		faction_to_province_own	4.0
-1	true	wh_main_effect_public_order_difficulty_level		faction_to_province_own	2.0
-2	true	wh_main_effect_public_order_difficulty_level		faction_to_province_own	0.0
-3	true	wh_main_effect_public_order_difficulty_level		faction_to_province_own	-2.0
1	true	wh3_main_effect_province_growth_level_of_control		faction_to_province_own	50.0
0	true	wh3_main_effect_province_growth_level_of_control		faction_to_province_own	50.0
-1	true	wh3_main_effect_province_growth_level_of_control		faction_to_province_own	50.0
-2	true	wh3_main_effect_province_growth_level_of_control		faction_to_province_own	50.0
-3	true	wh3_main_effect_province_growth_level_of_control		faction_to_province_own	50.0
-1	false	wh3_main_effect_province_growth_level_of_control		faction_to_province_own	50.0
0	false	wh3_main_effect_province_growth_level_of_control		faction_to_province_own	50.0
1	false	wh3_main_effect_province_growth_level_of_control		faction_to_province_own	50.0
2	false	wh3_main_effect_province_growth_level_of_control		faction_to_province_own	50.0
3	false	wh3_main_effect_province_growth_level_of_control		faction_to_province_own	50.0
1	true	wh_main_effect_agent_field_line_of_sight_mod	wh3_main_prologue	faction_to_character_own_unseen	50.0
-1	true	wh_main_effect_agent_field_line_of_sight_mod	wh3_main_chaos	faction_to_character_own_unseen	50.0
0	true	wh_main_effect_agent_field_line_of_sight_mod	wh3_main_chaos	faction_to_character_own_unseen	50.0
1	true	wh_main_effect_agent_field_line_of_sight_mod	wh3_main_chaos	faction_to_character_own_unseen	50.0
2	true	wh_main_effect_agent_field_line_of_sight_mod	wh3_main_chaos	faction_to_character_own_unseen	50.0
3	true	wh_main_effect_agent_field_line_of_sight_mod	wh3_main_chaos	faction_to_character_own_unseen	50.0
-1	true	wh_main_effect_agent_field_line_of_sight_mod	wh3_main_combi	faction_to_character_own_unseen	50.0
0	true	wh_main_effect_agent_field_line_of_sight_mod	wh3_main_combi	faction_to_character_own_unseen	50.0
1	true	wh_main_effect_agent_field_line_of_sight_mod	wh3_main_combi	faction_to_character_own_unseen	50.0
2	true	wh_main_effect_agent_field_line_of_sight_mod	wh3_main_combi	faction_to_character_own_unseen	50.0
3	true	wh_main_effect_agent_field_line_of_sight_mod	wh3_main_combi	faction_to_character_own_unseen	50.0
