culture	populace_happiness	effect_bundle
#campaign_public_order_populace_effects_tables;0;db/campaign_public_order_populace_effects_tables/data__		
wh2_main_def_dark_elves	FACTION_PROVINCE_POPULACE_HAPPINESS_CONTENT	def_public_order_5_content
wh2_main_def_dark_elves	FACTION_PROVINCE_POPULACE_HAPPINESS_HAPPY	def_public_order_6_happy
wh2_main_def_dark_elves	FACTION_PROVINCE_POPULACE_HAPPINESS_INDIFFERENT	def_public_order_4_indifferent
wh2_main_def_dark_elves	FACTION_PROVINCE_POPULACE_HAPPINESS_JUBILANT	def_public_order_7_jubilant
wh2_main_def_dark_elves	FACTION_PROVINCE_POPULACE_HAPPINESS_OUTRAGED	def_public_order_1_outraged
wh2_main_def_dark_elves	FACTION_PROVINCE_POPULACE_HAPPINESS_TROUBLED	def_public_order_3_troubled
wh2_main_def_dark_elves	FACTION_PROVINCE_POPULACE_HAPPINESS_UNHAPPY	def_public_order_2_unhappy
wh2_main_lzd_lizardmen	FACTION_PROVINCE_POPULACE_HAPPINESS_CONTENT	lzd_public_order_5_content
wh2_main_lzd_lizardmen	FACTION_PROVINCE_POPULACE_HAPPINESS_HAPPY	lzd_public_order_6_happy
wh2_main_lzd_lizardmen	FACTION_PROVINCE_POPULACE_HAPPINESS_INDIFFERENT	lzd_public_order_4_indifferent
wh2_main_lzd_lizardmen	FACTION_PROVINCE_POPULACE_HAPPINESS_JUBILANT	lzd_public_order_7_jubilant
wh2_main_lzd_lizardmen	FACTION_PROVINCE_POPULACE_HAPPINESS_OUTRAGED	lzd_public_order_1_outraged
wh2_main_lzd_lizardmen	FACTION_PROVINCE_POPULACE_HAPPINESS_TROUBLED	lzd_public_order_3_troubled
wh2_main_lzd_lizardmen	FACTION_PROVINCE_POPULACE_HAPPINESS_UNHAPPY	lzd_public_order_2_unhappy
wh2_main_skv_skaven	FACTION_PROVINCE_POPULACE_HAPPINESS_CONTENT	skv_public_order_5_content
wh2_main_skv_skaven	FACTION_PROVINCE_POPULACE_HAPPINESS_HAPPY	skv_public_order_6_happy
wh2_main_skv_skaven	FACTION_PROVINCE_POPULACE_HAPPINESS_INDIFFERENT	skv_public_order_4_indifferent
wh2_main_skv_skaven	FACTION_PROVINCE_POPULACE_HAPPINESS_JUBILANT	skv_public_order_7_jubilant
wh2_main_skv_skaven	FACTION_PROVINCE_POPULACE_HAPPINESS_OUTRAGED	skv_public_order_1_outraged
wh2_main_skv_skaven	FACTION_PROVINCE_POPULACE_HAPPINESS_TROUBLED	skv_public_order_3_troubled
wh2_main_skv_skaven	FACTION_PROVINCE_POPULACE_HAPPINESS_UNHAPPY	skv_public_order_2_unhappy
wh_dlc05_wef_wood_elves	FACTION_PROVINCE_POPULACE_HAPPINESS_CONTENT	wef_public_order_5_content
wh_dlc05_wef_wood_elves	FACTION_PROVINCE_POPULACE_HAPPINESS_HAPPY	wef_public_order_6_happy
wh_dlc05_wef_wood_elves	FACTION_PROVINCE_POPULACE_HAPPINESS_INDIFFERENT	wef_public_order_4_indifferent
wh_dlc05_wef_wood_elves	FACTION_PROVINCE_POPULACE_HAPPINESS_JUBILANT	wef_public_order_7_jubilant
wh_dlc05_wef_wood_elves	FACTION_PROVINCE_POPULACE_HAPPINESS_OUTRAGED	wef_public_order_1_outraged
wh_dlc05_wef_wood_elves	FACTION_PROVINCE_POPULACE_HAPPINESS_TROUBLED	wef_public_order_3_troubled
wh_dlc05_wef_wood_elves	FACTION_PROVINCE_POPULACE_HAPPINESS_UNHAPPY	wef_public_order_2_unhappy
wh_main_emp_empire	FACTION_PROVINCE_POPULACE_HAPPINESS_CONTENT	emp_public_order_5_content
wh_main_emp_empire	FACTION_PROVINCE_POPULACE_HAPPINESS_HAPPY	emp_public_order_6_happy
wh_main_emp_empire	FACTION_PROVINCE_POPULACE_HAPPINESS_INDIFFERENT	emp_public_order_4_indifferent
wh_main_emp_empire	FACTION_PROVINCE_POPULACE_HAPPINESS_JUBILANT	emp_public_order_7_jubilant
wh_main_emp_empire	FACTION_PROVINCE_POPULACE_HAPPINESS_OUTRAGED	emp_public_order_1_outraged
wh_main_emp_empire	FACTION_PROVINCE_POPULACE_HAPPINESS_TROUBLED	emp_public_order_3_troubled
wh_main_emp_empire	FACTION_PROVINCE_POPULACE_HAPPINESS_UNHAPPY	emp_public_order_2_unhappy
wh_main_brt_bretonnia	FACTION_PROVINCE_POPULACE_HAPPINESS_CONTENT	brt_public_order_5_content
wh_main_brt_bretonnia	FACTION_PROVINCE_POPULACE_HAPPINESS_HAPPY	brt_public_order_6_happy
