variable_key	value
#campaign_variables_tables;0;db/campaign_variables_tables/SFO_campaign	
campaign_hitpoints_unit_besieged_attrition_min_strength_percent	0.15
max_siege_equipment	10.0
siege_attrition_resistance_turns_base	0.0
enslave_captives_hitpoints_replenished_per_man_captured	30.0
enslave_captives_maximum_replenishment_difference_scale	2.0
enslave_captives_maximum_replenishment_percentage_ai_vs_easy	15.0
enslave_captives_maximum_replenishment_percentage_ai_vs_hard	15.0
enslave_captives_maximum_replenishment_percentage_ai_vs_legendary	15.0
enslave_captives_maximum_replenishment_percentage_ai_vs_normal	15.0
enslave_captives_maximum_replenishment_percentage_ai_vs_very_hard	15.0
enslave_captives_maximum_replenishment_percentage_human_easy	15.0
enslave_captives_maximum_replenishment_percentage_human_hard	15.0
enslave_captives_maximum_replenishment_percentage_human_legendary	15.0
enslave_captives_maximum_replenishment_percentage_human_normal	15.0
enslave_captives_maximum_replenishment_percentage_human_very_hard	15.0
enslave_captives_minimum_replenishment_percentage_ai_vs_easy	5.0
enslave_captives_minimum_replenishment_percentage_ai_vs_hard	5.0
enslave_captives_minimum_replenishment_percentage_ai_vs_legendary	5.0
enslave_captives_minimum_replenishment_percentage_ai_vs_normal	5.0
enslave_captives_minimum_replenishment_percentage_ai_vs_very_hard	5.0
enslave_captives_minimum_replenishment_percentage_human_easy	5.0
enslave_captives_minimum_replenishment_percentage_human_hard	5.0
enslave_captives_minimum_replenishment_percentage_human_legendary	5.0
enslave_captives_minimum_replenishment_percentage_human_normal	5.0
enslave_captives_minimum_replenishment_percentage_human_very_hard	5.0
enslave_captives_replenishment_percentage_ai_vs_easy	100.0
enslave_captives_replenishment_percentage_ai_vs_hard	100.0
enslave_captives_replenishment_percentage_ai_vs_legendary	100.0
enslave_captives_replenishment_percentage_ai_vs_normal	100.0
enslave_captives_replenishment_percentage_ai_vs_very_hard	100.0
enslave_captives_replenishment_percentage_human_easy	100.0
enslave_captives_replenishment_percentage_human_hard	100.0
enslave_captives_replenishment_percentage_human_legendary	100.0
enslave_captives_replenishment_percentage_human_normal	100.0
enslave_captives_replenishment_percentage_human_very_hard	100.0
enslave_captives_slaves_gained_multiplier	1.0
raiding_slaves_gained_from_gold_multiplier	0.5
province_slaves_base_slave_reduction_per_turn_multiplier_of_maximum	0.2
occupation_decision_sack_public_order_reduction	15.0
raid_faction_province_public_order_penalty	-8.0
raid_settlement_gdp_income_percentage	40.0
raid_settlement_trade_income_percentage	20.0
settlement_looting_publicorder_reduction	15.0
settlement_vandalisation_chance	70.0
raid_faction_province_development_penalty	-20.0
raid_faction_diplomatic_penalty	20.0
raid_settlement_base_value	5.0
raid_settlement_building_value_exponent	0.7
raid_settlement_per_army_value_multiplier	0.5
raid_trade_route_value_percentage	15.0
rebel_army_additional_units_per_turn_size	3.0
rebel_budget_factor_army	0.25
rebel_budget_factor_garrison	0.5
rebel_budget_factor_settlement_buildings	250.0
rebel_budget_factor_settlement_slot	500.0
rebel_budget_factor_unhappiness	0.0
rebel_initial_army_size	10.0
background_resource_supply	25000.0
trade_route_value_combined_gdp_proportion	0.75
military_force_morale_battle_won	10.0
military_force_morale_decimated	25.0
replenishment_base_land	5.0
replenishment_base_sea	5.0
replenishment_bonus_land_can_recruit_unit_owned_region	0.0
replenishment_bonus_land_garrisoned_in_owned_province	10.0
replenishment_bonus_land_garrisoned_in_shared_province	5.0
replenishment_bonus_land_owned_region	0.0
replenishment_bonus_sea_can_recruit_unit_owned_sea_region	5.0
replenishment_bonus_sea_garrisoned_in_owned_sea_region	5.0
replenishment_bonus_sea_garrisoned_in_shared_sea_region	5.0
replenishment_bonus_sea_owned_sea_region	5.0
character_convalescence_time_base	5.0
unit_minimum_strength	0.1
province_public_order_rebellion_defeated_region_not_owned_not_spawned_crackdown	2.0
province_public_order_rebellion_defeated_region_not_owned_spawned_crackdown	4.0
province_public_order_rebellion_defeated_region_owned_not_spawned_crackdown	6.0
province_public_order_rebellion_defeated_region_owned_spawned_crackdown	8.0
faction_gdp_other	5000.0
faction_gdp_other_minor	3000.0
military_force_development_max_development_points	99.0
province_slaves_base_public_order_constribution_for_maximum_slaves	-10.0
occupation_decision_colonise_cost	3000.0
occupation_decision_colonise_soldiers_percentage_lost	25.0
province_slaves_proportion_of_faction_province_slaves_to_lose_for_rebellion	0.25
horde_host_spawn_development_point_cost_current_host_mod	1.0
horde_host_spawn_development_point_cost_base	5.0
public_order_happiness_per_turn_in_rebellion	20.0
diplomacy_refusing_to_join_vassal_in_defensive_war_breaks_treaty	0.0
diplomacy_refusing_to_join_vassal_in_defensive_war_declares_war	0.0
diplomacy_refusing_to_join_vassal_in_offensive_war_breaks_treaty	0.0
diplomacy_refusing_to_join_vassal_in_offensive_war_declares_war	0.0
diplomacy_vassals_must_be_invited_into_defensive_wars	0.0
diplomacy_vassals_must_be_invited_into_offensive_wars	0.0
diplomacy_refusing_to_join_master_in_defensive_war_breaks_treaty	0.0
diplomacy_refusing_to_join_master_in_defensive_war_declares_war	0.0
diplomacy_refusing_to_join_master_in_offensive_war_breaks_treaty	0.0
diplomacy_refusing_to_join_master_in_offensive_war_declares_war	0.0
diplomacy_masters_must_be_invited_into_defensive_wars	0.0
diplomacy_masters_must_be_invited_into_offensive_wars	0.0
bonus_start_of_campaign_income_for_humans_on_easy_difficulty	5000.0
bonus_start_of_campaign_income_for_humans_on_normal_difficulty	2500.0
province_development_threshold_calc_points_multiplier	200.0
