variable_key	campaign_name	optional_difficulty_level	optional_campaign_type	value
#campaigns_campaign_variables_junctions_tables;2;db/campaigns_campaign_variables_junctions_tables/SFO_campaign				
faction_gdp_other_minor	wh3_main_chaos	1		3000.0
faction_gdp_other_minor	wh3_main_chaos	0		3000.0
faction_gdp_other_minor	wh3_main_chaos	-1		3000.0
faction_gdp_other_minor	wh3_main_chaos	-2		3000.0
faction_gdp_other_minor	wh3_main_chaos	-3		3000.0
faction_gdp_other_minor	wh3_main_prologue	1		3000.0
faction_gdp_other_minor	wh3_main_prologue	0		3000.0
faction_gdp_other_minor	wh3_main_prologue	-1		3000.0
faction_gdp_other_minor	wh3_main_prologue	-2		3000.0
faction_gdp_other_minor	wh3_main_prologue	-3		3000.0
faction_gdp_other	wh3_main_chaos	1		5000.0
faction_gdp_other	wh3_main_chaos	0		5000.0
faction_gdp_other	wh3_main_chaos	-1		5000.0
faction_gdp_other	wh3_main_chaos	-2		5000.0
faction_gdp_other	wh3_main_chaos	-3		5000.0
faction_gdp_other	wh3_main_prologue	1		3000.0
faction_gdp_other	wh3_main_prologue	0		3000.0
faction_gdp_other	wh3_main_prologue	-1		3000.0
faction_gdp_other	wh3_main_prologue	-2		3000.0
faction_gdp_other	wh3_main_prologue	-3		3000.0
province_development_threshold_calc_points_multiplier	wh3_main_combi	1		200.0
province_development_threshold_calc_points_multiplier	wh3_main_combi	0		200.0
province_development_threshold_calc_points_multiplier	wh3_main_combi	-1		200.0
province_development_threshold_calc_points_multiplier	wh3_main_combi	-2		200.0
province_development_threshold_calc_points_multiplier	wh3_main_combi	-3		200.0
rebel_army_additional_units_per_turn_size	wh3_main_combi	1		4.0
rebel_army_additional_units_per_turn_size	wh3_main_combi	0		4.0
rebel_army_additional_units_per_turn_size	wh3_main_combi	-1		4.0
rebel_army_additional_units_per_turn_size	wh3_main_combi	-2		4.0
rebel_army_additional_units_per_turn_size	wh3_main_combi	-3		4.0
rebel_initial_army_size	wh3_main_combi	1		12.0
rebel_initial_army_size	wh3_main_combi	0		12.0
rebel_initial_army_size	wh3_main_combi	-1		12.0
rebel_initial_army_size	wh3_main_combi	-2		12.0
rebel_initial_army_size	wh3_main_combi	-3		12.0
province_development_threshold_calc_points_multiplier	wh3_main_chaos	1		200.0
province_development_threshold_calc_points_multiplier	wh3_main_chaos	0		200.0
province_development_threshold_calc_points_multiplier	wh3_main_chaos	-1		200.0
province_development_threshold_calc_points_multiplier	wh3_main_chaos	-2		200.0
province_development_threshold_calc_points_multiplier	wh3_main_chaos	-3		200.0
rebel_army_additional_units_per_turn_size	wh3_main_chaos	1		4.0
rebel_army_additional_units_per_turn_size	wh3_main_chaos	0		4.0
rebel_army_additional_units_per_turn_size	wh3_main_chaos	-1		4.0
rebel_army_additional_units_per_turn_size	wh3_main_chaos	-2		4.0
rebel_army_additional_units_per_turn_size	wh3_main_chaos	-3		4.0
rebel_initial_army_size	wh3_main_chaos	1		12.0
rebel_initial_army_size	wh3_main_chaos	0		12.0
rebel_initial_army_size	wh3_main_chaos	-1		12.0
rebel_initial_army_size	wh3_main_chaos	-2		12.0
rebel_initial_army_size	wh3_main_chaos	-3		12.0
