key	localised_description	localised_title	bundle_target	priority	ui_icon	is_global_effect	show_in_3d_space	owner_only
#effect_bundles_tables;4;db/effect_bundles_tables/PO_data								
def_public_order_1_outraged	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: -75 to -100)	Weak	province	0	public_order_outraged.png	true	false	true
def_public_order_2_unhappy	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: -50 to -75)	Wavering	province	0	public_order_unhappy.png	true	false	true
def_public_order_3_troubled	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: -25 to -50)	Insecure	province	0	public_order_troubled.png	true	false	true
def_public_order_4_indifferent	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: -25 to 25)	Steady	province	0	public_order_indifferent.png	true	false	true
def_public_order_5_content	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: 25 to 50)	Tightened	province	0	public_order_content.png	true	false	true
def_public_order_6_happy	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: 50 to 75)	Strong	province	0	public_order_happy.png	true	false	true
def_public_order_7_jubilant	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: 75 to 100)	Absolute	province	0	public_order_jubilant.png	true	false	true
lzd_public_order_1_outraged	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: -75 to -100)	Weak	province	0	public_order_outraged.png	true	false	true
lzd_public_order_2_unhappy	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: -50 to -75)	Wavering	province	0	public_order_unhappy.png	true	false	true
lzd_public_order_3_troubled	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: -25 to -50)	Insecure	province	0	public_order_troubled.png	true	false	true
lzd_public_order_4_indifferent	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: -25 to 25)	Steady	province	0	public_order_indifferent.png	true	false	true
