effect_bundle_key	effect_key	effect_scope	value	advancement_stage
#effect_bundles_to_effects_junctions_tables;3;db/effect_bundles_to_effects_junctions_tables/PO_data				
def_public_order_1_outraged	wh2_main_effect_slave_decline_modifier	province_to_province_own	15.0	start_turn_completed
def_public_order_2_unhappy	wh2_main_effect_slave_decline_modifier	province_to_province_own	10.0	start_turn_completed
def_public_order_3_troubled	wh2_main_effect_slave_decline_modifier	province_to_province_own	5.0	start_turn_completed
def_public_order_4_indifferent	wh2_main_effect_slave_decline_modifier	province_to_province_own	0.0	start_turn_completed
def_public_order_5_content	wh2_main_effect_slave_decline_modifier	province_to_province_own	-5.0	start_turn_completed
def_public_order_6_happy	wh2_main_effect_slave_decline_modifier	province_to_province_own	-10.0	start_turn_completed
def_public_order_7_jubilant	wh2_main_effect_slave_decline_modifier	province_to_province_own	-15.0	start_turn_completed
lzd_public_order_1_outraged	wh_tax_gdp_all	province_to_region_own_provincewide_unseen	-30.0	start_turn_completed
lzd_public_order_2_unhappy	wh_tax_gdp_all	province_to_region_own_provincewide_unseen	-20.0	start_turn_completed
lzd_public_order_3_troubled	wh_tax_gdp_all	province_to_region_own_provincewide_unseen	-10.0	start_turn_completed
lzd_public_order_4_indifferent	wh_tax_gdp_all	province_to_region_own_provincewide_unseen	0.0	start_turn_completed
lzd_public_order_5_content	wh_tax_gdp_all	province_to_region_own_provincewide_unseen	5.0	start_turn_completed
lzd_public_order_6_happy	wh_tax_gdp_all	province_to_region_own_provincewide_unseen	10.0	start_turn_completed
lzd_public_order_7_jubilant	wh_tax_gdp_all	province_to_region_own_provincewide_unseen	15.0	start_turn_completed
lzd_public_order_1_outraged	wh_main_effect_technology_research_points	faction_to_faction_own_unseen	-20.0	start_turn_completed
lzd_public_order_2_unhappy	wh_main_effect_technology_research_points	faction_to_faction_own_unseen	-10.0	start_turn_completed
lzd_public_order_3_troubled	wh_main_effect_technology_research_points	faction_to_faction_own_unseen	-5.0	start_turn_completed
lzd_public_order_4_indifferent	wh_main_effect_technology_research_points	faction_to_faction_own_unseen	0.0	start_turn_completed
lzd_public_order_5_content	wh_main_effect_technology_research_points	faction_to_faction_own_unseen	3.0	start_turn_completed
lzd_public_order_6_happy	wh_main_effect_technology_research_points	faction_to_faction_own_unseen	6.0	start_turn_completed
