effect_bundle_key	effect_key	effect_scope	value	advancement_stage
#effect_bundles_to_effects_junctions_tables;3;db/effect_bundles_to_effects_junctions_tables/SFO_faction				
wh2_dlc09_faction_trait_tomb_kings	wh2_dlc09_effect_agent_enable_recruitment_champion_tmb_hidden	faction_to_province_own_unseen	1.0	start_turn_completed
wh2_dlc09_faction_trait_tomb_kings	wh2_dlc09_effect_agent_enable_recruitment_engineer_tmb_hidden	faction_to_province_own_unseen	1.0	start_turn_completed
wh2_dlc09_faction_trait_tomb_kings	wh2_dlc09_effect_agent_enable_recruitment_wizard_tmb_hidden	faction_to_province_own_unseen	1.0	start_turn_completed
wh2_dlc09_faction_trait_tomb_kings	wh2_dlc09_effect_increase_army_capacity_hidden	faction_to_faction_own_unseen	0.0	start_turn_completed
wh2_dlc09_faction_trait_tomb_kings	wh2_dlc09_effect_siege_engine_number_tmb_battering_ram	faction_to_force_own	1.0	start_turn_completed
wh2_dlc09_faction_trait_tomb_kings	wh2_dlc09_effect_siege_engine_number_tmb_siege_tower	faction_to_force_own	2.0	start_turn_completed
wh2_dlc09_faction_trait_tomb_kings	wh2_main_effect_agent_cap_increase_all_heroes	faction_to_faction_own_unseen	-1.0	start_turn_completed
wh2_dlc09_faction_trait_tomb_kings	wh2_main_effect_agent_recruitment_cost_mod_general	faction_to_province_own_unseen	-1000.0	start_turn_completed
wh2_dlc09_faction_trait_tomb_kings	wh2_main_effect_background_income_mod	faction_to_faction_own_unseen	-100.0	start_turn_completed
wh2_dlc09_faction_trait_tomb_kings	wh2_main_effect_tomb_king_realm_of_souls_army_abilities	faction_to_force_own	1.0	start_turn_initiated
wh2_dlc09_faction_trait_tomb_kings	wh_main_effect_agent_recruitment_cost_mod	faction_to_province_own_unseen	-1000.0	start_turn_completed
wh2_dlc09_faction_trait_tomb_kings	wh_main_faction_xp_increase_generals_hidden	faction_to_force_own	-1000.0	start_turn_completed
wh2_dlc11_faction_trait_vampire_coast	wh2_dlc09_effect_increase_army_capacity_hidden	faction_to_faction_own_unseen	9999.0	start_turn_completed
wh2_dlc11_faction_trait_vampire_coast	wh2_dlc11_effect_force_newhorde_buildings_vampire_coast	faction_to_faction_own_unseen	1.0	start_turn_completed
wh2_dlc11_faction_trait_vampire_coast	wh2_dlc11_effect_siege_engine_number_cst_battering_ram	faction_to_force_own	1.0	start_turn_completed
wh2_dlc11_faction_trait_vampire_coast	wh2_dlc11_effect_siege_engine_number_cst_siege_tower	faction_to_force_own	2.0	start_turn_completed
wh2_dlc11_faction_trait_vampire_coast	wh_main_effect_force_all_campaign_post_battle_loot_mod	faction_to_faction_own_unseen	-50.0	start_turn_completed
wh2_main_faction_trait_dark_elves	wh2_dlc09_effect_increase_army_capacity_hidden	faction_to_faction_own_unseen	9999.0	start_turn_completed
wh2_main_faction_trait_dark_elves	wh2_main_effect_force_newhorde_buildings_black_ark	faction_to_faction_own_unseen	1.0	start_turn_completed
wh2_main_faction_trait_dark_elves	wh2_main_effect_siege_engine_number_def_battering_ram	faction_to_force_own	1.0	start_turn_completed
wh2_main_faction_trait_dark_elves	wh2_main_effect_siege_engine_number_def_siege_tower	faction_to_force_own	2.0	start_turn_completed
wh2_main_faction_trait_dark_elves	wh2_main_effect_unit_black_ark_missile_damage	faction_to_force_own_unseen	50.0	start_turn_completed
wh2_main_faction_trait_dark_elves	wh3_main_effect_pooled_resource_seductive_influence_capacity_mod	faction_to_faction_own_unseen	150.0	start_turn_completed
wh2_main_faction_trait_dark_elves	wh3_main_effect_pooled_resource_seductive_influence_culture	faction_to_faction_own_unseen	-2.0	start_turn_completed
wh2_main_faction_trait_high_elves	wh2_dlc09_effect_increase_army_capacity_hidden	faction_to_faction_own_unseen	9999.0	start_turn_completed
wh2_main_faction_trait_high_elves	wh2_main_effect_siege_engine_number_hef_battering_ram	faction_to_force_own	1.0	start_turn_completed
wh2_main_faction_trait_high_elves	wh2_main_effect_siege_engine_number_hef_siege_tower	faction_to_force_own	2.0	start_turn_completed
wh2_main_faction_trait_high_elves	wh3_main_effect_pooled_resource_seductive_influence_capacity_mod	faction_to_faction_own_unseen	250.0	start_turn_completed
wh2_main_faction_trait_high_elves	wh3_main_effect_pooled_resource_seductive_influence_culture	faction_to_faction_own_unseen	-5.0	start_turn_completed
wh2_main_faction_trait_lizardmen_nakai	wh2_main_effect_siege_engine_number_lzd_battering_ram	faction_to_force_own	1.0	start_turn_completed
wh2_main_faction_trait_lizardmen_nakai	wh2_main_effect_siege_engine_number_lzd_siege_tower	faction_to_force_own	2.0	start_turn_completed
wh2_main_faction_trait_lizardmen_nakai	wh2_main_spawning_blessed_bastiladon_armour	faction_to_force_own_unseen	15.0	start_turn_completed
wh2_main_faction_trait_lizardmen_nakai	wh2_main_spawning_blessed_bastiladon_missile_damage	faction_to_force_own_unseen	20.0	start_turn_completed
wh2_main_faction_trait_lizardmen_nakai	wh2_main_spawning_blessed_carnosaur_charge_bonus	faction_to_force_own_unseen	10.0	start_turn_completed
wh2_main_faction_trait_lizardmen_nakai	wh2_main_spawning_blessed_carnosaur_melee_attack	faction_to_force_own_unseen	12.0	start_turn_completed
wh2_main_faction_trait_lizardmen_nakai	wh2_main_spawning_blessed_carnosaur_speed	faction_to_force_own_unseen	10.0	start_turn_completed
wh2_main_faction_trait_lizardmen_nakai	wh2_main_spawning_blessed_chameleon_skinks_missile_damage	faction_to_force_own_unseen	12.0	start_turn_completed
wh2_main_faction_trait_lizardmen_nakai	wh2_main_spawning_blessed_chameleon_skinks_missile_range	faction_to_force_own_unseen	12.0	start_turn_completed
wh2_main_faction_trait_lizardmen_nakai	wh2_main_spawning_blessed_cold_one_riders_armour	faction_to_force_own_unseen	7.0	start_turn_completed
wh2_main_faction_trait_lizardmen_nakai	wh2_main_spawning_blessed_cold_one_riders_charge_bonus	faction_to_force_own_unseen	8.0	start_turn_completed
wh2_main_faction_trait_lizardmen_nakai	wh2_main_spawning_blessed_cold_one_riders_melee_attack	faction_to_force_own_unseen	10.0	start_turn_completed
wh2_main_faction_trait_lizardmen_nakai	wh2_main_spawning_blessed_horned_ones_melee_attack	faction_to_force_own_unseen	15.0	start_turn_completed
wh2_main_faction_trait_lizardmen_nakai	wh2_main_spawning_blessed_horned_ones_melee_defence	faction_to_force_own_unseen	8.0	start_turn_completed
wh2_main_faction_trait_lizardmen_nakai	wh2_main_spawning_blessed_kroxigors_cause_terror	faction_to_force_own_unseen	1.0	start_turn_completed
wh2_main_faction_trait_lizardmen_nakai	wh2_main_spawning_blessed_kroxigors_charge_bonus	faction_to_force_own_unseen	8.0	start_turn_completed
wh2_main_faction_trait_lizardmen_nakai	wh2_main_spawning_blessed_saurus_guard_armour	faction_to_force_own_unseen	7.0	start_turn_completed
wh2_main_faction_trait_lizardmen_nakai	wh2_main_spawning_blessed_saurus_guard_melee_defence	faction_to_force_own_unseen	6.0	start_turn_completed
wh2_main_faction_trait_lizardmen_nakai	wh2_main_spawning_blessed_saurus_warriors_ap_damage	faction_to_force_own_unseen	12.0	start_turn_completed
wh2_main_faction_trait_lizardmen_nakai	wh2_main_spawning_blessed_saurus_warriors_charge_bonus	faction_to_force_own_unseen	6.0	start_turn_completed
wh2_main_faction_trait_lizardmen_nakai	wh2_main_spawning_blessed_saurus_warriors_melee_attack	faction_to_force_own_unseen	8.0	start_turn_completed
wh2_main_faction_trait_lizardmen_nakai	wh2_main_spawning_blessed_skink_skirmishers_leadership	faction_to_force_own_unseen	5.0	start_turn_completed
wh2_main_faction_trait_lizardmen_nakai	wh2_main_spawning_blessed_skink_skirmishers_speed	faction_to_force_own_unseen	14.0	start_turn_completed
wh2_main_faction_trait_lizardmen_nakai	wh2_main_spawning_blessed_stegadon_ammo	faction_to_force_own_unseen	100.0	start_turn_completed
wh2_main_faction_trait_lizardmen_nakai	wh2_main_spawning_blessed_stegadon_missile_range	faction_to_force_own_unseen	10.0	start_turn_completed
wh2_main_faction_trait_lizardmen_nakai	wh2_main_spawning_blessed_temple_guard_armour	faction_to_force_own_unseen	6.0	start_turn_completed
wh2_main_faction_trait_lizardmen_nakai	wh2_main_spawning_blessed_temple_guard_melee_defence	faction_to_force_own_unseen	8.0	start_turn_completed
wh2_main_faction_trait_lizardmen_nakai	wh2_main_spawning_blessed_terradon_riders_ammo	faction_to_force_own_unseen	100.0	start_turn_completed
wh2_main_faction_trait_lizardmen_nakai	wh2_main_spawning_blessed_terradon_riders_movement_speed	faction_to_force_own_unseen	20.0	start_turn_completed
wh2_main_faction_trait_lizardmen	wh2_dlc09_effect_increase_army_capacity_hidden	faction_to_faction_own_unseen	9999.0	start_turn_completed
wh2_main_faction_trait_lizardmen	wh2_main_effect_siege_engine_number_lzd_battering_ram	faction_to_force_own	1.0	start_turn_completed
wh2_main_faction_trait_lizardmen	wh2_main_effect_siege_engine_number_lzd_siege_tower	faction_to_force_own	2.0	start_turn_completed
wh2_main_faction_trait_lizardmen	wh2_main_spawning_blessed_bastiladon_armour	faction_to_force_own_unseen	15.0	start_turn_completed
wh2_main_faction_trait_lizardmen	wh2_main_spawning_blessed_bastiladon_missile_damage	faction_to_force_own_unseen	20.0	start_turn_completed
wh2_main_faction_trait_lizardmen	wh2_main_spawning_blessed_carnosaur_charge_bonus	faction_to_force_own_unseen	10.0	start_turn_completed
wh2_main_faction_trait_lizardmen	wh2_main_spawning_blessed_carnosaur_melee_attack	faction_to_force_own_unseen	12.0	start_turn_completed
wh2_main_faction_trait_lizardmen	wh2_main_spawning_blessed_carnosaur_speed	faction_to_force_own_unseen	10.0	start_turn_completed
wh2_main_faction_trait_lizardmen	wh2_main_spawning_blessed_chameleon_skinks_missile_damage	faction_to_force_own_unseen	12.0	start_turn_completed
wh2_main_faction_trait_lizardmen	wh2_main_spawning_blessed_chameleon_skinks_missile_range	faction_to_force_own_unseen	12.0	start_turn_completed
wh2_main_faction_trait_lizardmen	wh2_main_spawning_blessed_cold_one_riders_armour	faction_to_force_own_unseen	7.0	start_turn_completed
wh2_main_faction_trait_lizardmen	wh2_main_spawning_blessed_cold_one_riders_charge_bonus	faction_to_force_own_unseen	8.0	start_turn_completed
wh2_main_faction_trait_lizardmen	wh2_main_spawning_blessed_cold_one_riders_melee_attack	faction_to_force_own_unseen	10.0	start_turn_completed
wh2_main_faction_trait_lizardmen	wh2_main_spawning_blessed_horned_ones_melee_attack	faction_to_force_own_unseen	15.0	start_turn_completed
wh2_main_faction_trait_lizardmen	wh2_main_spawning_blessed_horned_ones_melee_defence	faction_to_force_own_unseen	8.0	start_turn_completed
wh2_main_faction_trait_lizardmen	wh2_main_spawning_blessed_kroxigors_cause_terror	faction_to_force_own_unseen	1.0	start_turn_completed
wh2_main_faction_trait_lizardmen	wh2_main_spawning_blessed_kroxigors_charge_bonus	faction_to_force_own_unseen	8.0	start_turn_completed
wh2_main_faction_trait_lizardmen	wh2_main_spawning_blessed_saurus_guard_armour	faction_to_force_own_unseen	7.0	start_turn_completed
wh2_main_faction_trait_lizardmen	wh2_main_spawning_blessed_saurus_guard_melee_defence	faction_to_force_own_unseen	6.0	start_turn_completed
wh2_main_faction_trait_lizardmen	wh2_main_spawning_blessed_saurus_warriors_ap_damage	faction_to_force_own_unseen	12.0	start_turn_completed
wh2_main_faction_trait_lizardmen	wh2_main_spawning_blessed_saurus_warriors_charge_bonus	faction_to_force_own_unseen	6.0	start_turn_completed
wh2_main_faction_trait_lizardmen	wh2_main_spawning_blessed_saurus_warriors_melee_attack	faction_to_force_own_unseen	8.0	start_turn_completed
wh2_main_faction_trait_lizardmen	wh2_main_spawning_blessed_skink_skirmishers_leadership	faction_to_force_own_unseen	5.0	start_turn_completed
wh2_main_faction_trait_lizardmen	wh2_main_spawning_blessed_skink_skirmishers_speed	faction_to_force_own_unseen	14.0	start_turn_completed
wh2_main_faction_trait_lizardmen	wh2_main_spawning_blessed_stegadon_ammo	faction_to_force_own_unseen	100.0	start_turn_completed
