key	text	tooltip
#Loc PackedFile;1;text/db/SFO_effects__.loc		
effects_description_armour_smithing	%+n armour for all recruited units in this province	true
effects_description_attack_smithing	%+n melee attack for all recruited units in this province	true
effects_description_brt_active_paladin_vow_enable	Ability: "My Vow"	true
effects_description_brt_army_alberic_1_enable	"Chosen of Manann": adds leadership bonus effect	true
effects_description_brt_army_alberic_2_enable	"Chosen of Manann": adds anti-large bonus effect	true
effects_description_brt_army_alberic_enable	Army ability: "Chosen of Manann"	true
effects_description_brt_army_alberic_recharge	Cooldown: %+n% to "Chosen of Manann"	true
effects_description_brt_army_alberic_use	Number of uses: %+n for "Chosen of Manann"	true
effects_description_brt_army_fay_1_enable	"Blessing of the Fay": adds recharge half vigour effect	true
effects_description_brt_army_fay_2_enable	"Blessing of the Fay": adds cause fear and terror attribute	true
effects_description_brt_army_fay_enable	Army ability: "Blessing of the Fay"	true
effects_description_brt_army_fay_recharge	Cooldown: %+n% to "Blessing of the Fay"	true
effects_description_brt_army_fay_use	Number of uses: %+n for "Blessing of the Fay"	true
effects_description_brt_army_green_1_enable	Green Knight will aid you when defending for 60 seconds (if not summoned) 	true
effects_description_brt_army_green_2_enable	Green Knight will aid you when defending for 120 seconds (if not summoned) 	true
effects_description_brt_army_green_3_enable	Green Knight will aid you when defending for 180 seconds (if not summoned) 	true
effects_description_brt_army_green_4_enable	Green Knight will aid you when defending for 240 seconds (if not summoned) 	true
effects_description_brt_army_king_1_enable	"Lion of Bretonnia": adds enemy leadership debuff effect	true
effects_description_brt_army_king_2_enable	"Lion of Bretonnia": adds reduced enemy vigour effect	true
effects_description_brt_army_king_enable	Army ability: "Lion of Bretonnia"	true
effects_description_brt_army_king_recharge	Cooldown: %+n% to "Lion of Bretonnia"	true
effects_description_brt_army_king_use	Number of uses: %+n for "Lion of Bretonnia"	true
effects_description_brt_confederation	Grants different bonuses depending on confederated faction	true
effects_description_brt_errant_charge	Charge bonus: %+n% for Knights Errant units	true
effects_description_brt_active_green_attack_enable	Ability: "Call of the Lady"	true
effects_description_brt_active_green_defence_enable	Ability: "Withstand!"	true
effects_description_brt_active_heart_enable	Ability: "Pure Heart"	true
effects_description_brt_hippo_attack	Melee attack: %+n for Royal Hippogryph Knights units	true
effects_description_brt_active_honour_enable	Ability: "Honour is All"	true
effects_description_brt_men_sword_defence	Melee defence: %+n for Men-at-Arms with swords units	true
effects_description_brt_mob_upkeep	Upkeep: %+n% for Peasant Mob units	true
effects_description_brt_peasant_cost	Recruitment cost: %+n% for none-Knight units	true
effects_description_brt_peasants_armour	Armour: %+n for all non-Knight units	true
effects_description_brt_pegasus_res_physical	Physical resistance: %+n% for Pegasus and Royal Pegasus Knights units	true
effects_description_brt_quest_grail_text	To hold this skill you need to finish the Grand Errantry quest battle after acquiring it.	true
effects_description_brt_quest_questing_text	To hold this skill you need to finish the Errantry quest battle after acquiring it.	true
effects_description_brt_quest_reward_text	Only worthy knights can acquire this reward by completing a holy quest.	true
effects_description_brt_questing_defence	Melee defence: %+n for Questing Knights units	true
effects_description_brt_passive_aura_repanse_banner_enable	Ability: "Light of the Lady" and mount with Fleur de Lys Banner	true
effects_description_brt_tech_lock	Can choose only one ability upgrade	true
effects_description_brt_knights_realm_upkeep	Upkeep: %+n% for Knights of the Realm units	true
effects_description_bst_army_beast_enable	Army ability: "Ghur"	true
effects_description_bst_army_death_enable	Army ability: "Shyish"	true
effects_description_bst_army_life_enable	Army ability: "Veil of Corruption"	true
effects_description_bst_army_shadow_enable	Army ability: "Ulgu"	true
effects_description_bst_army_wild_enable	Army ability: "Spirit of Ghorok"	true
effects_description_bst_active_banner_buff_enable	Ability: "Totem of the Herd"	true
effects_description_bst_active_banner_debuff_enable	Ability: "Totem of the Victims"	true
effects_description_bst_bestigor_damage	Weapon strength: %+n% for Bestigor units	true
effects_description_bst_bestigor_defence	Melee defence: %+n for Bestigor units	true
effects_description_bst_bestigor_heal	Casualty replenishment rate: %+n% for Bestigor units	true
effects_description_bst_bestigor_rampage	Attribute: Rampage for Bestigor units	true
effects_description_bst_bestigor_speed	Speed: %+n% for Bestigor units	true
effects_description_bst_bestigor_unbreakable	Attribute: Unbreakable for Bestigor units	true
effects_description_bst_bestigor_upkeep	Upkeep: %+n% for Bestigor units	true
effects_description_bst_passive_bull_rage_enable	Ability: "Bullrage"	true
effects_description_bst_centigor_ammo_reload	Reload and ammunition: %+n% for Centigor units	true
effects_description_bst_centigor_charge	Charge bonus: %+n% for Centigor units	true
effects_description_bst_centigor_damage	Weapon strength: %+n% for Centigor units	true
effects_description_bst_centigor_speed	Speed: %+n% for Centigor units	true
effects_description_bst_cygor_damage	Weapon strength: %+n% for Cygor units	true
effects_description_bst_cygor_defence	Melee defence: %+n for Cygor units	true
effects_description_bst_cygor_exp	Recruit rank: %+n for Cygor units	true
effects_description_bst_cygor_missile	Missile damage: %+n% for Cygor units	true
effects_description_bst_giant_attack	Melee attack: %+n for Giant units	true
effects_description_bst_giant_damage	Weapon strength: %+n% for Giant units	true
effects_description_bst_giant_exp	Recruit rank: %+n for Giant units	true
effects_description_bst_giant_res_physical	Physical resistance: %+n% for Giant units	true
effects_description_bst_giant_speed	Speed: %+n% for Giant units	true
effects_description_bst_giant_vanguard	Attribute: Vanguard Deployment for Giant units	true
effects_description_bst_gors_armour	Armour: %+n for Gor units	true
effects_description_bst_gors_charge	Charge bonus: %+n for Gor units	true
effects_description_bst_gors_infantry	Bonus vs infantry: %+n for Gor units	true
effects_description_bst_gors_stalk	Attribute: Stalk for Gor units	true
effects_description_bst_harpy_defence	Melee defence: %+n for Harpies units	true
effects_description_bst_harpy_exp	Recruit rank: %+n for Harpies units	true
effects_description_bst_harpy_res_missile	Missile resistance: %+n% for Harpies units	true
effects_description_bst_passive_khazrak_hound_enable	Ability: "Houndmaster"	true
effects_description_bst_khazrak_unbreakable	Attribute: Unbreakable for Khazrak	true
effects_description_bst_khorne_infantry	Bonus vs infantry: %+n for Khorngors units	true
effects_description_bst_khorne_res_magic	Magic resistance: %+n% for Khorngors units	true
effects_description_bst_active_malagor_crows_enable	Ability: "Crowfather"	true
effects_description_bst_manticore_armour	Armour: %+n for Manticore units	true
effects_description_bst_manticore_attack	Melee attack: %+n for Manticore units	true
effects_description_bst_manticore_exp	Recruit rank: %+n for Manticore units	true
effects_description_bst_manticore_regen	Ability: "Regeneration" for Manticore units	true
effects_description_bst_manticore_res_fire	Fire resistance: %+n% for Manticore units	true
effects_description_bst_manticore_upkeep	Upkeep: %+n% for Manticore units	true
effects_description_bst_minotaur_attack_ability	Ability: "Bolstered Attack" for Minotaur units	true
effects_description_bst_minotaur_defence_ability	Ability: "Bolstered Defence" for Minotaur units	true
effects_description_bst_minotaur_exp	Recruit rank: %+n for Minotaur units	true
effects_description_bst_minotaur_morale	Leadership: %+n for Minotaur units	true
effects_description_bst_minotaur_res_missile	Missile resistance: %+n% for Minotaur units	true
effects_description_bst_passive_morghur_boom_enable	Ability: "Shadowgave"	true
effects_description_bst_mount_k	Transform lord into Khorne Champion	true
effects_description_bst_mount_n	Transform lord into Nurgle Champion	true
effects_description_bst_mount_s	Transform lord into Slaanesh Champion	true
effects_description_bst_mount_t	Transform lord into Tzeentch Champion	true
effects_description_bst_nurgle_defence	Melee defence: %+n for Pestigors units	true
effects_description_bst_nurgle_fire_res	Fire resistance: %+n% for Pestigors units	true
effects_description_bst_razor_armour	Armour: %+n for Razogor units	true
effects_description_bst_razor_charge	Charge bonus: %+n for Razogor units	true
effects_description_bst_razor_exp	Recruit rank: %+n for Razogor units	true
effects_description_bst_razor_fire	Flame attacks: for Razogor units	true
effects_description_bst_razor_infantry	Bonus vs infantry: %+n for Razogor units	true
effects_description_bst_razor_vigour	Vigour loss reduction: %+n% for Razogor units	true
effects_description_bst_slaanesh_large	Bonus vs large: %+n for Slaangors units	true
effects_description_bst_slaanesh_speed	Speed: %+n% for Slaangors units	true
effects_description_bst_spawn_deathless	Ability: "Pursuit of Battle" for Chaos Spawn units	true
effects_description_bst_spawn_heal	Casualty replenishment rate: %+n% for Chaos Spawn units	true
effects_description_tmb_tech_lock	Only one final technology can be researched, second will be locked!	true
effects_description_wh_tech_lock_group	Only one technology can be researched from this group, second will be locked!	true
effects_description_bst_active_totem_heal_enable	Ability: "Totem of Morrslieb"	true
effects_description_bst_tzeentch_wardsave	Ward save: %+n% for Tzaangors units	true
effects_description_bst_tzeentch_damage_missile	Missile damage: %+n% for Tzaangors units	true
effects_description_bst_ungors_damage_all	Melee and missile weapon damage: %+n% for Ungor units	true
effects_description_bst_ungors_heal	Casualty replenishment rate: %+n% for Ungor units	true
effects_description_bst_ungors_morale	Leadership: %+n for Ungor units	true
effects_description_bst_warhound_attack	Melee attack: %+n for Warhounds units	true
effects_description_bst_warhound_exp	Recruit rank: %+n for Warhounds units	true
effects_description_bst_warhound_large	Bonus vs large: %+n for Warhounds units	true
effects_description_bst_warhound_res_physical	Physical resistance: %+n% for Warhounds units	true
effects_description_bst_warhound_vigour	Vigour loss reduction: %+n% for Warhounds units	true
effects_description_build_economy	Only one economy building can be built in each settlement	true
effects_description_build_growth	Only one growth building can be built in each settlement	true
effects_description_build_po	Only one public order building can be built in each settlement	true
effects_description_build_religion	Only one religious building can be built in each settlement	true
effects_description_cap_all_units	Unit capacity: %+n\\nfor all units	true
effects_description_cap_brt_grail_guardians	Unit capacity: %+n\\nGrail Guardians	true
effects_description_cap_brt_grail_reliquae	Unit capacity: %+n\\nGrail Reliquae	true
effects_description_cap_brt_grail_knights	Unit capacity: %+n\\nGrail Knights	true
